pwr_dig,pwr_msadc,pwr_cmp180,freq_cmp180
56.12,13.61,12.77,3996767.0
56.95,14.45,13.59,3996430.0
57.71,15.11,14.34,3996195.0
58.40,15.80,15.04,3995977.0
59.05,16.43,15.67,3995830.0
59.65,16.98,16.26,3995673.0
60.21,17.45,16.80,3995425.0
60.73,17.96,17.33,3995337.0
61.23,18.38,17.81,3994984.0
61.70,18.81,18.26,3994868.0
62.14,19.22,18.70,3994797.0
62.57,19.62,19.10,3994762.0
62.97,19.94,19.50,3994728.0
63.36,20.25,19.86,3994704.0
63.73,20.55,20.22,3994651.0
64.08,20.88,20.55,3994601.0
64.42,21.14,20.87,3994527.0
64.75,21.44,21.18,3994470.0
65.07,21.68,21.47,3994457.0
65.37,21.91,21.74,3994418.0
65.67,22.13,22.00,3994356.0
65.95,22.32,22.25,3994279.0
66.23,22.53,22.48,3994202.0
66.49,22.72,22.70,3994134.0
66.75,22.89,22.91,3994085.0
67.00,23.05,23.11,3994023.0
67.25,23.21,23.29,3993993.0
67.49,23.37,23.46,3993910.0
67.72,23.49,23.63,3993838.0
67.94,23.62,23.78,3993745.0
68.16,23.73,23.92,3993698.0
68.38,23.84,24.05,3993695.0
68.59,23.94,24.18,3993674.0
68.79,24.05,24.29,3993695.0
68.99,24.15,24.40,3993651.0
69.19,24.22,24.50,3993599.0
69.38,24.27,24.59,3993520.0
69.57,24.38,24.68,3993513.0
69.75,24.43,24.77,3993474.0
69.93,24.49,24.84,3993430.0
70.10,24.57,24.91,3993449.0
70.28,24.62,24.98,3993454.0
70.44,24.67,25.05,3993428.0
70.61,24.73,25.11,3993384.0
70.77,24.78,25.17,3993348.0
70.93,24.82,25.23,3993349.0
71.09,24.89,25.28,3993304.0
71.24,24.92,25.34,3993291.0
71.39,24.97,25.38,3993261.0
71.54,25.02,25.43,3993203.0
71.69,25.05,25.47,3993157.0
71.83,25.08,25.52,3993143.0
71.97,25.12,25.56,3993106.0
72.11,25.14,25.59,3993044.0
