Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg
7,2 0,0 0,2000,18,r 403422c8  [0x403422C8] = 0xD0FFEB69    ,16.56,-26.20
7,2 0,0 0,2000,19,r 403422c8  [0x403422C8] = 0xD0FFEB76    ,17.44,-24.59
7,2 0,0 0,2000,20,r 403422c8  [0x403422C8] = 0xD8FFED69    ,18.48,-23.81
7,2 0,0 0,2000,21,r 403422c8  [0x403422C8] = 0xD8FFED76    ,19.29,-22.07
7,2 0,0 0,2000,22,r 403422c8  [0x403422C8] = 0xD8FFED84    ,20.03,-20.33
7,2 0,0 0,2000,23,r 403422c8  [0x403422C8] = 0xD8FFED94    ,20.80,-18.70
7,2 0,0 0,2000,24,r 403422c8  [0x403422C8] = 0xD8FFEDA6    ,21.46,-17.33
7,2 0,0 0,2000,25,r 403422c8  [0x403422C8] = 0xD8FFEDBB    ,22.06,-16.08
7,2 0,0 0,2000,26,r 403422c8  [0x403422C8] = 0xD8FFEDD1    ,22.62,-14.88
7,2 0,0 0,2000,27,r 403422c8  [0x403422C8] = 0xD8FFEF85    ,24.02,-11.04
7,2 0,0 0,2000,28,r 403422c8  [0x403422C8] = 0xD8FFEF95    ,24.33,-10.23
7,2 0,0 0,2000,29,r 403422c8  [0x403422C8] = 0xD8FFEFA7    ,24.58,-9.58
7,2 0,0 0,2000,30,r 403422c8  [0x403422C8] = 0xD8FFEFBC    ,24.80,-8.90
7,2 0,0 0,2000,31,r 403422c8  [0x403422C8] = 0xD8FFEFD3    ,24.98,-8.49
7,2 0,0 0,2000,32,r 403422c8  [0x403422C8] = 0xD8FFEFD3    ,24.98,-8.51
7,2 0,0 0,2000,33,r 403422c8  [0x403422C8] = 0xD8FFEFD3    ,24.97,-8.50
7,2 0,0 0,2000,34,r 403422c8  [0x403422C8] = 0xD8FFEFD3    ,24.97,-8.48
Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg
7,2 0,0 0,2000,18,r 403422c8  [0x403422C8] = 0xD0FFEB68    ,18.52,-22.25
7,2 0,0 0,2000,19,r 403422c8  [0x403422C8] = 0xD0FFEB75    ,19.26,-20.74
7,2 0,0 0,2000,20,r 403422c8  [0x403422C8] = 0xD8FFED6B    ,20.25,-19.64
7,2 0,0 0,2000,21,r 403422c8  [0x403422C8] = 0xD8FFED78    ,20.94,-18.18
7,2 0,0 0,2000,22,r 403422c8  [0x403422C8] = 0xD8FFED87    ,21.61,-16.91
7,2 0,0 0,2000,23,r 403422c8  [0x403422C8] = 0xD8FFED97    ,22.19,-15.86
7,2 0,0 0,2000,24,r 403422c8  [0x403422C8] = 0xD8FFEDA9    ,22.72,-14.80
7,2 0,0 0,2000,25,r 403422c8  [0x403422C8] = 0xD8FFEDBE    ,23.22,-13.73
7,2 0,0 0,2000,26,r 403422c8  [0x403422C8] = 0xD8FFEDD5    ,23.64,-12.86
7,2 0,0 0,2000,27,r 403422c8  [0x403422C8] = 0xD8FFEF8A    ,24.93,-8.93
7,2 0,0 0,2000,28,r 403422c8  [0x403422C8] = 0xD8FFEF9A    ,25.09,-8.53
7,2 0,0 0,2000,29,r 403422c8  [0x403422C8] = 0xD8FFEFAD    ,25.24,-8.02
7,2 0,0 0,2000,30,r 403422c8  [0x403422C8] = 0xD8FFEFC2    ,25.36,-7.78
7,2 0,0 0,2000,31,r 403422c8  [0x403422C8] = 0xD8FFEFDA    ,25.47,-7.68
7,2 0,0 0,2000,32,r 403422c8  [0x403422C8] = 0xD8FFEFDA    ,25.46,-7.67
7,2 0,0 0,2000,33,r 403422c8  [0x403422C8] = 0xD8FFEFDA    ,25.45,-7.65
7,2 0,0 0,2000,34,r 403422c8  [0x403422C8] = 0xD8FFEFDA    ,25.44,-7.67
