Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg
7,2 0,0 0,2000,18,r 403422c8  [0x403422C8] = 0xD0FFEB62    ,15.64,-26.20
7,2 0,0 0,2000,19,r 403422c8  [0x403422C8] = 0xD0FFEB6E    ,16.56,-24.51
7,2 0,0 0,2000,20,r 403422c8  [0x403422C8] = 0xD8FFED5B    ,17.48,-23.87
7,2 0,0 0,2000,21,r 403422c8  [0x403422C8] = 0xD8FFED66    ,18.32,-22.11
7,2 0,0 0,2000,22,r 403422c8  [0x403422C8] = 0xD8FFED73    ,19.21,-20.34
7,2 0,0 0,2000,23,r 403422c8  [0x403422C8] = 0xD8FFED81    ,19.91,-18.94
7,2 0,0 0,2000,24,r 403422c8  [0x403422C8] = 0xD8FFED90    ,20.63,-17.51
7,2 0,0 0,2000,25,r 403422c8  [0x403422C8] = 0xD8FFEF53    ,22.57,-12.89
7,2 0,0 0,2000,26,r 403422c8  [0x403422C8] = 0xD8FFEF5E    ,22.93,-12.02
7,2 0,0 0,2000,27,r 403422c8  [0x403422C8] = 0xD8FFEF69    ,23.29,-11.24
7,2 0,0 0,2000,28,r 403422c8  [0x403422C8] = 0xD8FFEF76    ,23.57,-10.58
7,2 0,0 0,2000,29,r 403422c8  [0x403422C8] = 0xD8FFEF84    ,23.83,-9.98
7,2 0,0 0,2000,30,r 403422c8  [0x403422C8] = 0xD8FFEF94    ,24.04,-9.42
7,2 0,0 0,2000,31,r 403422c8  [0x403422C8] = 0xD8FFEFA6    ,24.23,-9.06
7,2 0,0 0,2000,32,r 403422c8  [0x403422C8] = 0xD8FFEFA6    ,24.25,-9.01
7,2 0,0 0,2000,33,r 403422c8  [0x403422C8] = 0xD8FFEFA6    ,24.24,-9.03
7,2 0,0 0,2000,34,r 403422c8  [0x403422C8] = 0xD8FFEFA6    ,24.23,-9.08
7,2 1,0 0,2000,18,r 403422c8  [0x403422C8] = 0xD0FFEB63    ,15.63,-25.97
7,2 1,0 0,2000,19,r 403422c8  [0x403422C8] = 0xD0FFEB6F    ,16.55,-24.26
7,2 1,0 0,2000,20,r 403422c8  [0x403422C8] = 0xD8FFED5B    ,17.48,-23.56
7,2 1,0 0,2000,21,r 403422c8  [0x403422C8] = 0xD8FFED66    ,18.34,-21.73
7,2 1,0 0,2000,22,r 403422c8  [0x403422C8] = 0xD8FFED73    ,19.18,-19.95
7,2 1,0 0,2000,23,r 403422c8  [0x403422C8] = 0xD8FFED81    ,19.92,-18.65
7,2 1,0 0,2000,24,r 403422c8  [0x403422C8] = 0xD8FFED90    ,20.65,-17.19
7,2 1,0 0,2000,25,r 403422c8  [0x403422C8] = 0xD8FFEF53    ,22.59,-12.39
7,2 1,0 0,2000,26,r 403422c8  [0x403422C8] = 0xD8FFEF5E    ,22.98,-11.68
7,2 1,0 0,2000,27,r 403422c8  [0x403422C8] = 0xD8FFEF69    ,23.33,-10.84
7,2 1,0 0,2000,28,r 403422c8  [0x403422C8] = 0xD8FFEF76    ,23.59,-10.05
7,2 1,0 0,2000,29,r 403422c8  [0x403422C8] = 0xD8FFEF84    ,23.86,-9.52
7,2 1,0 0,2000,30,r 403422c8  [0x403422C8] = 0xD8FFEF94    ,24.07,-9.02
7,2 1,0 0,2000,31,r 403422c8  [0x403422C8] = 0xD8FFEFA7    ,24.25,-8.61
7,2 1,0 0,2000,32,r 403422c8  [0x403422C8] = 0xD8FFEFA7    ,24.25,-8.60
7,2 1,0 0,2000,33,r 403422c8  [0x403422C8] = 0xD8FFEFA7    ,24.27,-8.57
7,2 1,0 0,2000,34,r 403422c8  [0x403422C8] = 0xD8FFEFA7    ,24.34,-8.63
7,2 2,0 0,2000,18,r 403422c8  [0x403422C8] = 0xD0FFEB63    ,15.74,-26.02
7,2 2,0 0,2000,19,r 403422c8  [0x403422C8] = 0xD0FFEB6F    ,16.65,-24.17
7,2 2,0 0,2000,20,r 403422c8  [0x403422C8] = 0xD8FFED5B    ,17.61,-23.32
7,2 2,0 0,2000,21,r 403422c8  [0x403422C8] = 0xD8FFED66    ,18.45,-21.30
7,2 2,0 0,2000,22,r 403422c8  [0x403422C8] = 0xD8FFED73    ,19.29,-19.63
7,2 2,0 0,2000,23,r 403422c8  [0x403422C8] = 0xD8FFED81    ,19.99,-18.26
7,2 2,0 0,2000,24,r 403422c8  [0x403422C8] = 0xD8FFED90    ,20.73,-16.88
7,2 2,0 0,2000,25,r 403422c8  [0x403422C8] = 0xD8FFEF54    ,22.62,-12.11
7,2 2,0 0,2000,26,r 403422c8  [0x403422C8] = 0xD8FFEF5E    ,23.01,-11.46
7,2 2,0 0,2000,27,r 403422c8  [0x403422C8] = 0xD8FFEF69    ,23.36,-10.69
7,2 2,0 0,2000,28,r 403422c8  [0x403422C8] = 0xD8FFEF76    ,23.66,-9.96
7,2 2,0 0,2000,29,r 403422c8  [0x403422C8] = 0xD8FFEF84    ,23.90,-9.45
7,2 2,0 0,2000,30,r 403422c8  [0x403422C8] = 0xD8FFEF95    ,24.11,-9.02
7,2 2,0 0,2000,31,r 403422c8  [0x403422C8] = 0xD8FFEFA7    ,24.29,-8.52
7,2 2,0 0,2000,32,r 403422c8  [0x403422C8] = 0xD8FFEFA7    ,24.28,-8.39
7,2 2,0 0,2000,33,r 403422c8  [0x403422C8] = 0xD8FFEFA7    ,24.26,-8.63
7,2 2,0 0,2000,34,r 403422c8  [0x403422C8] = 0xD8FFEFA7    ,24.25,-8.71
