ant, ch, pwr_dig, pwr_dig_dbm, pwr_cmp180_dbm
0,106,32,-42.14,-8.28
0,106,96,-32.60,-0.02
0,106,160,-28.16,4.06
0,106,224,-25.24,6.98
0,106,288,-23.06,9.15
0,106,352,-21.32,10.89
0,106,416,-19.87,12.39
0,106,480,-18.62,13.62
0,106,544,-17.54,14.71
0,106,608,-16.57,15.66
0,106,672,-15.70,16.53
0,106,736,-14.91,17.30
0,106,800,-14.19,18.00
0,106,864,-13.52,18.64
0,106,928,-12.90,19.28
0,106,992,-12.32,19.76
0,106,1056,-11.77,20.31
0,106,1120,-11.26,20.82
0,106,1184,-10.78,21.30
0,106,1248,-10.32,21.78
0,106,1312,-9.89,22.21
0,106,1376,-9.47,22.61
0,106,1440,-9.08,22.98
0,106,1504,-8.70,23.27
0,106,1568,-8.34,23.65
0,106,1632,-7.99,23.98
0,106,1696,-7.66,24.30
0,106,1760,-7.34,24.62
0,106,1824,-7.03,24.90
0,106,1888,-6.73,25.24
0,106,1952,-6.44,25.56
0,106,2016,-6.16,25.83
0,106,2080,-5.89,26.02
0,106,2144,-5.62,26.34
0,106,2208,-5.37,26.60
0,106,2272,-5.12,26.82
0,106,2336,-4.88,27.16
0,106,2400,-4.64,27.26
0,106,2464,-4.41,27.33
0,106,2528,-4.19,27.39
0,106,2592,-3.97,27.43
0,106,2656,-3.76,27.44
0,106,2720,-3.56,27.44
0,106,2784,-3.35,27.45
0,106,2848,-3.16,27.46
0,106,2912,-2.96,27.47
0,106,2976,-2.77,27.47
0,106,3040,-2.59,27.47
0,106,3104,-2.41,27.48
0,106,3168,-2.23,27.48
0,106,3232,-2.06,27.47
0,106,3296,-1.89,27.48
0,106,3360,-1.72,27.48
0,106,3424,-1.56,27.48
0,106,3488,-1.40,27.48
0,106,3552,-1.24,27.47
0,106,3616,-1.08,27.47
0,106,3680,-0.93,27.47
0,106,3744,-0.78,27.47
0,106,3808,-0.63,27.47
0,106,3872,-0.49,27.47
0,106,3936,-0.35,27.47
0,106,4000,-0.21,27.46
0,106,4064,-0.07,27.46
