ant, ch, pwr_dig, pwr_dig_dbm, pwr_cmp180_dbm
0,7,414,-19.91,8.44
0,7,416,-19.87,8.48
0,7,418,-19.82,8.51
0,7,420,-19.78,8.57
0,7,422,-19.74,8.61
0,7,424,-19.70,8.65
0,7,426,-19.66,8.69
0,7,428,-19.62,8.72
0,7,430,-19.58,8.78
0,7,432,-19.54,8.82
0,7,434,-19.50,8.85
0,7,436,-19.46,8.86
0,7,438,-19.42,8.91
0,7,440,-19.38,8.95
0,7,442,-19.34,8.91
0,7,444,-19.30,8.96
0,7,446,-19.26,9.01
0,7,448,-19.22,9.04
0,7,450,-19.18,9.08
0,7,452,-19.14,9.12
0,7,454,-19.11,9.16
0,7,456,-19.07,9.19
0,7,458,-19.03,9.22
0,7,460,-18.99,9.26
0,7,462,-18.95,9.30
0,7,464,-18.92,9.35
0,7,466,-18.88,9.37
0,7,468,-18.84,9.40
0,7,470,-18.81,9.44
0,7,472,-18.77,9.50
0,7,474,-18.73,9.52
0,7,476,-18.70,9.55
0,7,478,-18.66,9.58
0,7,480,-18.62,9.62
0,7,482,-18.59,9.65
0,7,484,-18.55,9.71
0,7,486,-18.51,9.74
0,7,488,-18.48,9.77
0,7,490,-18.44,9.81
0,7,492,-18.41,9.84
0,7,494,-18.37,9.89
0,7,496,-18.34,9.98
0,7,498,-18.30,10.01
0,7,500,-18.27,10.05
0,7,502,-18.23,10.07
0,7,504,-18.20,10.10
0,7,506,-18.16,10.12
0,7,508,-18.13,10.17
0,7,510,-18.10,10.20
0,7,512,-18.06,10.24
0,7,514,-18.03,10.26
0,7,516,-17.99,10.30
0,7,518,-17.96,10.32
0,7,520,-17.93,10.37
0,7,522,-17.89,10.39
0,7,524,-17.86,10.43
0,7,526,-17.83,10.46
0,7,528,-17.79,10.50
0,7,530,-17.76,10.52
0,7,532,-17.73,10.56
0,7,534,-17.70,10.60
0,7,536,-17.66,10.63
0,7,538,-17.63,10.65
0,7,540,-17.60,10.69
0,7,542,-17.57,10.71
0,7,544,-17.54,10.74
0,7,546,-17.50,10.78
0,7,548,-17.47,10.80
0,7,550,-17.44,10.84
0,7,552,-17.41,10.88
0,7,554,-17.38,10.91
0,7,556,-17.35,10.94
0,7,558,-17.31,10.99
0,7,560,-17.28,11.01
0,7,562,-17.25,11.04
0,7,564,-17.22,11.08
0,7,566,-17.19,11.08
0,7,568,-17.16,11.12
0,7,570,-17.13,11.15
0,7,572,-17.10,11.18
0,7,574,-17.07,11.22
0,7,576,-17.04,11.25
0,7,578,-17.01,11.28
0,7,580,-16.98,11.32
0,7,582,-16.95,11.34
0,7,584,-16.92,11.36
0,7,586,-16.89,11.39
0,7,588,-16.86,11.42
0,7,590,-16.83,11.45
0,7,592,-16.80,11.50
0,7,594,-16.77,11.51
0,7,596,-16.74,11.54
0,7,598,-16.71,11.57
0,7,600,-16.68,11.61
0,7,602,-16.66,11.62
0,7,604,-16.63,11.66
0,7,606,-16.60,11.68
0,7,608,-16.57,11.71
0,7,610,-16.54,11.73
0,7,612,-16.51,11.77
0,7,614,-16.48,11.80
0,7,616,-16.46,11.83
0,7,618,-16.43,11.86
0,7,620,-16.40,11.90
0,7,622,-16.37,11.92
0,7,624,-16.34,11.94
0,7,626,-16.32,11.96
0,7,628,-16.29,11.97
0,7,630,-16.26,12.02
0,7,632,-16.23,12.04
0,7,634,-16.21,12.06
0,7,636,-16.18,12.09
0,7,638,-16.15,12.11
0,7,640,-16.12,12.15
0,7,642,-16.10,12.17
0,7,644,-16.07,12.20
0,7,646,-16.04,12.22
0,7,648,-16.02,12.24
0,7,650,-15.99,12.28
0,7,652,-15.96,12.29
0,7,654,-15.94,12.32
0,7,656,-15.91,12.36
0,7,658,-15.88,12.40
0,7,660,-15.86,12.42
0,7,662,-15.83,12.45
0,7,664,-15.80,12.47
0,7,666,-15.78,12.52
0,7,668,-15.75,12.52
0,7,670,-15.73,12.56
0,7,672,-15.70,12.57
0,7,674,-15.67,12.60
0,7,676,-15.65,12.63
0,7,678,-15.62,12.66
0,7,680,-15.60,12.68
0,7,682,-15.57,12.71
0,7,684,-15.55,12.73
0,7,686,-15.52,12.77
0,7,688,-15.50,12.79
0,7,690,-15.47,12.80
0,7,692,-15.45,12.83
0,7,694,-15.42,12.86
0,7,696,-15.40,12.87
0,7,698,-15.37,12.90
0,7,700,-15.35,12.94
0,7,702,-15.32,12.95
0,7,704,-15.30,12.98
0,7,706,-15.27,13.01
0,7,708,-15.25,13.02
0,7,710,-15.22,13.05
0,7,712,-15.20,13.08
0,7,714,-15.17,13.10
0,7,716,-15.15,13.12
0,7,718,-15.12,13.14
0,7,720,-15.10,13.17
0,7,722,-15.08,13.18
0,7,724,-15.05,13.21
0,7,726,-15.03,13.24
0,7,728,-15.00,13.26
0,7,730,-14.98,13.28
0,7,732,-14.96,13.31
0,7,734,-14.93,13.32
0,7,736,-14.91,13.35
0,7,738,-14.89,13.37
0,7,740,-14.86,13.39
0,7,742,-14.84,13.43
0,7,744,-14.82,13.45
0,7,746,-14.79,13.47
0,7,748,-14.77,13.48
0,7,750,-14.75,13.51
0,7,752,-14.72,13.54
0,7,754,-14.70,13.55
0,7,756,-14.68,13.57
0,7,758,-14.65,13.60
0,7,760,-14.63,13.63
0,7,762,-14.61,13.64
0,7,764,-14.59,13.66
0,7,766,-14.56,13.69
0,7,768,-14.54,13.72
0,7,770,-14.52,13.74
0,7,772,-14.49,13.76
0,7,774,-14.47,13.78
0,7,776,-14.45,13.80
0,7,778,-14.43,13.81
0,7,780,-14.41,13.83
0,7,782,-14.38,13.86
0,7,784,-14.36,13.89
0,7,786,-14.34,13.90
0,7,788,-14.32,13.97
0,7,790,-14.29,13.98
0,7,792,-14.27,14.01
0,7,794,-14.25,14.03
0,7,796,-14.23,14.05
0,7,798,-14.21,14.08
0,7,800,-14.19,14.10
0,7,802,-14.16,14.13
0,7,804,-14.14,14.13
0,7,806,-14.12,14.16
0,7,808,-14.10,14.18
0,7,810,-14.08,14.20
0,7,812,-14.06,14.22
0,7,814,-14.03,14.25
0,7,816,-14.01,14.27
0,7,818,-13.99,14.29
0,7,820,-13.97,14.30
0,7,822,-13.95,14.34
0,7,824,-13.93,14.34
0,7,826,-13.91,14.37
0,7,828,-13.89,14.39
0,7,830,-13.87,14.41
0,7,832,-13.84,14.43
0,7,834,-13.82,14.46
0,7,836,-13.80,14.48
0,7,838,-13.78,14.50
0,7,840,-13.76,14.52
0,7,842,-13.74,14.54
0,7,844,-13.72,14.56
0,7,846,-13.70,14.58
0,7,848,-13.68,14.60
0,7,850,-13.66,14.62
0,7,852,-13.64,14.63
0,7,854,-13.62,14.66
0,7,856,-13.60,14.68
0,7,858,-13.58,14.71
0,7,860,-13.56,14.72
0,7,862,-13.54,14.75
0,7,864,-13.52,14.76
0,7,866,-13.50,14.77
0,7,868,-13.48,14.80
0,7,870,-13.46,14.82
0,7,872,-13.44,14.83
0,7,874,-13.42,14.85
0,7,876,-13.40,14.87
0,7,878,-13.38,14.89
0,7,880,-13.36,14.91
0,7,882,-13.34,14.93
0,7,884,-13.32,14.95
0,7,886,-13.30,14.96
0,7,888,-13.28,14.99
0,7,890,-13.26,15.01
0,7,892,-13.24,15.02
0,7,894,-13.22,15.04
0,7,896,-13.20,15.07
0,7,898,-13.18,15.08
0,7,900,-13.16,15.10
0,7,902,-13.14,15.12
0,7,904,-13.12,15.13
0,7,906,-13.10,15.16
0,7,908,-13.09,15.18
0,7,910,-13.07,15.20
0,7,912,-13.05,15.22
0,7,914,-13.03,15.23
0,7,916,-13.01,15.26
0,7,918,-12.99,15.27
0,7,920,-12.97,15.29
0,7,922,-12.95,15.31
0,7,924,-12.93,15.33
0,7,926,-12.91,15.34
0,7,928,-12.90,15.36
0,7,930,-12.88,15.38
0,7,932,-12.86,15.40
0,7,934,-12.84,15.41
0,7,936,-12.82,15.41
0,7,938,-12.80,15.42
0,7,940,-12.78,15.45
0,7,942,-12.77,15.48
0,7,944,-12.75,15.49
0,7,946,-12.73,15.50
0,7,948,-12.71,15.51
0,7,950,-12.69,15.55
0,7,952,-12.67,15.55
0,7,954,-12.66,15.58
0,7,956,-12.64,15.61
0,7,958,-12.62,15.62
0,7,960,-12.60,15.64
0,7,962,-12.58,15.65
0,7,964,-12.57,15.67
0,7,966,-12.55,15.69
0,7,968,-12.53,15.71
0,7,970,-12.51,15.72
0,7,972,-12.49,15.73
0,7,974,-12.48,15.75
0,7,976,-12.46,15.78
0,7,978,-12.44,15.80
0,7,980,-12.42,15.82
0,7,982,-12.40,15.83
0,7,984,-12.39,15.86
0,7,986,-12.37,15.88
0,7,988,-12.35,15.89
0,7,990,-12.33,15.91
0,7,992,-12.32,15.92
0,7,994,-12.30,15.95
0,7,996,-12.28,15.97
0,7,998,-12.26,15.98
0,7,1000,-12.25,16.02
0,7,1002,-12.23,16.01
0,7,1004,-12.21,16.03
0,7,1006,-12.20,16.05
0,7,1008,-12.18,16.05
0,7,1010,-12.16,16.07
0,7,1012,-12.14,16.10
0,7,1014,-12.13,16.10
0,7,1016,-12.11,16.13
0,7,1018,-12.09,16.15
0,7,1020,-12.08,16.16
0,7,1022,-12.06,16.17
0,7,1024,-12.04,16.20
0,7,1026,-12.02,16.23
0,7,1028,-12.01,16.24
0,7,1030,-11.99,16.25
0,7,1032,-11.97,16.28
0,7,1034,-11.96,16.29
0,7,1036,-11.94,16.29
0,7,1038,-11.92,16.32
0,7,1040,-11.91,16.33
0,7,1042,-11.89,16.35
0,7,1044,-11.87,16.37
0,7,1046,-11.86,16.38
0,7,1048,-11.84,16.40
0,7,1050,-11.82,16.41
0,7,1052,-11.81,16.42
0,7,1054,-11.79,16.45
0,7,1056,-11.77,16.46
0,7,1058,-11.76,16.47
0,7,1060,-11.74,16.49
0,7,1062,-11.72,16.51
0,7,1064,-11.71,16.54
0,7,1066,-11.69,16.55
0,7,1068,-11.68,16.55
0,7,1070,-11.66,16.57
0,7,1072,-11.64,16.56
0,7,1074,-11.63,16.60
0,7,1076,-11.61,16.62
0,7,1078,-11.59,16.63
0,7,1080,-11.58,16.67
0,7,1082,-11.56,16.66
0,7,1084,-11.55,16.69
0,7,1086,-11.53,16.70
0,7,1088,-11.51,16.72
0,7,1090,-11.50,16.74
0,7,1092,-11.48,16.74
0,7,1094,-11.47,16.77
0,7,1096,-11.45,16.77
0,7,1098,-11.44,16.80
0,7,1100,-11.42,16.82
0,7,1102,-11.40,16.83
0,7,1104,-11.39,16.85
0,7,1106,-11.37,16.85
0,7,1108,-11.36,16.88
0,7,1110,-11.34,16.89
0,7,1112,-11.33,16.90
0,7,1114,-11.31,16.90
0,7,1116,-11.29,16.93
0,7,1118,-11.28,16.92
0,7,1120,-11.26,16.94
0,7,1122,-11.25,16.96
0,7,1124,-11.23,16.98
0,7,1126,-11.22,17.00
0,7,1128,-11.20,17.01
0,7,1130,-11.19,17.02
0,7,1132,-11.17,17.04
0,7,1134,-11.15,17.05
0,7,1136,-11.14,17.05
0,7,1138,-11.12,17.08
0,7,1140,-11.11,17.10
0,7,1142,-11.09,17.12
0,7,1144,-11.08,17.12
0,7,1146,-11.06,17.15
0,7,1148,-11.05,17.16
0,7,1150,-11.03,17.18
0,7,1152,-11.02,17.18
0,7,1154,-11.00,17.20
0,7,1156,-10.99,17.23
0,7,1158,-10.97,17.23
0,7,1160,-10.96,17.24
0,7,1162,-10.94,17.26
0,7,1164,-10.93,17.28
0,7,1166,-10.91,17.29
0,7,1168,-10.90,17.30
0,7,1170,-10.88,17.32
0,7,1172,-10.87,17.34
0,7,1174,-10.85,17.35
0,7,1176,-10.84,17.37
0,7,1178,-10.82,17.38
0,7,1180,-10.81,17.39
0,7,1182,-10.79,17.42
0,7,1184,-10.78,17.42
0,7,1186,-10.77,17.44
0,7,1188,-10.75,17.46
0,7,1190,-10.74,17.47
0,7,1192,-10.72,17.48
0,7,1194,-10.71,17.50
0,7,1196,-10.69,17.52
0,7,1198,-10.68,17.53
0,7,1200,-10.66,17.55
0,7,1202,-10.65,17.55
0,7,1204,-10.63,17.55
0,7,1206,-10.62,17.58
0,7,1208,-10.61,17.59
0,7,1210,-10.59,17.61
0,7,1212,-10.58,17.63
0,7,1214,-10.56,17.63
0,7,1216,-10.55,17.65
0,7,1218,-10.53,17.66
0,7,1220,-10.52,17.68
0,7,1222,-10.51,17.69
0,7,1224,-10.49,17.70
0,7,1226,-10.48,17.73
0,7,1228,-10.46,17.75
0,7,1230,-10.45,17.75
0,7,1232,-10.43,17.77
0,7,1234,-10.42,17.79
0,7,1236,-10.41,17.81
0,7,1238,-10.39,17.82
0,7,1240,-10.38,17.84
0,7,1242,-10.36,17.84
0,7,1244,-10.35,17.86
0,7,1246,-10.34,17.86
0,7,1248,-10.32,17.88
0,7,1250,-10.31,17.89
0,7,1252,-10.30,17.91
0,7,1254,-10.28,17.92
0,7,1256,-10.27,18.01
0,7,1258,-10.25,18.02
0,7,1260,-10.24,18.03
0,7,1262,-10.23,18.04
0,7,1264,-10.21,18.04
0,7,1266,-10.20,18.06
0,7,1268,-10.18,18.08
0,7,1270,-10.17,18.09
0,7,1272,-10.16,18.11
0,7,1274,-10.14,18.12
0,7,1276,-10.13,18.13
0,7,1278,-10.12,18.14
0,7,1280,-10.10,18.17
0,7,1282,-10.09,18.18
0,7,1284,-10.08,18.20
0,7,1286,-10.06,18.21
0,7,1288,-10.05,18.21
0,7,1290,-10.04,18.24
0,7,1292,-10.02,18.25
0,7,1294,-10.01,18.25
0,7,1296,-10.00,18.29
0,7,1298,-9.98,18.29
0,7,1300,-9.97,18.30
0,7,1302,-9.95,18.32
0,7,1304,-9.94,18.33
0,7,1306,-9.93,18.35
0,7,1308,-9.92,18.35
0,7,1310,-9.90,18.38
0,7,1312,-9.89,18.38
0,7,1314,-9.88,18.39
0,7,1316,-9.86,18.40
0,7,1318,-9.85,18.42
0,7,1320,-9.84,18.44
0,7,1322,-9.82,18.46
0,7,1324,-9.81,18.45
0,7,1326,-9.80,18.47
0,7,1328,-9.78,18.49
0,7,1330,-9.77,18.51
0,7,1332,-9.76,18.52
0,7,1334,-9.74,18.53
0,7,1336,-9.73,18.55
0,7,1338,-9.72,18.56
0,7,1340,-9.71,18.57
0,7,1342,-9.69,18.59
0,7,1344,-9.68,18.61
0,7,1346,-9.67,18.62
0,7,1348,-9.65,18.63
0,7,1350,-9.64,18.64
0,7,1352,-9.63,18.65
0,7,1354,-9.61,18.65
0,7,1356,-9.60,18.68
0,7,1358,-9.59,18.69
0,7,1360,-9.58,18.71
0,7,1362,-9.56,18.71
0,7,1364,-9.55,18.74
0,7,1366,-9.54,18.75
0,7,1368,-9.53,18.76
0,7,1370,-9.51,18.77
0,7,1372,-9.50,18.78
0,7,1374,-9.49,18.78
0,7,1376,-9.47,18.80
0,7,1378,-9.46,18.81
0,7,1380,-9.45,18.82
0,7,1382,-9.44,18.83
0,7,1384,-9.42,18.86
0,7,1386,-9.41,18.86
0,7,1388,-9.40,18.89
0,7,1390,-9.39,18.89
0,7,1392,-9.37,18.90
0,7,1394,-9.36,18.93
0,7,1396,-9.35,18.94
0,7,1398,-9.34,18.95
0,7,1400,-9.32,18.97
0,7,1402,-9.31,18.98
0,7,1404,-9.30,18.98
0,7,1406,-9.29,19.00
0,7,1408,-9.28,19.02
0,7,1410,-9.26,19.02
0,7,1412,-9.25,19.03
0,7,1414,-9.24,19.04
0,7,1416,-9.23,19.06
0,7,1418,-9.21,19.06
0,7,1420,-9.20,19.08
0,7,1422,-9.19,19.09
0,7,1424,-9.18,19.11
0,7,1426,-9.16,19.11
0,7,1428,-9.15,19.13
0,7,1430,-9.14,19.15
0,7,1432,-9.13,19.15
0,7,1434,-9.12,19.17
