test_time, BoardNo, am, phase, BinVersion,freq, Channel, SetPwr, pwr, freq, Current
0821_193924,5,0.7,120,testmode_8819h_820_high_apc,2442,7,18,1.23,2446.08,199.66
0821_193929,5,0.7,140,testmode_8819h_820_high_apc,2442,7,18,1.46,2446.08,199.58
0821_193935,5,0.7,160,testmode_8819h_820_high_apc,2442,7,18,2.0,2446.08,199.35
0821_193941,5,0.6,-180,testmode_8819h_820_high_apc,2442,7,18,4.45,2446.06,199.29
0821_193946,5,0.6,-160,testmode_8819h_820_high_apc,2442,7,18,5.49,2446.08,199.28
0821_193952,5,0.6,-140,testmode_8819h_820_high_apc,2442,7,18,6.83,2446.08,199.1
0821_193958,5,0.6,-120,testmode_8819h_820_high_apc,2442,7,18,8.26,2446.08,199.19
0821_194003,5,0.6,-100,testmode_8819h_820_high_apc,2442,7,18,9.46,2446.08,199.79
0821_194009,5,0.6,-80,testmode_8819h_820_high_apc,2442,7,18,9.75,2446.08,200.43
0821_194014,5,0.6,-60,testmode_8819h_820_high_apc,2442,7,18,9.01,2446.06,200.76
0821_194020,5,0.6,-40,testmode_8819h_820_high_apc,2442,7,18,7.72,2446.08,200.87
0821_194026,5,0.6,-20,testmode_8819h_820_high_apc,2442,7,18,6.45,2446.08,200.71
0821_194031,5,0.6,0,testmode_8819h_820_high_apc,2442,7,18,5.34,2446.06,200.53
0821_194037,5,0.6,20,testmode_8819h_820_high_apc,2442,7,18,4.39,2446.08,200.3
0821_194043,5,0.6,40,testmode_8819h_820_high_apc,2442,7,18,3.73,2446.08,200.2
0821_194048,5,0.6,60,testmode_8819h_820_high_apc,2442,7,18,3.27,2446.06,200.0
0821_194054,5,0.6,80,testmode_8819h_820_high_apc,2442,7,18,3.0,2446.08,199.93
0821_194059,5,0.6,100,testmode_8819h_820_high_apc,2442,7,18,2.87,2446.06,199.83
0821_194105,5,0.6,120,testmode_8819h_820_high_apc,2442,7,18,2.92,2446.06,199.79
0821_194111,5,0.6,140,testmode_8819h_820_high_apc,2442,7,18,3.16,2446.06,199.66
0821_194116,5,0.6,160,testmode_8819h_820_high_apc,2442,7,18,3.69,2446.08,199.57
0821_194122,5,0.5,-180,testmode_8819h_820_high_apc,2442,7,18,5.62,2446.08,199.35
0821_194128,5,0.5,-160,testmode_8819h_820_high_apc,2442,7,18,6.49,2446.06,199.28
0821_194133,5,0.5,-140,testmode_8819h_820_high_apc,2442,7,18,7.63,2446.06,199.34
0821_194139,5,0.5,-120,testmode_8819h_820_high_apc,2442,7,18,8.71,2446.08,199.51
