test_time, BoardNo, am, phase, BinVersion,freq, Channel, SetPwr, pwr, freq, Current
0821_181648,5,0.9,-180,testmode_8819h_820_high_apc,2442,7,18,-7.56,2446.06,173.08
0821_181656,5,0.9,-165,testmode_8819h_820_high_apc,2442,7,18,-6.5,2446.06,172.85
0821_181704,5,0.9,-150,testmode_8819h_820_high_apc,2442,7,18,-5.12,2446.08,172.84
0821_181712,5,0.9,-135,testmode_8819h_820_high_apc,2442,7,18,-3.49,2446.08,172.72
0821_181720,5,0.9,-120,testmode_8819h_820_high_apc,2442,7,18,-1.6,2446.08,172.65
0821_181728,5,0.9,-105,testmode_8819h_820_high_apc,2442,7,18,0.34,2446.06,172.83
0821_181736,5,0.9,-90,testmode_8819h_820_high_apc,2442,7,18,1.85,2446.06,173.25
0821_181744,5,0.9,-75,testmode_8819h_820_high_apc,2442,7,18,1.53,2446.06,173.93
0821_181752,5,0.9,-60,testmode_8819h_820_high_apc,2442,7,18,-0.0,2446.06,174.02
0821_181800,5,0.9,-45,testmode_8819h_820_high_apc,2442,7,18,-1.37,2446.06,173.97
0821_181808,5,0.9,-30,testmode_8819h_820_high_apc,2442,7,18,-2.48,2446.06,173.76
0821_181816,5,0.9,-15,testmode_8819h_820_high_apc,2442,7,18,-4.3,2446.06,173.49
0821_181824,5,0.9,0,testmode_8819h_820_high_apc,2442,7,18,-5.06,2446.06,173.45
0821_181832,5,0.9,15,testmode_8819h_820_high_apc,2442,7,18,-5.75,2446.08,173.34
0821_181840,5,0.9,30,testmode_8819h_820_high_apc,2442,7,18,-6.48,2446.06,173.23
0821_181848,5,0.9,45,testmode_8819h_820_high_apc,2442,7,18,-6.98,2446.06,173.21
0821_181856,5,0.9,60,testmode_8819h_820_high_apc,2442,7,18,-7.51,2446.08,173.1
0821_181904,5,0.9,75,testmode_8819h_820_high_apc,2442,7,18,-7.99,2446.08,173.18
0821_181912,5,0.9,90,testmode_8819h_820_high_apc,2442,7,18,-8.42,2446.06,173.02
0821_181920,5,0.9,105,testmode_8819h_820_high_apc,2442,7,18,-8.93,2446.06,173.01
0821_181928,5,0.9,120,testmode_8819h_820_high_apc,2442,7,18,-8.79,2446.06,172.99
0821_181936,5,0.9,135,testmode_8819h_820_high_apc,2442,7,18,-9.57,2446.06,173.01
0821_181944,5,0.9,150,testmode_8819h_820_high_apc,2442,7,18,-9.09,2446.06,173.05
0821_181952,5,0.9,165,testmode_8819h_820_high_apc,2442,7,18,-8.49,2446.08,172.83
0821_182000,5,0.8,-180,testmode_8819h_820_high_apc,2442,7,18,-3.38,2446.06,172.89
0821_182008,5,0.8,-165,testmode_8819h_820_high_apc,2442,7,18,-2.63,2446.06,172.86
0821_182016,5,0.8,-150,testmode_8819h_820_high_apc,2442,7,18,-1.44,2446.06,172.83
0821_182024,5,0.8,-135,testmode_8819h_820_high_apc,2442,7,18,0.09,2446.06,172.67
0821_182032,5,0.8,-120,testmode_8819h_820_high_apc,2442,7,18,1.92,2446.08,172.77
0821_182040,5,0.8,-105,testmode_8819h_820_high_apc,2442,7,18,3.74,2446.06,172.95
0821_182048,5,0.8,-90,testmode_8819h_820_high_apc,2442,7,18,4.9,2446.08,173.31
0821_182056,5,0.8,-75,testmode_8819h_820_high_apc,2442,7,18,4.78,2446.08,173.74
0821_182104,5,0.8,-60,testmode_8819h_820_high_apc,2442,7,18,3.61,2446.08,173.73
0821_182112,5,0.8,-45,testmode_8819h_820_high_apc,2442,7,18,2.21,2446.06,173.67
0821_182120,5,0.8,-30,testmode_8819h_820_high_apc,2442,7,18,0.98,2446.06,173.7
0821_182128,5,0.8,-15,testmode_8819h_820_high_apc,2442,7,18,-0.15,2446.06,173.61
0821_182136,5,0.8,0,testmode_8819h_820_high_apc,2442,7,18,-1.37,2446.06,173.4
0821_182144,5,0.8,15,testmode_8819h_820_high_apc,2442,7,18,-2.12,2446.06,173.41
0821_182152,5,0.8,30,testmode_8819h_820_high_apc,2442,7,18,-2.78,2446.06,173.26
0821_182200,5,0.8,45,testmode_8819h_820_high_apc,2442,7,18,-3.28,2446.08,173.29
0821_182208,5,0.8,60,testmode_8819h_820_high_apc,2442,7,18,-3.69,2446.08,173.22
0821_182216,5,0.8,75,testmode_8819h_820_high_apc,2442,7,18,-4.07,2446.08,173.18
0821_182224,5,0.8,90,testmode_8819h_820_high_apc,2442,7,18,-4.38,2446.06,173.04
0821_182232,5,0.8,105,testmode_8819h_820_high_apc,2442,7,18,-4.65,2446.06,173.07
0821_182240,5,0.8,120,testmode_8819h_820_high_apc,2442,7,18,-4.68,2446.06,173.06
0821_182248,5,0.8,135,testmode_8819h_820_high_apc,2442,7,18,-4.52,2446.06,173.1
0821_182256,5,0.8,150,testmode_8819h_820_high_apc,2442,7,18,-4.31,2446.06,173.02
0821_182304,5,0.8,165,testmode_8819h_820_high_apc,2442,7,18,-3.87,2446.06,172.92
0821_182312,5,0.7,-180,testmode_8819h_820_high_apc,2442,7,18,-0.63,2446.08,172.9
0821_182320,5,0.7,-160,testmode_8819h_820_high_apc,2442,7,18,0.5,2446.08,172.9
0821_182328,5,0.7,-140,testmode_8819h_820_high_apc,2442,7,18,2.03,2446.06,172.78
0821_182336,5,0.7,-120,testmode_8819h_820_high_apc,2442,7,18,3.86,2446.06,172.85
0821_182344,5,0.7,-100,testmode_8819h_820_high_apc,2442,7,18,5.53,2446.08,173.08
0821_182352,5,0.7,-80,testmode_8819h_820_high_apc,2442,7,18,6.0,2446.06,173.44
0821_182400,5,0.7,-60,testmode_8819h_820_high_apc,2442,7,18,4.95,2446.06,173.67
0821_182408,5,0.7,-40,testmode_8819h_820_high_apc,2442,7,18,3.33,2446.06,173.72
0821_182416,5,0.7,-20,testmode_8819h_820_high_apc,2442,7,18,1.85,2446.06,173.62
0821_182424,5,0.7,0,testmode_8819h_820_high_apc,2442,7,18,0.67,2446.06,173.51
0821_182432,5,0.7,20,testmode_8819h_820_high_apc,2442,7,18,-0.38,2446.06,173.49
0821_182440,5,0.7,40,testmode_8819h_820_high_apc,2442,7,18,-1.12,2446.06,173.31
0821_182448,5,0.7,60,testmode_8819h_820_high_apc,2442,7,18,-1.61,2446.08,173.18
0821_182456,5,0.7,80,testmode_8819h_820_high_apc,2442,7,18,-1.95,2446.06,173.26
0821_182504,5,0.7,100,testmode_8819h_820_high_apc,2442,7,18,-2.19,2446.06,173.11
0821_182512,5,0.7,120,testmode_8819h_820_high_apc,2442,7,18,-2.23,2446.06,173.19
0821_182520,5,0.7,140,testmode_8819h_820_high_apc,2442,7,18,-1.91,2446.06,173.08
0821_182528,5,0.7,160,testmode_8819h_820_high_apc,2442,7,18,-1.44,2446.06,172.99
0821_182536,5,0.6,-180,testmode_8819h_820_high_apc,2442,7,18,1.03,2446.06,173.04
0821_182544,5,0.6,-160,testmode_8819h_820_high_apc,2442,7,18,2.07,2446.06,172.94
0821_182552,5,0.6,-140,testmode_8819h_820_high_apc,2442,7,18,3.44,2446.06,172.96
0821_182600,5,0.6,-120,testmode_8819h_820_high_apc,2442,7,18,4.87,2446.06,173.02
0821_182608,5,0.6,-100,testmode_8819h_820_high_apc,2442,7,18,6.02,2446.06,173.21
0821_182616,5,0.6,-80,testmode_8819h_820_high_apc,2442,7,18,6.28,2446.06,173.43
0821_182624,5,0.6,-60,testmode_8819h_820_high_apc,2442,7,18,5.48,2446.06,173.64
0821_182632,5,0.6,-40,testmode_8819h_820_high_apc,2442,7,18,4.22,2446.08,173.64
0821_182640,5,0.6,-20,testmode_8819h_820_high_apc,2442,7,18,2.96,2446.06,173.56
0821_182648,5,0.6,0,testmode_8819h_820_high_apc,2442,7,18,1.85,2446.06,173.51
0821_182656,5,0.6,20,testmode_8819h_820_high_apc,2442,7,18,0.93,2446.06,173.39
