test_time, BoardNo, am, phase, BinVersion,freq, Channel, SetPwr, pwr, freq, Current
0821_172026,5,0.7,120,testmode_8819h_820_high_apc,2442,7,18,8.5,2446.06,387.03
0821_172034,5,0.7,140,testmode_8819h_820_high_apc,2442,7,18,9.21,2446.08,385.96
0821_172042,5,0.7,160,testmode_8819h_820_high_apc,2442,7,18,9.64,2446.08,384.8
0821_172051,5,0.6,-180,testmode_8819h_820_high_apc,2442,7,18,11.96,2446.08,382.96
0821_172059,5,0.6,-160,testmode_8819h_820_high_apc,2442,7,18,12.81,2446.08,380.84
0821_172107,5,0.6,-140,testmode_8819h_820_high_apc,2442,7,18,13.88,2446.08,378.49
0821_172116,5,0.6,-120,testmode_8819h_820_high_apc,2442,7,18,15.03,2446.08,375.26
0821_172124,5,0.6,-100,testmode_8819h_820_high_apc,2442,7,18,16.06,2446.08,373.14
0821_172132,5,0.6,-80,testmode_8819h_820_high_apc,2442,7,18,16.67,2446.06,375.24
0821_172141,5,0.6,-60,testmode_8819h_820_high_apc,2442,7,18,16.63,2446.06,381.66
0821_172149,5,0.6,-40,testmode_8819h_820_high_apc,2442,7,18,15.9,2446.06,387.56
0821_172158,5,0.6,-20,testmode_8819h_820_high_apc,2442,7,18,14.81,2446.06,390.26
0821_172206,5,0.6,0,testmode_8819h_820_high_apc,2442,7,18,13.76,2446.06,390.89
0821_172214,5,0.6,20,testmode_8819h_820_high_apc,2442,7,18,12.79,2446.06,390.6
0821_172223,5,0.6,40,testmode_8819h_820_high_apc,2442,7,18,12.09,2446.08,390.12
0821_172231,5,0.6,60,testmode_8819h_820_high_apc,2442,7,18,11.56,2446.08,389.48
0821_172239,5,0.6,80,testmode_8819h_820_high_apc,2442,7,18,11.2,2446.08,388.85
0821_172248,5,0.6,100,testmode_8819h_820_high_apc,2442,7,18,11.01,2446.08,388.06
0821_172256,5,0.6,120,testmode_8819h_820_high_apc,2442,7,18,10.95,2446.08,386.84
0821_172304,5,0.6,140,testmode_8819h_820_high_apc,2442,7,18,11.11,2446.08,385.96
0821_172313,5,0.6,160,testmode_8819h_820_high_apc,2442,7,18,11.51,2446.08,384.61
0821_172321,5,0.5,-180,testmode_8819h_820_high_apc,2442,7,18,13.33,2446.06,383.06
0821_172329,5,0.5,-160,testmode_8819h_820_high_apc,2442,7,18,14.0,2446.06,381.51
0821_172338,5,0.5,-140,testmode_8819h_820_high_apc,2442,7,18,14.96,2446.06,379.35
0821_172346,5,0.5,-120,testmode_8819h_820_high_apc,2442,7,18,15.85,2446.06,377.61
0821_172354,5,0.5,-100,testmode_8819h_820_high_apc,2442,7,18,16.62,2446.06,376.76
0821_172403,5,0.5,-80,testmode_8819h_820_high_apc,2442,7,18,17.03,2446.06,378.66
0821_172411,5,0.5,-60,testmode_8819h_820_high_apc,2442,7,18,16.92,2446.08,382.81
0821_172419,5,0.5,-40,testmode_8819h_820_high_apc,2442,7,18,16.32,2446.08,387.23
0821_172428,5,0.5,-20,testmode_8819h_820_high_apc,2442,7,18,15.46,2446.08,389.2
0821_172436,5,0.5,0,testmode_8819h_820_high_apc,2442,7,18,14.6,2446.08,390.1
0821_172445,5,0.5,20,testmode_8819h_820_high_apc,2442,7,18,13.8,2446.08,390.07
0821_172453,5,0.5,40,testmode_8819h_820_high_apc,2442,7,18,13.14,2446.08,389.81
0821_172501,5,0.5,60,testmode_8819h_820_high_apc,2442,7,18,12.69,2446.08,388.82
0821_172510,5,0.5,80,testmode_8819h_820_high_apc,2442,7,18,12.41,2446.06,388.25
0821_172518,5,0.5,100,testmode_8819h_820_high_apc,2442,7,18,12.26,2446.06,387.53
0821_172526,5,0.5,120,testmode_8819h_820_high_apc,2442,7,18,12.26,2446.06,386.46
0821_172535,5,0.5,140,testmode_8819h_820_high_apc,2442,7,18,12.44,2446.06,385.7
0821_172543,5,0.5,160,testmode_8819h_820_high_apc,2442,7,18,12.83,2446.06,384.75
0821_172551,5,0.4,-180,testmode_8819h_820_high_apc,2442,7,18,14.27,2446.06,383.39
0821_172600,5,0.4,-150,testmode_8819h_820_high_apc,2442,7,18,15.23,2446.08,381.3
0821_172608,5,0.4,-120,testmode_8819h_820_high_apc,2442,7,18,16.26,2446.08,379.66
0821_172616,5,0.4,-90,testmode_8819h_820_high_apc,2442,7,18,16.95,2446.08,380.19
0821_172625,5,0.4,-60,testmode_8819h_820_high_apc,2442,7,18,16.93,2446.08,383.99
0821_172633,5,0.4,-30,testmode_8819h_820_high_apc,2442,7,18,16.17,2446.08,387.54
0821_172641,5,0.4,0,testmode_8819h_820_high_apc,2442,7,18,15.13,2446.08,389.11
0821_172650,5,0.4,30,testmode_8819h_820_high_apc,2442,7,18,14.2,2446.08,389.16
0821_172658,5,0.4,60,testmode_8819h_820_high_apc,2442,7,18,13.57,2446.06,388.72
0821_172707,5,0.4,90,testmode_8819h_820_high_apc,2442,7,18,13.23,2446.06,387.51
0821_172715,5,0.4,120,testmode_8819h_820_high_apc,2442,7,18,13.22,2446.06,386.6
0821_172723,5,0.4,150,testmode_8819h_820_high_apc,2442,7,18,13.57,2446.06,385.22
0821_172732,5,0.3,-180,testmode_8819h_820_high_apc,2442,7,18,14.82,2446.06,383.64
0821_172740,5,0.3,-150,testmode_8819h_820_high_apc,2442,7,18,15.59,2446.06,382.28
0821_172748,5,0.3,-120,testmode_8819h_820_high_apc,2442,7,18,16.36,2446.08,381.62
0821_172757,5,0.3,-90,testmode_8819h_820_high_apc,2442,7,18,16.82,2446.08,382.22
0821_172805,5,0.3,-60,testmode_8819h_820_high_apc,2442,7,18,16.78,2446.08,384.56
0821_172813,5,0.3,-30,testmode_8819h_820_high_apc,2442,7,18,16.25,2446.08,386.74
0821_172822,5,0.3,0,testmode_8819h_820_high_apc,2442,7,18,15.49,2446.08,387.98
0821_172830,5,0.3,30,testmode_8819h_820_high_apc,2442,7,18,14.78,2446.08,388.26
0821_172839,5,0.3,60,testmode_8819h_820_high_apc,2442,7,18,14.25,2446.08,388.23
0821_172847,5,0.3,90,testmode_8819h_820_high_apc,2442,7,18,13.96,2446.06,387.18
0821_172855,5,0.3,120,testmode_8819h_820_high_apc,2442,7,18,13.95,2446.06,386.28
0821_172904,5,0.3,150,testmode_8819h_820_high_apc,2442,7,18,14.24,2446.06,385.2
0821_172912,5,0.2,-180,testmode_8819h_820_high_apc,2442,7,18,15.27,2446.06,384.08
0821_172920,5,0.2,-140,testmode_8819h_820_high_apc,2442,7,18,15.98,2446.06,383.17
0821_172929,5,0.2,-100,testmode_8819h_820_high_apc,2442,7,18,16.53,2446.06,383.09
0821_172937,5,0.2,-60,testmode_8819h_820_high_apc,2442,7,18,16.58,2446.08,384.84
0821_172945,5,0.2,-20,testmode_8819h_820_high_apc,2442,7,18,16.09,2446.08,386.67
0821_172954,5,0.2,20,testmode_8819h_820_high_apc,2442,7,18,15.41,2446.08,387.55
0821_173002,5,0.2,60,testmode_8819h_820_high_apc,2442,7,18,14.87,2446.08,387.24
0821_173011,5,0.2,100,testmode_8819h_820_high_apc,2442,7,18,14.63,2446.08,386.62
0821_173019,5,0.2,140,testmode_8819h_820_high_apc,2442,7,18,14.79,2446.08,385.52
0821_173027,5,0.1,-180,testmode_8819h_820_high_apc,2442,7,18,15.61,2446.08,384.92
0821_173036,5,0.1,-140,testmode_8819h_820_high_apc,2442,7,18,15.96,2446.06,384.54
0821_173044,5,0.1,-100,testmode_8819h_820_high_apc,2442,7,18,16.22,2446.06,384.59
0821_173052,5,0.1,-60,testmode_8819h_820_high_apc,2442,7,18,16.24,2446.06,385.19
0821_173101,5,0.1,-20,testmode_8819h_820_high_apc,2442,7,18,16.02,2446.06,386.09
0821_173109,5,0.1,20,testmode_8819h_820_high_apc,2442,7,18,15.68,2446.06,386.59
0821_173117,5,0.1,60,testmode_8819h_820_high_apc,2442,7,18,15.38,2446.06,386.5
0821_173126,5,0.1,100,testmode_8819h_820_high_apc,2442,7,18,15.28,2446.08,386.22
0821_173134,5,0.1,140,testmode_8819h_820_high_apc,2442,7,18,15.4,2446.08,385.61
0821_173142,5,0.0,0,testmode_8819h_820_high_apc,2442,7,18,15.77,2446.08,385.41
