Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg
42,5 7,1 1,4000,0,,-100,0
42,5 7,1 1,4000,1,,-100,0
42,5 7,1 1,4000,2,,-100,0
42,5 7,1 1,4000,3,,-100,0
42,5 7,1 1,4000,4,,-100,0
42,5 7,1 1,4000,5,,-100,0
42,5 7,1 1,4000,6,,-100,0
42,5 7,1 1,4000,7,,-100,0
42,5 7,1 1,4000,8,,-100,0
42,5 7,1 1,4000,9,,-100,0
42,5 7,1 1,4000,10,,-100,0
42,5 7,1 1,4000,11,,-100,0
42,5 7,1 1,4000,12,,-100,0
Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg
Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg
42,5 7,1 1,4000,0,r 403422c8
[0x403422C8] = 0x133F4CB5
aic> r 40500001
[0x40500001] = 0x00730788
aic> ,15.66,-36.79
42,5 7,1 1,4000,1,r 403422c8
[0x403422C8] = 0x133F4CB5
aic> r 40500001
[0x40500001] = 0x00730788
aic> ,15.67,-36.67
42,5 7,1 1,4000,2,r 403422c8
[0x403422C8] = 0x133F4CB5
aic> r 40500001
[0x40500001] = 0x00730788
aic> ,15.67,-36.70
42,5 7,1 1,4000,3,r 403422c8
[0x403422C8] = 0x133F4CB5
aic> r 40500001
[0x40500001] = 0x00730788
aic> ,15.67,-36.73
42,5 7,1 1,4000,4,r 403422c8
[0x403422C8] = 0x133F4CB5
aic> r 40500001
[0x40500001] = 0x00730788
aic> ,15.66,-36.65
42,5 7,1 1,4000,5,r 403422c8
[0x403422C8] = 0x133F4CB5
aic> r 40500001
[0x40500001] = 0x00730788
aic> ,15.67,-36.79
42,5 7,1 1,4000,6,r 403422c8
[0x403422C8] = 0x133F4CB5
aic> r 40500001
[0x40500001] = 0x00730788
aic> ,15.69,-36.86
42,5 7,1 1,4000,7,r 403422c8
[0x403422C8] = 0x133F4CB5
aic> r 40500001
[0x40500001] = 0x00730788
aic> ,15.67,-36.77
42,5 7,1 1,4000,8,r 403422c8
[0x403422C8] = 0x133F4CB5
aic> r 40500001
[0x40500001] = 0x00730788
aic> ,15.67,-36.78
42,5 7,1 1,4000,9,r 403422c8
[0x403422C8] = 0x133F4CB5
aic> r 40500001
[0x40500001] = 0x00730788
aic> ,15.66,-36.75
42,5 7,1 1,4000,10,r 403422c8
[0x403422C8] = 0x133F4CB5
aic> r 40500001
[0x40500001] = 0x00730788
aic> ,15.67,-36.67
42,5 7,1 1,4000,11,r 403422c8
[0x403422C8] = 0x133F4CB5
aic> r 40500001
[0x40500001] = 0x00730788
aic> ,15.66,-36.77
42,5 7,1 1,4000,12,r 403422c8
[0x403422C8] = 0x133F4CB5
aic> r 40500001
[0x40500001] = 0x00730788
aic> ,15.67,-36.82
42,5 7,1 1,4000,13,r 403422c8
[0x403422C8] = 0x133F4CB5
aic> r 40500001
[0x40500001] = 0x00730788
aic> ,15.67,-36.64
42,5 7,1 1,4000,14,r 403422c8
[0x403422C8] = 0x133F4CB5
aic> r 40500001
[0x40500001] = 0x00730788
aic> ,15.66,-36.98
42,5 7,1 1,4000,15,r 403422c8
[0x403422C8] = 0x133F4CB5
aic> r 40500001
[0x40500001] = 0x00730788
aic> ,15.66,-36.65
42,5 7,1 1,4000,16,r 403422c8
[0x403422C8] = 0x133F4CB5
aic> r 40500001
[0x40500001] = 0x00730788
aic> ,15.67,-36.66
42,5 7,1 1,4000,17,r 403422c8
[0x403422C8] = 0x133F4CB5
aic> r 40500001
[0x40500001] = 0x00730788
aic> ,15.65,-36.89
42,5 7,1 1,4000,18,r 403422c8
[0x403422C8] = 0x133F4CB5
aic> r 40500001
[0x40500001] = 0x00730788
aic> ,15.66,-36.78
42,5 7,1 1,4000,19,r 403422c8
[0x403422C8] = 0x133F4CB5
aic> r 40500001
[0x40500001] = 0x00730788
aic> ,15.67,-36.53
42,5 7,1 1,4000,20,r 403422c8
[0x403422C8] = 0x133F4CB5
aic> r 40500001
[0x40500001] = 0x00730788
aic> ,15.66,-36.84
42,5 7,1 1,4000,21,r 403422c8
[0x403422C8] = 0x133F4CB5
aic> r 40500001
[0x40500001] = 0x00730788
aic> ,15.64,-36.61
42,5 7,1 1,4000,22,r 403422c8
[0x403422C8] = 0x133F4CB5
aic> r 40500001
[0x40500001] = 0x00730788
aic> ,15.66,-36.71
42,5 7,1 1,4000,23,r 403422c8
[0x403422C8] = 0x133F4CB5
aic> r 40500001
[0x40500001] = 0x00730788
aic> ,15.66,-36.77
42,5 7,1 1,4000,24,r 403422c8
[0x403422C8] = 0x133F4CB5
aic> r 40500001
[0x40500001] = 0x00730788
aic> ,15.67,-36.71
58,5 7,1 1,4000,0,,15.78,-37.27
58,5 7,1 1,4000,1,,15.81,-37.47
58,5 7,1 1,4000,2,,15.81,-37.16
58,5 7,1 1,4000,3,,15.81,-37.36
58,5 7,1 1,4000,4,,15.81,-37.33
58,5 7,1 1,4000,5,,15.81,-37.33
58,5 7,1 1,4000,6,,15.83,-37.39
58,5 7,1 1,4000,7,,15.81,-37.22
58,5 7,1 1,4000,8,,15.81,-37.32
58,5 7,1 1,4000,9,,15.82,-37.36
58,5 7,1 1,4000,10,,15.81,-37.30
