ant, ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw
0,42,640,56.12,8.34,7.45,6.83,5.56
0,42,704,56.95,9.23,8.25,8.38,6.68
0,42,768,57.71,9.94,8.99,9.85,7.93
0,42,832,58.40,10.71,9.66,11.77,9.24
0,42,896,59.05,11.51,10.30,14.17,10.73
0,42,960,59.65,12.02,10.90,15.91,12.30
0,42,1024,60.21,12.67,11.44,18.49,13.93
0,42,1088,60.73,13.18,11.99,20.81,15.83
0,42,1152,61.23,13.66,12.47,23.21,17.68
0,42,1216,61.70,14.16,12.96,26.09,19.78
0,42,1280,62.14,14.61,13.42,28.93,22.00
0,42,1344,62.57,15.01,13.81,31.70,24.05
0,42,1408,62.97,15.40,14.14,34.69,25.96
0,42,1472,63.36,15.77,14.51,37.75,28.23
0,42,1536,63.73,16.13,14.88,41.04,30.73
0,42,1600,64.08,16.55,15.26,45.17,33.55
0,42,1664,64.42,16.86,15.56,48.49,36.01
0,42,1728,64.75,17.18,15.88,52.18,38.74
0,42,1792,65.07,17.47,16.20,55.84,41.69
0,42,1856,65.37,17.77,16.47,59.90,44.36
0,42,1920,65.67,18.04,16.74,63.73,47.22
0,42,1984,65.95,18.29,17.00,67.46,50.10
0,42,2048,66.23,18.54,17.23,71.48,52.78
0,42,2112,66.49,18.78,17.47,75.51,55.87
0,42,2176,66.75,19.05,17.71,80.38,58.98
0,42,2240,67.00,19.27,17.94,84.44,62.20
0,42,2304,67.25,19.49,18.17,89.01,65.57
0,42,2368,67.49,19.70,18.37,93.22,68.77
0,42,2432,67.72,19.92,18.59,98.13,72.25
0,42,2496,67.94,20.14,18.83,103.26,76.34
0,42,2560,68.16,20.32,18.98,107.76,79.15
0,42,2624,68.38,20.55,19.18,113.63,82.80
0,42,2688,68.59,20.68,19.36,116.95,86.39
0,42,2752,68.79,20.85,19.53,121.67,89.64
0,42,2816,68.99,21.01,19.71,126.06,93.46
0,42,2880,69.19,21.20,19.88,131.82,97.36
0,42,2944,69.38,21.34,20.06,136.18,101.30
0,42,3008,69.57,21.50,20.21,141.34,105.07
0,42,3072,69.75,21.68,20.39,147.28,109.50
0,42,3136,69.93,21.83,20.55,152.38,113.39
0,42,3200,70.10,21.96,20.71,157.06,117.73
0,42,3264,70.28,22.12,20.88,162.97,122.40
0,42,3328,70.44,22.26,21.05,168.10,127.23
0,42,3392,70.61,22.40,21.20,173.93,131.70
0,42,3456,70.77,22.40,21.23,173.86,132.74
0,42,3520,70.93,22.40,21.23,173.71,132.79
0,42,3584,71.09,22.41,21.23,174.15,132.62
0,42,3648,71.24,22.38,21.23,173.15,132.82
0,42,3712,71.39,22.42,21.22,174.41,132.48
0,42,3776,71.54,22.39,21.22,173.34,132.41
0,42,3840,71.69,22.40,21.20,173.63,131.81
0,42,3904,71.83,22.38,21.21,173.15,132.23
0,42,3968,71.97,22.36,21.20,172.01,131.85
0,42,4032,72.11,22.38,21.21,173.15,132.27
ant, ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw
1,42,640,56.12,8.50,7.39,7.09,5.48
1,42,704,56.95,9.15,8.18,8.23,6.58
1,42,768,57.71,9.95,8.94,9.89,7.83
1,42,832,58.40,10.65,9.64,11.62,9.20
1,42,896,59.05,11.40,10.30,13.80,10.71
1,42,960,59.65,12.15,10.98,16.42,12.52
1,42,1024,60.21,12.63,11.57,18.34,14.36
1,42,1088,60.73,13.18,12.08,20.81,16.15
1,42,1152,61.23,13.75,12.57,23.69,18.05
1,42,1216,61.70,14.08,12.98,25.61,19.86
1,42,1280,62.14,14.55,13.39,28.53,21.82
1,42,1344,62.57,15.00,13.80,31.63,23.99
1,42,1408,62.97,15.47,14.26,35.21,26.68
1,42,1472,63.36,15.89,14.63,38.82,29.03
1,42,1536,63.73,16.22,14.97,41.89,31.39
1,42,1600,64.08,16.58,15.30,45.50,33.90
1,42,1664,64.42,16.90,15.61,48.93,36.43
1,42,1728,64.75,17.22,15.93,52.70,39.20
1,42,1792,65.07,17.53,16.25,56.57,42.16
1,42,1856,65.37,17.88,16.58,61.37,45.53
1,42,1920,65.67,18.19,16.88,65.87,48.80
1,42,1984,65.95,18.44,17.17,69.75,52.13
1,42,2048,66.23,18.70,17.42,74.10,55.19
1,42,2112,66.49,18.96,17.67,78.72,58.44
1,42,2176,66.75,19.18,17.90,82.81,61.64
1,42,2240,67.00,19.41,18.12,87.24,64.89
1,42,2304,67.25,19.64,18.36,92.15,68.48
1,42,2368,67.49,19.86,18.59,96.80,72.23
1,42,2432,67.72,20.07,18.79,101.56,75.77
1,42,2496,67.94,20.32,19.03,107.69,79.95
1,42,2560,68.16,20.49,19.26,112.04,84.30
1,42,2624,68.38,20.70,19.47,117.54,88.46
1,42,2688,68.59,20.88,19.66,122.37,92.44
1,42,2752,68.79,21.08,19.84,128.13,96.42
1,42,2816,68.99,21.25,20.03,133.37,100.63
1,42,2880,69.19,21.39,20.19,137.65,104.43
1,42,2944,69.38,21.55,20.35,143.00,108.45
1,42,3008,69.57,21.72,20.51,148.61,112.58
1,42,3072,69.75,21.87,20.67,153.67,116.55
1,42,3136,69.93,22.01,20.81,159.02,120.47
1,42,3200,70.10,22.15,20.98,164.15,125.18
1,42,3264,70.28,22.19,21.04,165.66,126.98
1,42,3328,70.44,22.33,21.20,170.83,131.81
1,42,3392,70.61,22.45,21.34,175.96,136.17
1,42,3456,70.77,22.48,21.36,176.81,136.81
1,42,3520,70.93,22.47,21.35,176.70,136.50
1,42,3584,71.09,22.47,21.34,176.51,136.27
1,42,3648,71.24,22.46,21.35,176.07,136.53
1,42,3712,71.39,22.46,21.35,176.03,136.41
1,42,3776,71.54,22.46,21.35,176.00,136.35
1,42,3840,71.69,22.45,21.35,175.66,136.41
1,42,3904,71.83,22.46,21.36,176.14,136.70
1,42,3968,71.97,22.47,21.35,176.48,136.39
1,42,4032,72.11,22.48,21.35,176.96,136.57
ant, ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw
0,58,640,56.12,8.68,7.03,7.38,5.05
0,58,704,56.95,9.51,7.84,8.93,6.08
0,58,768,57.71,10.06,8.59,10.15,7.23
0,58,832,58.40,11.05,9.34,12.73,8.60
0,58,896,59.05,11.57,9.98,14.36,9.97
0,58,960,59.65,12.19,10.59,16.57,11.45
0,58,1024,60.21,12.87,11.16,19.37,13.05
0,58,1088,60.73,13.33,11.71,21.55,14.81
0,58,1152,61.23,13.96,12.21,24.87,16.64
0,58,1216,61.70,14.48,12.70,28.08,18.64
0,58,1280,62.14,14.89,13.14,30.81,20.59
0,58,1344,62.57,15.34,13.58,34.17,22.80
0,58,1408,62.97,15.71,13.90,37.27,24.53
0,58,1472,63.36,16.10,14.31,40.78,26.98
0,58,1536,63.73,16.52,14.65,44.88,29.18
0,58,1600,64.08,16.84,14.97,48.34,31.44
0,58,1664,64.42,17.24,15.34,52.92,34.21
0,58,1728,64.75,17.55,15.66,56.83,36.77
0,58,1792,65.07,17.86,16.00,61.08,39.80
0,58,1856,65.37,18.20,16.29,66.02,42.60
0,58,1920,65.67,18.44,16.54,69.75,45.12
0,58,1984,65.95,18.75,16.82,74.95,48.03
0,58,2048,66.23,18.98,17.08,79.09,51.11
0,58,2112,66.49,19.23,17.34,83.74,54.20
0,58,2176,66.75,19.46,17.59,88.31,57.47
0,58,2240,67.00,19.73,17.82,93.96,60.54
0,58,2304,67.25,19.97,18.09,99.31,64.49
0,58,2368,67.49,20.20,18.33,104.66,68.12
0,58,2432,67.72,20.41,18.55,109.90,71.62
0,58,2496,67.94,20.65,18.78,116.06,75.52
0,58,2560,68.16,20.87,18.98,122.30,79.10
0,58,2624,68.38,21.07,19.18,127.95,82.83
0,58,2688,68.59,21.23,19.37,132.78,86.54
0,58,2752,68.79,21.41,19.54,138.46,90.00
0,58,2816,68.99,21.56,19.71,143.23,93.61
0,58,2880,69.19,21.72,19.88,148.72,97.23
0,58,2944,69.38,21.89,20.06,154.41,101.35
