ant, ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw
0,42,640,56.12,9.23,8.94,8.38,7.84
0,42,704,56.95,10.06,9.76,10.15,9.45
0,42,768,57.71,10.72,10.49,11.81,11.21
0,42,832,58.40,11.48,11.20,14.06,13.19
0,42,896,59.05,12.06,11.82,16.05,15.20
0,42,960,59.65,12.75,12.50,18.82,17.78
0,42,1024,60.21,13.36,13.07,21.66,20.28
0,42,1088,60.73,13.91,13.58,24.62,22.83
0,42,1152,61.23,14.37,14.04,27.35,25.38
0,42,1216,61.70,14.78,14.49,30.04,28.10
0,42,1280,62.14,15.19,14.91,33.07,31.00
0,42,1344,62.57,15.64,15.35,36.68,34.27
0,42,1408,62.97,16.05,15.72,40.26,37.34
0,42,1472,63.36,16.42,16.10,43.81,40.70
0,42,1536,63.73,16.77,16.44,47.53,44.09
0,42,1600,64.08,17.07,16.74,50.89,47.20
0,42,1664,64.42,17.41,17.06,55.06,50.86
0,42,1728,64.75,17.75,17.38,59.56,54.75
0,42,1792,65.07,18.09,17.74,64.36,59.39
0,42,1856,65.37,18.41,18.02,69.42,63.38
0,42,1920,65.67,18.67,18.29,73.55,67.45
0,42,1984,65.95,18.85,18.52,76.80,71.12
0,42,2048,66.23,19.12,18.77,81.67,75.32
0,42,2112,66.49,19.37,19.00,86.50,79.41
0,42,2176,66.75,19.54,19.17,89.94,82.62
0,42,2240,67.00,19.79,19.41,95.21,87.24
0,42,2304,67.25,20.03,19.64,100.60,92.09
0,42,2368,67.49,20.26,19.87,106.14,97.06
0,42,2432,67.72,20.51,20.13,112.48,103.04
0,42,2496,67.94,20.71,20.35,117.87,108.34
0,42,2560,68.16,20.89,20.55,122.85,113.43
0,42,2624,68.38,21.08,20.73,128.13,118.43
0,42,2688,68.59,21.28,20.92,134.41,123.47
0,42,2752,68.79,21.42,21.12,138.83,129.50
0,42,2816,68.99,21.59,21.26,144.33,133.78
0,42,2880,69.19,21.75,21.45,149.76,139.49
0,42,2944,69.38,21.92,21.61,155.48,144.99
0,42,3008,69.57,22.04,21.75,159.94,149.71
0,42,3072,69.75,22.20,21.94,166.11,156.43
0,42,3136,69.93,22.40,22.14,173.93,163.61
0,42,3200,70.10,22.56,22.32,180.17,170.58
0,42,3264,70.28,22.75,22.51,188.17,178.17
0,42,3328,70.44,22.80,22.59,190.76,181.67
0,42,3392,70.61,22.81,22.59,191.09,181.43
0,42,3456,70.77,22.80,22.58,190.72,181.22
0,42,3520,70.93,22.82,22.58,191.24,181.04
0,42,3584,71.09,22.80,22.58,190.54,180.97
0,42,3648,71.24,22.78,22.58,189.84,180.98
0,42,3712,71.39,22.79,22.58,190.09,181.08
0,42,3776,71.54,22.80,22.58,190.57,180.98
0,42,3840,71.69,22.79,22.58,190.09,180.93
0,42,3904,71.83,22.80,22.58,190.46,180.98
0,42,3968,71.97,22.78,22.57,189.84,180.73
0,42,4032,72.11,22.78,22.57,189.76,180.63
ant, ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw
1,42,640,56.12,8.48,8.92,7.05,7.79
1,42,704,56.95,9.34,9.72,8.60,9.37
1,42,768,57.71,10.10,10.47,10.22,11.13
1,42,832,58.40,10.71,11.20,11.77,13.18
1,42,896,59.05,11.43,11.83,13.91,15.25
1,42,960,59.65,12.10,12.47,16.20,17.67
1,42,1024,60.21,12.77,13.02,18.93,20.04
1,42,1088,60.73,13.39,13.56,21.81,22.72
1,42,1152,61.23,13.93,14.04,24.73,25.33
1,42,1216,61.70,14.32,14.51,27.01,28.24
1,42,1280,62.14,14.76,14.95,29.89,31.23
1,42,1344,62.57,15.19,15.35,33.03,34.27
1,42,1408,62.97,15.59,15.75,36.20,37.55
1,42,1472,63.36,15.92,16.13,39.08,41.04
1,42,1536,63.73,16.30,16.47,42.62,44.41
1,42,1600,64.08,16.64,16.82,46.09,48.12
1,42,1664,64.42,17.00,17.16,50.08,52.00
1,42,1728,64.75,17.28,17.48,53.40,55.95
1,42,1792,65.07,17.61,17.80,57.72,60.30
1,42,1856,65.37,17.91,18.09,61.74,64.37
1,42,1920,65.67,18.16,18.36,65.50,68.54
1,42,1984,65.95,18.44,18.63,69.79,73.02
1,42,2048,66.23,18.69,18.87,74.03,77.17
1,42,2112,66.49,19.01,19.16,79.60,82.34
1,42,2176,66.75,19.18,19.39,82.70,86.89
1,42,2240,67.00,19.38,19.63,86.76,91.92
1,42,2304,67.25,19.64,19.84,92.08,96.47
1,42,2368,67.49,19.85,20.07,96.65,101.67
1,42,2432,67.72,20.06,20.30,101.41,107.04
1,42,2496,67.94,20.25,20.50,105.99,112.30
1,42,2560,68.16,20.49,20.71,112.04,117.65
1,42,2624,68.38,20.63,20.94,115.66,124.08
1,42,2688,68.59,20.76,21.04,119.20,127.04
1,42,2752,68.79,20.91,21.24,123.30,132.91
1,42,2816,68.99,21.08,21.41,128.35,138.27
1,42,2880,69.19,21.21,21.57,132.23,143.59
1,42,2944,69.38,21.40,21.74,137.91,149.14
1,42,3008,69.57,21.56,21.90,143.34,154.85
1,42,3072,69.75,21.72,22.06,148.47,160.72
1,42,3136,69.93,21.85,22.23,153.12,167.09
1,42,3200,70.10,22.01,22.38,158.80,172.92
1,42,3264,70.28,22.14,22.53,163.74,178.92
1,42,3328,70.44,22.30,22.67,169.69,185.08
1,42,3392,70.61,22.30,22.69,169.91,185.75
1,42,3456,70.77,22.30,22.69,169.91,185.79
1,42,3520,70.93,22.29,22.69,169.46,185.63
1,42,3584,71.09,22.29,22.69,169.32,185.70
1,42,3648,71.24,22.27,22.68,168.47,185.20
1,42,3712,71.39,22.27,22.69,168.80,185.70
1,42,3776,71.54,22.27,22.69,168.84,185.61
1,42,3840,71.69,22.29,22.69,169.32,185.62
1,42,3904,71.83,22.26,22.69,168.43,185.77
1,42,3968,71.97,22.30,22.67,169.87,185.13
1,42,4032,72.11,22.26,22.68,168.39,185.46
ant, ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw
0,58,640,56.12,8.64,8.08,7.31,6.43
0,58,704,56.95,9.47,8.91,8.86,7.77
0,58,768,57.71,10.47,9.70,11.15,9.33
0,58,832,58.40,10.87,10.40,12.22,10.95
0,58,896,59.05,11.63,11.06,14.54,12.76
0,58,960,59.65,12.41,11.74,17.42,14.93
0,58,1024,60.21,12.99,12.30,19.93,16.99
0,58,1088,60.73,13.51,12.82,22.44,19.14
0,58,1152,61.23,14.02,13.29,25.24,21.35
0,58,1216,61.70,14.38,13.74,27.42,23.68
0,58,1280,62.14,14.88,14.19,30.78,26.23
0,58,1344,62.57,15.24,14.59,33.44,28.76
0,58,1408,62.97,15.62,14.97,36.50,31.41
0,58,1472,63.36,16.05,15.32,40.26,34.04
0,58,1536,63.73,16.45,15.69,44.17,37.11
0,58,1600,64.08,16.76,16.04,47.42,40.19
0,58,1664,64.42,17.13,16.40,51.59,43.63
0,58,1728,64.75,17.48,16.72,56.02,47.01
0,58,1792,65.07,17.81,17.10,60.45,51.24
0,58,1856,65.37,18.14,17.40,65.21,54.98
0,58,1920,65.67,18.42,17.70,69.49,58.84
0,58,1984,65.95,18.65,17.91,73.25,61.84
0,58,2048,66.23,18.89,18.19,77.42,65.87
0,58,2112,66.49,19.20,18.42,83.18,69.50
0,58,2176,66.75,19.43,18.67,87.76,73.55
0,58,2240,67.00,19.66,18.91,92.52,77.82
0,58,2304,67.25,19.90,19.14,97.83,82.11
0,58,2368,67.49,20.16,19.39,103.85,86.83
0,58,2432,67.72,20.36,19.65,108.65,92.21
0,58,2496,67.94,20.62,19.86,115.21,96.81
0,58,2560,68.16,20.81,20.07,120.46,101.65
0,58,2624,68.38,20.99,20.25,125.73,105.97
0,58,2688,68.59,21.16,20.45,130.71,110.91
0,58,2752,68.79,21.34,20.63,136.03,115.67
0,58,2816,68.99,21.50,20.79,141.20,120.00
0,58,2880,69.19,21.66,20.96,146.55,124.80
0,58,2944,69.38,21.84,21.15,152.71,130.33
0,58,3008,69.57,21.98,21.32,157.80,135.39
0,58,3072,69.75,22.16,21.49,164.26,140.89
0,58,3136,69.93,22.33,21.67,170.94,146.93
0,58,3200,70.10,22.50,21.84,177.99,152.90
0,58,3264,70.28,22.68,22.01,185.30,158.99
0,58,3328,70.44,22.84,22.18,192.20,165.24
0,58,3392,70.61,22.85,22.21,192.86,166.29
0,58,3456,70.77,22.84,22.21,192.20,166.35
0,58,3520,70.93,22.83,22.20,191.86,166.10
0,58,3584,71.09,22.82,22.21,191.61,166.35
0,58,3648,71.24,22.82,22.21,191.53,166.24
0,58,3712,71.39,22.82,22.21,191.31,166.31
0,58,3776,71.54,22.83,22.21,192.01,166.28
0,58,3840,71.69,22.81,22.20,191.02,166.11
