ant, ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw
0,58,832,58.40,7.52,8.79,5.65,7.57
0,58,896,59.05,7.79,9.47,6.02,8.85
0,58,960,59.65,8.79,10.12,7.57,10.27
0,58,1024,60.21,9.40,10.70,8.71,11.76
0,58,1088,60.73,9.56,11.23,9.04,13.29
0,58,1152,61.23,10.29,11.74,10.70,14.94
0,58,1216,61.70,10.93,12.23,12.40,16.71
0,58,1280,62.14,11.20,12.66,13.17,18.43
0,58,1344,62.57,11.71,13.08,14.84,20.30
0,58,1408,62.97,12.07,13.41,16.09,21.93
0,58,1472,63.36,12.51,13.78,17.82,23.88
0,58,1536,63.73,12.81,14.18,19.12,26.20
0,58,1600,64.08,13.21,14.56,20.92,28.60
0,58,1664,64.42,13.61,14.91,22.95,30.97
0,58,1728,64.75,13.83,15.19,24.14,33.05
0,58,1792,65.07,14.15,15.49,26.02,35.44
0,58,1856,65.37,14.46,15.76,27.94,37.69
0,58,1920,65.67,14.70,16.05,29.49,40.31
0,58,1984,65.95,14.92,16.30,31.04,42.70
0,58,2048,66.23,15.23,16.55,33.32,45.14
0,58,2112,66.49,15.42,16.81,34.84,47.97
0,58,2176,66.75,15.70,17.05,37.13,50.70
0,58,2240,67.00,16.00,17.33,39.86,54.05
0,58,2304,67.25,16.24,17.58,42.03,57.28
0,58,2368,67.49,16.42,17.80,43.81,60.21
0,58,2432,67.72,16.60,18.01,45.72,63.23
0,58,2496,67.94,16.81,18.20,47.98,66.05
0,58,2560,68.16,17.05,18.40,50.67,69.21
0,58,2624,68.38,17.24,18.59,52.96,72.27
0,58,2688,68.59,17.44,18.80,55.47,75.80
0,58,2752,68.79,17.60,19.00,57.53,79.36
0,58,2816,68.99,17.77,19.16,59.82,82.49
0,58,2880,69.19,17.95,19.34,62.33,85.99
0,58,2944,69.38,18.14,19.52,65.10,89.63
0,58,3008,69.57,18.30,19.69,67.65,93.21
0,58,3072,69.75,18.47,19.89,70.30,97.52
0,58,3136,69.93,18.65,20.04,73.37,100.95
0,58,3200,70.10,18.83,20.21,76.32,104.84
0,58,3264,70.28,18.97,20.35,78.86,108.42
0,58,3328,70.44,19.08,20.50,80.97,112.17
0,58,3392,70.61,19.18,20.61,82.78,115.16
0,58,3456,70.77,19.18,20.61,82.74,115.15
0,58,3520,70.93,19.17,20.60,82.67,114.84
0,58,3584,71.09,19.19,20.67,83.07,116.61
0,58,3648,71.24,19.19,20.66,83.00,116.38
0,58,3712,71.39,19.17,20.66,82.55,116.38
0,58,3776,71.54,19.18,20.66,82.89,116.34
0,58,3840,71.69,19.18,20.65,82.70,116.19
0,58,3904,71.83,19.17,20.66,82.63,116.28
0,58,3968,71.97,19.16,20.65,82.41,116.28
0,58,4032,72.11,19.16,20.64,82.41,115.84
ant, ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw
1,58,640,56.12,6.35,6.76,4.32,4.74
1,58,704,56.95,6.88,7.58,4.87,5.72
1,58,768,57.71,7.68,8.37,5.87,6.88
1,58,832,58.40,8.72,9.08,7.45,8.09
1,58,896,59.05,9.17,9.73,8.27,9.40
1,58,960,59.65,9.77,10.43,9.48,11.05
1,58,1024,60.21,10.26,10.94,10.63,12.42
1,58,1088,60.73,10.91,11.49,12.33,14.09
1,58,1152,61.23,11.33,11.98,13.58,15.77
1,58,1216,61.70,11.75,12.44,14.95,17.55
1,58,1280,62.14,12.20,12.90,16.61,19.49
1,58,1344,62.57,12.63,13.30,18.30,21.37
1,58,1408,62.97,12.92,13.66,19.60,23.22
1,58,1472,63.36,13.29,14.04,21.33,25.35
1,58,1536,63.73,13.64,14.39,23.14,27.51
1,58,1600,64.08,14.01,14.76,25.21,29.93
1,58,1664,64.42,14.35,15.09,27.24,32.27
1,58,1728,64.75,14.74,15.41,29.82,34.79
1,58,1792,65.07,15.03,15.75,31.85,37.59
1,58,1856,65.37,15.28,16.05,33.69,40.24
1,58,1920,65.67,15.54,16.31,35.83,42.74
1,58,1984,65.95,15.83,16.56,38.31,45.30
1,58,2048,66.23,16.06,16.82,40.37,48.06
1,58,2112,66.49,16.32,17.06,42.81,50.87
1,58,2176,66.75,16.54,17.31,45.10,53.87
1,58,2240,67.00,16.85,17.56,48.42,57.06
1,58,2304,67.25,17.05,17.80,50.67,60.32
1,58,2368,67.49,17.26,18.04,53.25,63.75
1,58,2432,67.72,17.54,18.28,56.80,67.27
1,58,2496,67.94,17.71,18.49,59.01,70.68
1,58,2560,68.16,17.88,18.69,61.45,73.97
1,58,2624,68.38,18.07,18.86,64.18,76.97
1,58,2688,68.59,18.27,19.04,67.13,80.23
1,58,2752,68.79,18.46,19.23,70.15,83.81
1,58,2816,68.99,18.55,19.40,71.67,87.08
1,58,2880,69.19,18.79,19.58,75.62,90.78
1,58,2944,69.38,18.94,19.76,78.38,94.66
1,58,3008,69.57,19.25,20.06,84.22,101.36
1,58,3072,69.75,19.40,20.23,87.13,105.44
1,58,3136,69.93,19.59,20.39,90.93,109.52
1,58,3200,70.10,19.74,20.56,94.22,113.69
1,58,3264,70.28,19.90,20.72,97.83,117.98
1,58,3328,70.44,20.03,20.84,100.71,121.29
1,58,3392,70.61,20.01,20.83,100.12,121.15
1,58,3456,70.77,20.01,20.84,100.34,121.44
1,58,3520,70.93,20.02,20.83,100.56,121.05
1,58,3584,71.09,20.01,20.83,100.27,121.15
1,58,3648,71.24,19.99,20.83,99.68,121.01
1,58,3712,71.39,19.99,20.83,99.86,120.94
1,58,3776,71.54,20.00,20.82,100.01,120.70
1,58,3840,71.69,20.01,20.82,100.34,120.77
1,58,3904,71.83,19.99,20.82,99.75,120.83
1,58,3968,71.97,19.99,20.81,99.75,120.57
1,58,4032,72.11,20.01,20.81,100.27,120.57
ant, ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw
0,106,640,56.12,6.97,7.96,4.98,6.25
0,106,704,56.95,7.92,8.81,6.20,7.60
0,106,768,57.71,8.89,9.54,7.75,9.00
0,106,832,58.40,9.34,10.25,8.60,10.60
0,106,896,59.05,10.14,10.89,10.33,12.29
0,106,960,59.65,10.61,11.50,11.51,14.13
0,106,1024,60.21,11.35,12.12,13.65,16.31
0,106,1088,60.73,11.86,12.65,15.35,18.39
0,106,1152,61.23,12.18,13.13,16.53,20.58
0,106,1216,61.70,12.72,13.60,18.71,22.91
0,106,1280,62.14,13.18,14.05,20.81,25.38
0,106,1344,62.57,13.64,14.42,23.10,27.65
0,106,1408,62.97,14.03,14.83,25.32,30.44
0,106,1472,63.36,14.32,15.23,27.01,33.34
0,106,1536,63.73,14.69,15.57,29.45,36.02
0,106,1600,64.08,15.04,15.91,31.89,38.99
0,106,1664,64.42,15.41,16.25,34.76,42.15
0,106,1728,64.75,15.82,16.57,38.23,45.43
0,106,1792,65.07,16.07,16.89,40.45,48.83
0,106,1856,65.37,16.35,17.20,43.14,52.52
0,106,1920,65.67,16.64,17.52,46.09,56.50
0,106,1984,65.95,16.87,17.79,48.64,60.08
0,106,2048,66.23,17.13,18.04,51.63,63.64
0,106,2112,66.49,17.41,18.25,55.02,66.76
0,106,2176,66.75,17.56,18.47,57.05,70.38
0,106,2240,67.00,17.80,18.70,60.23,74.10
0,106,2304,67.25,17.99,18.93,63.00,78.24
0,106,2368,67.49,18.25,19.17,66.83,82.56
0,106,2432,67.72,18.48,19.39,70.52,86.80
0,106,2496,67.94,18.70,19.61,74.07,91.36
0,106,2560,68.16,18.95,19.86,78.61,96.74
0,106,2624,68.38,19.10,20.05,81.30,101.22
0,106,2688,68.59,19.32,20.24,85.43,105.72
0,106,2752,68.79,19.49,20.42,89.01,110.06
0,106,2816,68.99,19.64,20.56,92.15,113.84
0,106,2880,69.19,19.77,20.72,94.88,118.07
0,106,2944,69.38,19.94,20.89,98.68,122.74
0,106,3008,69.57,20.19,21.09,104.59,128.62
0,106,3072,69.75,20.32,21.27,107.72,134.02
0,106,3136,69.93,20.50,21.42,112.19,138.64
0,106,3200,70.10,20.65,21.57,116.03,143.62
0,106,3264,70.28,20.79,21.71,120.01,148.25
0,106,3328,70.44,20.95,21.87,124.40,153.79
0,106,3392,70.61,21.08,22.01,128.24,158.94
0,106,3456,70.77,21.24,22.16,132.93,164.41
0,106,3520,70.93,21.39,22.31,137.62,170.39
0,106,3584,71.09,21.41,22.36,138.35,172.12
0,106,3648,71.24,21.42,22.35,138.83,171.89
0,106,3712,71.39,21.41,22.35,138.32,171.75
0,106,3776,71.54,21.40,22.35,138.10,171.61
0,106,3840,71.69,21.39,22.37,137.69,172.50
0,106,3904,71.83,21.38,22.36,137.47,172.17
0,106,3968,71.97,21.40,22.36,138.17,172.24
0,106,4032,72.11,21.37,22.36,137.21,172.05
ant, ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw
1,106,640,56.12,6.57,7.55,4.54,5.69
1,106,704,56.95,7.60,8.34,5.76,6.82
1,106,768,57.71,8.08,9.13,6.42,8.18
1,106,832,58.40,8.70,9.82,7.42,9.60
1,106,896,59.05,9.51,10.49,8.93,11.19
1,106,960,59.65,10.20,11.11,10.48,12.92
1,106,1024,60.21,10.70,11.77,11.74,15.02
1,106,1088,60.73,11.49,12.30,14.10,16.98
1,106,1152,61.23,11.86,12.81,15.35,19.09
1,106,1216,61.70,12.47,13.26,17.68,21.19
1,106,1280,62.14,12.84,13.70,19.23,23.43
1,106,1344,62.57,13.25,14.13,21.15,25.89
1,106,1408,62.97,13.71,14.52,23.47,28.33
1,106,1472,63.36,14.00,14.85,25.13,30.54
1,106,1536,63.73,14.41,15.23,27.60,33.34
1,106,1600,64.08,14.73,15.57,29.71,36.03
1,106,1664,64.42,15.11,15.93,32.44,39.18
1,106,1728,64.75,15.38,16.25,34.54,42.13
1,106,1792,65.07,15.66,16.57,36.79,45.35
1,106,1856,65.37,16.00,16.87,39.82,48.59
1,106,1920,65.67,16.33,17.14,42.92,51.81
1,106,1984,65.95,16.62,17.41,45.87,55.12
1,106,2048,66.23,16.74,17.66,47.16,58.30
1,106,2112,66.49,16.99,17.87,50.01,61.19
1,106,2176,66.75,17.25,18.13,53.14,64.97
1,106,2240,67.00,17.49,18.35,56.17,68.46
1,106,2304,67.25,17.76,18.61,59.67,72.66
1,106,2368,67.49,17.97,18.84,62.66,76.59
1,106,2432,67.72,18.11,19.03,64.69,80.06
1,106,2496,67.94,18.29,19.24,67.50,83.92
1,106,2560,68.16,18.47,19.44,70.30,87.91
1,106,2624,68.38,18.69,19.64,74.03,91.98
1,106,2688,68.59,18.89,19.83,77.50,96.14
1,106,2752,68.79,19.06,20.02,80.49,100.39
1,106,2816,68.99,19.23,20.19,83.81,104.50
1,106,2880,69.19,19.38,20.37,86.72,108.96
1,106,2944,69.38,19.53,20.53,89.82,112.88
1,106,3008,69.57,19.71,20.69,93.55,117.15
1,106,3072,69.75,19.87,20.86,97.13,121.89
1,106,3136,69.93,20.02,21.04,100.53,127.09
1,106,3200,70.10,20.18,21.21,104.18,132.19
1,106,3264,70.28,20.29,21.36,106.99,136.66
1,106,3328,70.44,20.45,21.52,110.82,141.86
1,106,3392,70.61,20.59,21.66,114.44,146.41
1,106,3456,70.77,20.72,21.80,118.02,151.31
1,106,3520,70.93,20.76,21.83,119.02,152.42
1,106,3584,71.09,20.73,21.83,118.39,152.40
1,106,3648,71.24,20.75,21.82,118.79,151.96
