A5_1.5n_0.5p_MCS11_PWR_f0,11.72,11.96,11.97,12.08,12.14,12.34,12.43,12.59,12.66,12.76,12.81,12.87,12.92,12.99
A5_1.5n_0.5p_MCS11_EVM_f0,-35.71,-35.72,-35.85,-35.78,-35.72,-35.67,-35.6,-35.51,-35.49,-35.47,-35.46,-35.41,-35.39,-35.35
A3_1.5n_0.5p_MCS11_PWR_f0,11.19,11.44,11.45,11.56,11.61,11.78,11.85,12.04,12.15,12.29,12.36,12.44,12.46,12.51
A3_1.5n_0.5p_MCS11_EVM_f0,-35.02,-34.84,-34.9,-34.87,-34.82,-34.78,-34.67,-34.62,-34.61,-34.57,-34.52,-34.48,-34.44,-34.39
A3_1.5n_0.5p_MCS11_PWR_f0,11.22,11.48,11.5,11.61,11.66,11.82,11.89,12.09,12.19,12.34,12.41,12.48,12.5,12.55
A3_1.5n_0.5p_MCS11_EVM_f0,-34.97,-34.97,-34.82,-34.86,-34.78,-34.72,-34.65,-34.64,-34.6,-34.58,-34.55,-34.5,-34.47,-34.42
A3_1.5n_0.5p_MCS11_PWR_f0,11.49,11.76,11.82,11.97,12.06,12.25,12.36,12.58,12.72,12.9,13.0,13.09,13.12,13.18
A3_1.5n_0.5p_MCS11_EVM_f0,-34.75,-34.47,-34.49,-34.53,-34.49,-34.49,-34.4,-34.35,-34.33,-34.29,-34.29,-34.27,-34.24,-34.19
A3_1.5n_0.5p_MCS11_PWR_f0,11.51,11.77,11.83,11.98,12.06,12.25,12.36,12.58,12.73,12.91,13.01,13.1,13.13,13.18
A3_1.5n_0.5p_MCS11_EVM_f0,-34.92,-34.91,-34.83,-34.71,-34.6,-34.55,-34.48,-34.4,-34.36,-34.31,-34.32,-34.29,-34.25,-34.2
A3_1.5n_0.5p_MCS11_PWR_f0,10.05,10.36,10.54,10.78,10.92,11.16,11.31,11.58,11.77,11.99,12.14,12.26,12.3,12.34
A3_1.5n_0.5p_MCS11_EVM_f0,-36.15,-35.98,-36.1,-36.06,-35.98,-35.88,-35.78,-35.69,-35.59,-35.45,-35.39,-35.31,-35.24,-35.17
