GOOD, padrv_input_c, 3, 16.31, -39.07
GOOD, padrv_input_c, 4, 16.10, -39.72
GOOD, padrv_input_c, 5, 15.95, -40.00
GOOD, padrv_input_c, 6, 15.76, -39.87
GOOD, padrv_input_c, 7, 15.67, -39.81
GOOD, pa_input_c, 0, 15.16, -35.02
GOOD, pa_input_c, 1, 15.26, -36.01
GOOD, pa_input_c, 2, 15.36, -37.13
GOOD, pa_input_c, 3, 15.45, -38.10
GOOD, pa_input_c, 4, 15.47, -38.15
GOOD, pa_input_c, 5, 15.52, -38.85
GOOD, pa_input_c, 6, 15.60, -39.48
GOOD, pa_input_c, 7, 15.67, -39.87
GOOD, pa_g, 0, -100, 0
GOOD, pa_g, 1, -1.66, -28.61
GOOD, pa_g, 2, -1.62, -29.17
GOOD, pa_g, 3, 4.44, -29.20
GOOD, pa_g, 4, 4.44, -29.49
GOOD, pa_g, 5, 8.09, -29.70
GOOD, pa_g, 6, 8.11, -30.31
GOOD, pa_g, 7, 10.70, -30.97
GOOD, pa_g, 8, 10.63, -30.17
GOOD, pa_g, 9, 12.66, -31.19
GOOD, pa_g, 10, 12.66, -31.93
GOOD, pa_g, 11, 14.28, -35.09
GOOD, pa_g, 12, 14.32, -35.23
GOOD, pa_g, 13, 15.71, -39.81
GOOD, pa_g, 14, 15.71, -39.17
GOOD, pa_g, 15, 16.85, -34.89
BAD, dac0_it, 0, -100, 0
BAD, dac0_it, 1, -1.50, -30.78
BAD, dac0_it, 2, 0.48, -31.07
BAD, dac0_it, 3, 2.04, -31.67
BAD, dac0_it, 4, 3.33, -31.99
BAD, dac0_it, 5, 4.53, -32.59
BAD, dac0_it, 6, 5.60, -33.32
BAD, dac0_it, 7, 6.53, -34.06
BAD, dac0_it, 8, 7.42, -34.99
BAD, dac0_it, 9, 8.21, -36.02
BAD, dac0_it, 10, 8.96, -36.95
BAD, dac0_it, 11, 9.62, -38.14
BAD, dac0_it, 12, 10.16, -39.32
BAD, dac0_it, 13, 10.76, -40.31
BAD, dac0_it, 14, 11.28, -41.14
BAD, dac0_it, 15, 11.80, -41.29
BAD, dac0_it, 16, 12.16, -40.89
BAD, dac0_it, 17, 12.62, -40.12
BAD, dac0_it, 18, 13.07, -38.93
BAD, dac0_it, 19, 13.50, -37.74
BAD, dac0_it, 20, 13.88, -36.57
BAD, dac0_it, 21, 14.26, -35.67
BAD, dac0_it, 22, 14.65, -34.66
BAD, dac0_it, 23, 14.99, -33.76
BAD, dac0_it, 24, 15.35, -32.87
BAD, dac0_it, 25, 15.69, -31.89
BAD, dac0_it, 26, 15.96, -31.46
BAD, dac0_it, 27, 16.23, -30.82
BAD, dac0_it, 28, 16.46, -30.25
BAD, dac0_it, 29, 16.77, -29.56
