0.9,-180
0.9,-165
0.9,-150
0.9,-135
0.9,-120
0.9,-105
0.9,-90
0.9,-75
0.9,-60
0.9,-45
0.9,-30
0.9,-15
0.9,0
0.9,15
0.9,30
0.9,45
0.9,60
0.9,75
0.9,90
0.9,105
0.9,120
0.9,135
0.9,150
0.9,165
0.8,-180
0.8,-165
0.8,-150
0.8,-135
0.8,-120
0.8,-105
0.8,-90
0.8,-75
0.8,-60
0.8,-45
0.8,-30
0.8,-15
0.8,0
0.8,15
0.8,30
0.8,45
0.8,60
0.8,75
0.8,90
0.8,105
0.8,120
0.8,135
0.8,150
0.8,165
0.7,-180
0.7,-160
0.7,-140
0.7,-120
0.7,-100
0.7,-80
0.7,-60
0.7,-40
0.7,-20
0.7,0
0.7,20
0.7,40
0.7,60
0.7,80
0.7,100
0.7,120
0.7,140
0.7,160
0.6,-180
0.6,-160
0.6,-140
0.6,-120
0.6,-100
0.6,-80
0.6,-60
0.6,-40
0.6,-20
0.6,0
0.6,20
0.6,40
0.6,60
0.6,80
0.6,100
0.6,120
0.6,140
0.6,160
0.5,-180
0.5,-160
0.5,-140
0.5,-120
0.5,-100
0.5,-80
0.5,-60
0.5,-40
0.5,-20
0.5,0
0.5,20
0.5,40
0.5,60
0.5,80
0.5,100
0.5,120
0.5,140
0.5,160
0.4,-180
0.4,-150
0.4,-120
0.4,-90
0.4,-60
0.4,-30
0.4,0
0.4,30
0.4,60
0.4,90
0.4,120
0.4,150
0.3,-180
0.3,-150
0.3,-120
0.3,-90
0.3,-60
0.3,-30
0.3,0
0.3,30
0.3,60
0.3,90
0.3,120
0.3,150
0.2,-180
0.2,-140
0.2,-100
0.2,-60
0.2,-20
0.2,20
0.2,60
0.2,100
0.2,140
0.1,-180
0.1,-140
0.1,-100
0.1,-60
0.1,-20
0.1,20
0.1,60
0.1,100
0.1,140
0.0,0
