ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, reg_value
58,2880,69.19,13.33,15.42,21.55,34.85,0x80C03F51
58,2944,69.38,13.66,15.61,23.25,36.38,0x80C03F51
58,3008,69.57,13.76,15.81,23.77,38.06,0x80C03F51
58,3072,69.75,13.97,15.99,24.95,39.70,0x80C03F51
58,3136,69.93,14.15,16.17,26.02,41.41,0x80C03F51
58,3200,70.10,14.34,16.34,27.16,43.05,0x80C03F51
58,3264,70.28,14.47,16.52,28.01,44.85,0x80C03F51
58,3328,70.44,14.60,16.68,28.82,46.53,0x80C03F51
58,3392,70.61,14.82,16.87,30.34,48.68,0x80C03F51
58,3456,70.77,14.98,17.04,31.44,50.53,0x80C03F51
58,3520,70.93,15.15,17.19,32.70,52.40,0x80C03F51
58,3584,71.09,15.35,17.35,34.25,54.36,0x80C03F51
58,3648,71.24,15.44,17.52,34.99,56.47,0x80C03F51
58,3712,71.39,15.64,17.66,36.68,58.32,0x80C03F51
58,3776,71.54,15.77,17.81,37.75,60.41,0x80C03F51
58,3840,71.69,15.89,17.97,38.79,62.68,0x80C03F51
58,3904,71.83,16.05,18.10,40.30,64.51,0x80C03F51
58,3968,71.97,16.18,18.25,41.48,66.85,0x80C03F51
58,4032,72.11,16.31,18.38,42.74,68.94,0x80C03F51
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, reg_value
106,640,56.12,2.11,3.36,1.62,2.17,0x80C03F51
106,704,56.95,3.07,4.17,2.03,2.61,0x80C03F51
106,768,57.71,3.59,4.94,2.29,3.12,0x80C03F51
106,832,58.40,4.18,5.61,2.62,3.64,0x80C03F51
106,896,59.05,4.65,6.36,2.92,4.32,0x80C03F51
106,960,59.65,5.07,6.95,3.21,4.95,0x80C03F51
106,1024,60.21,6.08,7.42,4.06,5.52,0x80C03F51
106,1088,60.73,6.39,8.13,4.35,6.51,0x80C03F51
106,1152,61.23,6.91,8.62,4.91,7.28,0x80C03F51
106,1216,61.70,7.49,9.08,5.61,8.09,0x80C03F51
106,1280,62.14,7.68,9.52,5.87,8.96,0x80C03F51
106,1344,62.57,7.87,9.94,6.13,9.85,0x80C03F51
106,1408,62.97,8.53,10.29,7.12,10.70,0x80C03F51
106,1472,63.36,8.89,10.66,7.75,11.63,0x80C03F51
106,1536,63.73,9.23,11.02,8.38,12.64,0x80C03F51
106,1600,64.08,9.62,11.34,9.15,13.60,0x80C03F51
106,1664,64.42,9.95,11.68,9.89,14.73,0x80C03F51
106,1728,64.75,10.22,12.13,10.52,16.34,0x80C03F51
106,1792,65.07,10.67,12.44,11.66,17.56,0x80C03F51
