ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, reg_value
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, reg_value
7,2624,68.38,23.24,23.59,210.83,228.44,0x50C0FFD0
7,2688,68.59,23.39,23.75,218.18,236.90,0x50C0FFD0
7,2752,68.79,23.49,23.89,223.16,245.04,0x50C0FFD0
7,2816,68.99,23.60,24.04,228.95,253.71,0x50C0FFD0
7,2880,69.19,23.72,24.17,235.67,261.10,0x50C0FFD0
7,2944,69.38,23.83,24.29,241.54,268.71,0x50C0FFD0
7,3008,69.57,23.92,24.41,246.63,275.82,0x50C0FFD0
7,3072,69.75,24.04,24.52,253.53,283.03,0x50C0FFD0
7,3136,69.93,24.12,24.62,258.29,289.96,0x50C0FFD0
7,3200,70.10,24.19,24.71,262.39,295.94,0x50C0FFD0
7,3264,70.28,24.26,24.80,266.67,302.14,0x50C0FFD0
7,3328,70.44,24.34,24.90,271.50,309.00,0x50C0FFD0
7,3392,70.61,24.39,24.97,274.57,314.37,0x50C0FFD0
7,3456,70.77,24.47,25.06,279.99,320.49,0x50C0FFD0
7,3520,70.93,24.51,25.13,282.54,325.89,0x50C0FFD0
7,3584,71.09,24.57,25.20,286.49,330.80,0x50C0FFD0
7,3648,71.24,24.64,25.26,290.84,335.78,0x50C0FFD0
7,3712,71.39,24.69,25.32,294.31,340.33,0x50C0FFD0
7,3776,71.54,24.73,25.38,297.37,344.91,0x50C0FFD0
7,3840,71.69,24.77,25.42,299.99,348.54,0x50C0FFD0
7,3904,71.83,24.82,25.48,303.06,352.88,0x50C0FFD0
7,3968,71.97,24.87,25.52,306.60,356.72,0x50C0FFD0
7,4032,72.11,24.90,25.57,309.26,360.88,0x50C0FFD0
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, reg_value
13,640,56.12,11.40,10.79,13.80,11.99,0x4BC0FFD0
13,704,56.95,12.28,11.66,16.90,14.65,0x4BC0FFD0
13,768,57.71,13.07,12.42,20.26,17.47,0x4BC0FFD0
13,832,58.40,13.61,13.11,22.95,20.49,0x4BC0FFD0
13,896,59.05,14.29,13.75,26.87,23.72,0x4BC0FFD0
13,960,59.65,14.86,14.34,30.59,27.19,0x4BC0FFD0
13,1024,60.21,15.45,14.91,35.06,31.01,0x4BC0FFD0
