ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal
7,3008,69.57,24.16,26.54,260.80,450.33,293.57,24.68
7,3072,69.75,24.19,26.57,262.17,454.23,295.49,24.71
7,3136,69.93,24.19,26.60,262.17,457.01,295.49,24.71
7,3200,70.10,24.22,26.63,264.42,459.90,298.67,24.75
7,3264,70.28,24.24,26.65,265.23,462.54,299.82,24.77
7,3328,70.44,24.27,26.68,267.30,465.10,302.74,24.81
7,3392,70.61,24.28,26.70,268.22,467.41,304.05,24.83
7,3456,70.77,24.29,26.72,268.74,469.47,304.79,24.84
7,3520,70.93,24.30,26.74,268.92,471.85,305.05,24.84
7,3584,71.09,24.33,26.76,271.10,473.91,308.15,24.89
7,3648,71.24,24.32,26.77,270.18,475.73,306.84,24.87
7,3712,71.39,24.35,26.79,272.02,477.72,309.47,24.91
7,3776,71.54,24.32,26.81,270.29,479.29,306.99,24.87
7,3840,71.69,24.34,26.82,271.39,480.81,308.57,24.89
7,3904,71.83,24.35,26.83,272.24,482.42,309.78,24.91
7,3968,71.97,24.35,26.84,272.02,483.60,309.47,24.91
7,4032,72.11,24.38,26.86,274.23,484.77,312.64,24.95
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal
13,640,56.12,9.75,11.07,9.45,12.80,8.09,9.08
13,704,56.95,10.54,11.90,11.33,15.47,9.73,9.88
13,768,57.71,11.27,12.67,13.40,18.49,11.53,10.62
13,832,58.40,12.04,13.38,15.98,21.76,13.80,11.40
13,896,59.05,12.74,14.01,18.78,25.20,16.28,12.12
13,960,59.65,13.23,14.63,21.04,29.01,18.28,12.62
13,1024,60.21,13.87,15.25,24.36,33.51,21.26,13.27
13,1088,60.73,14.39,15.79,27.46,37.94,24.05,13.81
13,1152,61.23,14.87,16.27,30.70,42.39,27.00,14.31
13,1216,61.70,15.31,16.77,33.95,47.54,29.98,14.77
13,1280,62.14,15.74,17.20,37.53,52.48,33.28,15.22
13,1344,62.57,16.17,17.64,41.41,58.06,36.89,15.67
13,1408,62.97,16.62,18.06,45.95,64.02,41.16,16.14
13,1472,63.36,16.92,18.45,49.16,69.99,44.20,16.45
13,1536,63.73,17.32,18.82,53.99,76.26,48.83,16.89
13,1600,64.08,17.65,19.18,58.16,82.83,52.86,17.23
13,1664,64.42,17.92,19.51,61.93,89.40,56.53,17.52
13,1728,64.75,18.26,19.84,67.02,96.47,61.54,17.89
13,1792,65.07,18.56,20.16,71.78,103.85,66.28,18.21
13,1856,65.37,18.83,20.47,76.43,111.32,70.95,18.51
13,1920,65.67,19.13,20.75,81.93,118.87,76.54,18.84
13,1984,65.95,19.37,21.03,86.47,126.66,81.20,19.10
13,2048,66.23,19.59,21.29,90.97,134.53,85.87,19.34
13,2112,66.49,19.84,21.56,96.32,143.25,91.47,19.61
13,2176,66.75,20.10,21.80,102.34,151.27,97.84,19.91
13,2240,67.00,20.27,22.03,106.39,159.72,102.19,20.09
13,2304,67.25,20.49,22.25,112.00,167.85,108.25,20.34
13,2368,67.49,20.65,22.47,116.03,176.68,112.63,20.52
13,2432,67.72,20.84,22.68,121.45,185.34,118.60,20.74
13,2496,67.94,20.97,22.85,125.07,192.75,122.62,20.89
13,2560,68.16,21.03,23.02,126.88,200.30,124.64,20.96
13,2624,68.38,21.21,23.20,132.08,208.77,130.49,21.16
13,2688,68.59,21.37,23.37,137.21,217.09,136.31,21.35
13,2752,68.79,21.50,23.52,141.31,224.94,140.99,21.49
13,2816,68.99,21.64,23.67,145.73,232.83,146.10,21.65
13,2880,69.19,21.74,23.81,149.35,240.60,150.31,21.77
13,2944,69.38,21.90,23.95,154.74,248.43,156.62,21.95
13,3008,69.57,21.99,24.08,158.21,255.96,160.72,22.06
13,3072,69.75,22.11,24.20,162.60,262.98,165.95,22.20
13,3136,69.93,22.22,24.32,166.59,270.30,170.72,22.32
13,3200,70.10,22.28,24.43,169.13,277.12,173.80,22.40
13,3264,70.28,22.39,24.53,173.41,283.81,178.99,22.53
13,3328,70.44,22.49,24.63,177.29,290.42,183.72,22.64
13,3392,70.61,22.57,24.73,180.57,296.93,187.76,22.74
13,3456,70.77,22.62,24.82,183.01,303.49,190.77,22.81
13,3520,70.93,22.72,24.91,187.10,309.70,195.86,22.92
13,3584,71.09,22.80,25.01,190.65,317.02,200.29,23.02
13,3648,71.24,22.85,25.09,192.71,322.70,202.89,23.07
13,3712,71.39,22.90,25.16,194.89,328.46,205.64,23.13
13,3776,71.54,23.00,25.24,199.58,333.86,211.58,23.25
13,3840,71.69,23.06,25.30,202.49,338.93,215.30,23.33
13,3904,71.83,23.14,25.37,205.93,344.30,219.71,23.42
13,3968,71.97,23.18,25.43,207.92,349.33,222.28,23.47
13,4032,72.11,23.25,25.49,211.24,353.93,226.58,23.55
