pwr_dig,pwr_msadc,pwr_cmp180,freq_cmp180
13,640,56.12,11.82,11.26,15.20,13.36
13,704,56.95,12.62,12.09,18.27,16.17
13,768,57.71,13.35,12.84,21.63,19.23
13,832,58.40,14.08,13.53,25.61,22.57
13,896,59.05,14.68,14.17,29.38,26.12
13,960,59.65,15.24,14.76,33.44,29.94
13,1024,60.21,15.77,15.37,37.75,34.44
13,1088,60.73,16.31,15.90,42.77,38.94
13,1152,61.23,16.83,16.37,48.23,43.36
13,1216,61.70,17.26,16.84,53.18,48.33
13,1280,62.14,17.74,17.29,59.45,53.63
13,1344,62.57,18.09,17.71,64.47,59.02
13,1408,62.97,18.50,18.11,70.82,64.74
13,1472,63.36,18.83,18.48,76.32,70.55
13,1536,63.73,19.18,18.85,82.74,76.82
13,1600,64.08,19.50,19.20,89.16,83.23
13,1664,64.42,19.78,19.54,95.10,89.91
13,1728,64.75,20.08,19.85,101.93,96.68
13,1792,65.07,20.32,20.17,107.58,103.88
13,1856,65.37,20.64,20.47,115.77,111.32
13,1920,65.67,20.89,20.75,122.74,118.82
13,1984,65.95,21.11,21.02,129.16,126.51
13,2048,66.23,21.37,21.29,137.06,134.51
13,2112,66.49,21.54,21.53,142.60,142.31
13,2176,66.75,21.78,21.76,150.79,150.09
13,2240,67.00,21.96,21.99,157.10,158.18
13,2304,67.25,22.16,22.22,164.41,166.60
13,2368,67.49,22.34,22.43,171.53,174.90
13,2432,67.72,22.52,22.63,178.73,183.33
13,2496,67.94,22.69,22.83,185.92,191.86
13,2560,68.16,22.72,22.98,187.03,198.83
13,2624,68.38,22.85,23.16,192.94,206.88
13,2688,68.59,23.00,23.32,199.36,214.89
13,2752,68.79,23.13,23.50,205.81,223.62
13,2816,68.99,23.25,23.64,211.53,231.42
13,2880,69.19,23.38,23.78,217.88,239.01
13,2944,69.38,23.50,23.93,224.08,246.96
13,3008,69.57,23.62,24.05,230.32,254.37
13,3072,69.75,23.71,24.18,235.19,261.89
13,3136,69.93,23.81,24.29,240.21,268.83
13,3200,70.10,23.91,24.40,246.08,275.64
13,3264,70.28,23.98,24.51,250.03,282.62
13,3328,70.44,24.08,24.61,255.82,288.95
13,3392,70.61,24.18,24.70,261.58,295.31
13,3456,70.77,24.21,24.79,263.83,301.50
13,3520,70.93,24.32,24.87,270.10,307.24
13,3584,71.09,24.39,24.95,274.75,312.71
13,3648,71.24,24.45,25.05,278.41,319.59
13,3712,71.39,24.49,25.13,280.91,325.58
13,3776,71.54,24.56,25.19,285.45,330.35
13,3840,71.69,24.60,25.25,288.70,335.24
13,3904,71.83,24.67,25.31,292.98,339.87
13,3968,71.97,24.70,25.37,295.23,344.64
13,4032,72.11,24.76,25.43,298.96,348.89
