ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal,,,,,
7,960,59.65,19.41,21.14,87.39,129.96,82.16,19.15,,,59.65,19.15,21.14
7,1024,60.21,19.89,21.67,97.46,146.84,92.68,19.67,,,60.21,19.67,21.67
7,1088,60.73,20.33,22.18,107.87,165.35,103.77,20.16,,,60.73,20.16,22.18
7,1152,61.23,20.75,22.63,118.83,183.23,115.71,20.63,,,61.23,20.63,22.63
7,1216,61.7,21.1,23.03,128.83,200.92,126.83,21.03,,,61.7,21.03,23.03
7,1280,62.14,21.33,23.31,135.96,214.29,134.88,21.3,,,62.14,21.3,23.31
7,1344,62.57,21.63,23.63,145.4,230.63,145.72,21.64,,,62.57,21.64,23.63
7,1408,62.97,21.91,23.93,155.22,247.11,157.19,21.96,,,62.97,21.96,23.93
7,1472,63.36,22.12,24.21,163.01,263.4,166.43,22.21,,,63.36,22.21,24.21
7,1536,63.73,22.34,24.45,171.57,278.34,176.74,22.47,,,63.73,22.47,24.45
7,1600,64.08,22.52,24.66,178.54,292.35,185.26,22.68,,,64.08,22.68,24.66
7,1664,64.42,22.68,24.85,185.41,305.39,193.75,22.87,,,64.42,22.87,24.85
7,1728,64.75,22.8,25.03,190.72,318.27,200.38,23.02,,,64.75,23.02,25.03
7,1792,65.07,22.97,25.18,197.99,329.47,209.56,23.21,,,65.07,23.21,25.18
7,1856,65.37,23.11,25.32,204.45,340.2,217.81,23.38,,,65.37,23.38,25.32
7,1920,65.67,23.21,25.45,209.21,350.56,223.95,23.5,,,65.67,23.5,25.45
7,1984,65.95,23.3,25.56,213.93,359.62,230.09,23.62,,,65.95,23.62,25.56
7,2048,66.23,23.4,25.66,218.88,368.09,236.56,23.74,,,66.23,23.74,25.66
7,2112,66.49,23.5,25.76,223.75,376.63,243,23.86,,,66.49,23.86,25.76
7,2176,66.75,23.56,25.85,226.85,384.59,247.11,23.93,,,66.75,23.93,25.85
7,2240,67,23.63,25.93,230.87,391.86,252.49,24.02,,,67,24.02,25.93
7,2304,67.25,23.71,26.01,234.71,398.78,257.65,24.11,,,67.25,24.11,26.01
7,2368,67.49,23.75,26.08,237.4,405.1,261.29,24.17,,,67.49,24.17,26.08
7,2432,67.72,23.82,26.14,241.24,411.2,266.51,24.26,,,67.72,24.26,26.14
7,2496,67.94,23.86,26.2,242.98,416.81,268.87,24.3,,,67.94,24.3,26.2
7,2560,68.16,23.94,26.26,247.48,422.35,275.05,24.39,,,68.16,24.39,26.26
7,2624,68.38,23.94,26.31,248,427.14,275.76,24.41,,,68.38,24.41,26.31
7,2688,68.59,24.02,26.35,252.57,431.69,282.09,24.5,,,68.59,24.5,26.35
7,2752,68.79,24.04,26.39,253.49,435.69,283.37,24.52,,,68.79,24.52,26.39
7,2816,68.99,24.05,26.43,254.31,439.53,284.5,24.54,,,68.99,24.54,26.43
7,2880,69.19,24.08,26.47,256.12,443.44,287.01,24.58,,,69.19,24.58,26.47
7,2944,69.38,24.12,26.5,258.18,446.9,289.9,24.62,,,69.38,24.62,26.5
7,3008,69.57,24.16,26.54,260.8,450.33,293.57,24.68,,,69.57,24.68,26.54
7,3072,69.75,24.19,26.57,262.17,454.23,295.49,24.71,,,69.75,24.71,26.57
