Function,SUB-TOP,BLOCK,msadc_mux_regname,msadc_mux_regvalue,test_enable_regname,test_enable_regvalue,test_bits_regname,test_bits_regvalue,test_case
,,,,,,,,,
dvdd,WF,RFPLL,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_rfpll,1'b1,wf_test_bit<2:0>,3'b000,WF_PLL_ON,857.6532101167314,857.5424975680935,857.6532101167314
dpa_ldo,BT,DPA_LDO,pmu_muxadc_bit_cpus<3:0>,4'b0000,bt_test_enable_dpa_ldo,1'b1,bt_test_bit<2:0>,3'b000,BT_TX_ON,1087.8245987354087,1087.6400778210116,1088.0829280155642
dvdd_dpa_reg,BT,DPA,pmu_muxadc_bit_cpus<3:0>,4'b0000,bt_test_enable_dpa,1'b1,bt_test_bit<2:0>,3'b111,BT_TX_ON,850.0140442607004,850.161660992218,850.161660992218
usb_refh,IO,USB,pmu_muxadc_bit_cpus<3:0>,4'b0000,test_enable_usb,1'b1,io_test_bit<3:0>,4'b0100,USB_ON,11.661721789883362,11.661721789883362,11.698625972762773
usb_refl,IO,USB,pmu_muxadc_bit_cpus<3:0>,4'b0000,test_enable_usb,1'b1,io_test_bit<3:0>,4'b0101,USB_ON,2.952334630350184,2.7678137159533986,2.878526264591362
usb_dp,IO,USB,pmu_muxadc_bit_cpus<3:0>,4'b1100,test_enable_usb,1'b1,io_test_bit<3:0>,4'b1000,USB_ON,-54.80271157587546,2.915430447470773,-75.9857125486381
usb_dm,IO,USB,pmu_muxadc_bit_cpus<3:0>,4'b1100,test_enable_usb,1'b1,io_test_bit<3:0>,4'b1000,USB_ON,2.915430447470773,-50.92777237354081,3.099951361867828
usb_vcal,IO,USB,pmu_muxadc_bit_cpus<3:0>,4'b1100,test_enable_usb,1'b1,io_test_bit<3:0>,4'b1010,USB_ON,2.6201969844357547,2.952334630350184,3.099951361867828
usb_avss,IO,USB,pmu_muxadc_bit_cpus<3:0>,4'b1100,test_enable_usb,1'b1,io_test_bit<3:0>,4'b1010,USB_ON,-76.02261673151752,2.878526264591362,3.099951361867828
pcie_pll_dvdd,IO,PCIE,pmu_muxadc_bit_cpus<3:0>,4'b0000,test_enable_pcie_pll,1'b1,io_test_bit<3:0>,4'b001,PCIE_ON,12.067667801556343,-77.1297422178989,12.178380350194576
pcie_pll_avdd_vco,IO,PCIE,pmu_muxadc_bit_cpus<3:0>,4'b0000,test_enable_pcie_pll,1'b1,io_test_bit<3:0>,4'b010,PCIE_ON,12.362901264591361,12.252188715953398,12.28909289883281
xtal_dvdd_clk_buf,CM,XTAL,pmu_muxadc_bit_cpus<3:0>,4'b0000,cm_test_enable_xtal,1'b1,cm_test_bit<2:0>,3'b111,WF_PLL_ON,744.2097519455252,744.3204644941635,744.3573686770429
lna_5g_reg_out,WF,LNA_5G,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_lna_5g_preamp,1'b1,wf_test_bit<2:0>,3'b001,WF_RX_hb_ON,906.1453064202335,906.1453064202335,906.0714980544748
lna_5g_vbn,WF,LNA_5G,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_lna_5g_preamp,1'b1,wf_test_bit<2:0>,3'b010,WF_RX_hb_ON,479.4591439688715,479.680569066148,479.82818579766536
lna_5g_vbcg,WF,LNA_5G,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_lna_5g_preamp,1'b1,wf_test_bit<2:0>,3'b011,WF_RX_hb_ON,708.7817363813231,708.7079280155642,708.486502918288
adc_dvdd,WF,ADC,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_adc,1'b1,wf_test_bit<2:0>,3'b000,WF_RX_ON,950.0981882295719,950.1350924124513,949.7291464007783
adc_vref,WF,ADC,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_adc,1'b1,wf_test_bit<2:0>,3'b001,WF_RX_ON,-75.21072470817114,928.1401994163423,928.3247203307393
adc_vcm,WF,ADC,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_adc,1'b1,wf_test_bit<2:0>,3'b010,WF_RX_ON,721.0708292801556,721.1446376459145,721.1446376459145
lna_vbcgn,WF,LNA,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_lna,1'b1,wf_test_bit<2:0>,3'b010,WF_RX_ON,666.3788302529184,666.6371595330739,666.747872081712
lna_reg_out,WF,LNA,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_lna,1'b1,wf_test_bit<2:0>,3'b011,WF_RX_ON,-75.13691634241245,892.8967047665369,893.1550340466928
lna_vbcgp,WF,LNA,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_lna,1'b1,wf_test_bit<2:0>,3'b100,WF_RX_ON,270.3969479571985,-74.6202577821011,270.3969479571985
rmx_logen_vbn,WF,RMX,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_rmx,1'b1,wf_test_bit<2:0>,3'b000,WF_RX_ON,591.1681055447469,591.5002431906614,591.463339007782
rmx_logen_vbp,WF,RMX,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_rmx,1'b1,wf_test_bit<2:0>,3'b001,WF_RX_ON,403.0674854085603,402.9936770428015,402.73534776264586
