Function,SUB-TOP,BLOCK,msadc_mux_regname,msadc_mux_regvalue,test_enable_regname,test_enable_regvalue,test_bits_regname,test_bits_regvalue,test_case,,
,,,,,,,,,,,
dtmx_dvdd_sw,WF,DTMX,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_dtmx,1'b1,wf_test_bit<2:0>,3'b000,WF_TX_ON,,1044.683609
dtmx_vref_lo,WF,DTMX,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_dtmx,1'b1,wf_test_bit<2:0>,3'b001,WF_TX_ON,,800.8945768
dtmx_dac_vb,WF,DTMX,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_dtmx,1'b1,wf_test_bit<2:0>,3'b010,WF_TX_ON,,505.1813594
dtmx_dac_vb_cscd,WF,DTMX,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_dtmx,1'b1,wf_test_bit<2:0>,3'b011,WF_TX_ON,,358.782466
dtmx_logen_reg,WF,DTMX,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_dtmx,1'b1,wf_test_bit<2:0>,3'b100,WF_TX_ON,,11.10815905
dtmx_logen_dvdd_dll,WF,DTMX,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_dtmx,1'b1,wf_test_bit<2:0>,3'b101,WF_TX_ON,,10.9974465
dtmx_logen_vbn_mont,WF,DTMX,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_dtmx,1'b1,wf_test_bit<2:0>,3'b110,WF_TX_ON,,-10.73911722
dtmx_logen_vbp_mont,WF,DTMX,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_dtmx,1'b1,wf_test_bit<2:0>,3'b111,WF_TX_ON,,11.18196741
pa_bias_hb_vl2,WF,PA,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_pa,1'b1,wf_test_bit<2:0>,3'b000,WF_TX_hb_ON,,357.5646279
pa_bias_hb_vl1,WF,PA,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_pa,1'b1,wf_test_bit<2:0>,3'b001,WF_TX_hb_ON,,347.1945525
pa_bias_lb_vl,WF,PA,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_pa,1'b1,wf_test_bit<2:0>,3'b010,WF_TX_ON,,372.8429596
pa_bias_vm,WF,PA,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_pa,1'b1,wf_test_bit<2:0>,3'b011,WF_TX_ON,,481.6364908
pa_bg_v1v,WF,PA,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_pa,1'b1,wf_test_bit<2:0>,3'b100,WF_TX_ON,,996.0808001
vco_reg_buf,WF,VCO,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_vco,1'b1,wf_test_bit<2:0>,3'b000,WF_PLL_ON,,943.8244771
vco_reg_core,WF,VCO,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_vco,1'b1,wf_test_bit<2:0>,3'b001,WF_PLL_ON,,1075.314081
vco_avdd13_sw,WF,VCO,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_vco,1'b1,wf_test_bit<2:0>,3'b010,WF_PLL_ON,,-20.74015078
mdll_avdd_logic_dig,CM,MDLL,pmu_muxadc_bit_cpus<3:0>,4'b0000,cm_test_enable_mdll,1'b1,cm_test_bit<2:0>,3'b000,WF_PLL_ON,,1029.07314
mdll_avdd_logic,CM,MDLL,pmu_muxadc_bit_cpus<3:0>,4'b0000,cm_test_enable_mdll,1'b1,cm_test_bit<2:0>,3'b001,WF_PLL_ON,,796.7244042
mdll_cp_out1,CM,MDLL,pmu_muxadc_bit_cpus<3:0>,4'b0000,cm_test_enable_mdll,1'b1,cm_test_bit<2:0>,3'b010,WF_PLL_ON,,313.9069796
mdll_cp_out0,CM,MDLL,pmu_muxadc_bit_cpus<3:0>,4'b0000,cm_test_enable_mdll,1'b1,cm_test_bit<2:0>,3'b011,WF_PLL_ON,,314.2391172
rfpll_cp_outp,WF,RFPLL,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_rfpll,1'b1,wf_test_bit<2:0>,3'b111,WF_PLL_ON,,469.3104937
rfpll_cp_outn,WF,RFPLL,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_rfpll,1'b1,wf_test_bit<2:0>,3'b100,WF_PLL_ON,,601.4643726
avdd_pdt,WF,RFPLL,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_rfpll,1'b1,wf_test_bit<2:0>,3'b001,WF_PLL_ON,,1015.012646
dvdd,WF,RFPLL,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_rfpll,1'b1,wf_test_bit<2:0>,3'b000,WF_PLL_ON,,970.9121474
