Function,SUB-TOP,BLOCK,msadc_mux_regname,msadc_mux_regvalue,test_enable_regname,test_enable_regvalue,test_bits_regname,test_bits_regvalue,test_case,-40¡æ,,,,,20¡æ,,,,,70¡æ,,,
mdll_cp_out1,CM,MDLL,pmu_muxadc_bit_cpus<3:0>,4'b0000,cm_test_enable_mdll,1'b1,cm_test_bit<2:0>,3'b010,WF_PLL_ON,297.5215224,297.2631931,297.4108098,297.5215224,,350.7004499,350.8111625,350.6635457,350.8111625,,450.0834144,116.5434095,449.9357977,450.0834144
mdll_cp_out0,CM,MDLL,pmu_muxadc_bit_cpus<3:0>,4'b0000,cm_test_enable_mdll,1'b1,cm_test_bit<2:0>,3'b011,WF_PLL_ON,297.5215224,297.3000973,-301.7655034,297.5215224,,351.2540126,351.5123419,-78.01544261,351.5123419,,145.5870015,450.5262646,116.9493555,450.5262646
rfpll_cp_outp,WF,RFPLL,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_rfpll,1'b1,wf_test_bit<2:0>,3'b111,WF_PLL_ON,488.9066148,-301.8024076,489.3863692,489.3863692,,400.1151508,-78.08925097,399.8199173,400.1151508,,347.6374027,117.1707806,347.9326362,347.9326362
rfpll_cp_outn,WF,RFPLL,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_rfpll,1'b1,wf_test_bit<2:0>,3'b100,WF_PLL_ON,596.9989664,596.9251581,-301.5809825,596.9989664,,516.3264227,516.4371352,-78.12615516,516.4371352,,418.3089129,418.5672422,117.0231639,418.5672422
avdd_pdt,WF,RFPLL,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_rfpll,1'b1,wf_test_bit<2:0>,3'b001,WF_PLL_ON,868.3554232,1214,868.4292315,868.3554232,,844.0355666,1214,844.1462792,844.0355666,,817.870501,1214,818.0181177,817.870501
dvdd,WF,RFPLL,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_rfpll,1'b1,wf_test_bit<2:0>,3'b000,WF_PLL_ON,899.3549368,899.4656493,899.5394577,899.5394577,,857.6532101,857.5424976,857.6532101,857.6532101,,818.9407223,818.9038181,818.9776265,818.9776265
dpa_ldo,BT,DPA_LDO,pmu_muxadc_bit_cpus<3:0>,4'b0000,bt_test_enable_dpa_ldo,1'b1,bt_test_bit<2:0>,3'b000,BT_TX_ON,1076.531919,1076.568823,1076.790248,1076.790248,,1087.824599,1087.640078,1088.082928,1088.082928,,1089.559095,1089.411479,1089.485287,1089.559095
dvdd_dpa_reg,BT,DPA,pmu_muxadc_bit_cpus<3:0>,4'b0000,bt_test_enable_dpa,1'b1,bt_test_bit<2:0>,3'b111,BT_TX_ON,877.9136065,877.9136065,877.6921814,877.9136065,,850.0140443,850.161661,850.161661,850.161661,,821.1549732,821.2656858,821.1549732,821.2656858
usb_refh,IO,USB,pmu_muxadc_bit_cpus<3:0>,4'b0000,test_enable_usb,1'b1,io_test_bit<3:0>,4'b0100,USB_ON,11.25577578,11.36648833,11.32958414,11.36648833,,11.66172179,11.66172179,11.69862597,11.69862597,,13.98668531,13.91287695,13.91287695,13.98668531
usb_refl,IO,USB,pmu_muxadc_bit_cpus<3:0>,4'b0000,test_enable_usb,1'b1,io_test_bit<3:0>,4'b0101,USB_ON,2.214250973,2.472580253,2.361867704,2.472580253,,2.95233463,2.767813716,2.878526265,2.95233463,,3.358280642,3.579705739,3.468993191,3.579705739
usb_dp,IO,USB,pmu_muxadc_bit_cpus<3:0>,4'b1100,test_enable_usb,1'b1,io_test_bit<3:0>,4'b1000,USB_ON,-299.5512524,2.140442607,2.472580253,2.472580253,,-54.80271158,2.915430447,-75.98571255,2.915430447,,119.2005107,3.764226654,3.247568093,119.2005107
usb_dm,IO,USB,pmu_muxadc_bit_cpus<3:0>,4'b1100,test_enable_usb,1'b1,io_test_bit<3:0>,4'b1000,USB_ON,2.251155156,2.324963521,2.509484436,2.509484436,,2.915430447,-50.92777237,3.099951362,3.099951362,,3.542801556,148.3917194,3.542801556,148.3917194
usb_vcal,IO,USB,pmu_muxadc_bit_cpus<3:0>,4'b1100,test_enable_usb,1'b1,io_test_bit<3:0>,4'b1010,USB_ON,2.17734679,2.17734679,-283.2026994,2.17734679,,2.620196984,2.95233463,3.099951362,3.099951362,,3.616609922,3.432089008,3.284472276,3.616609922
