0,0xC93F4339,-2.59,-37.74
1,0xC93F4340,-1.47,-38.12
2,0xC93F4348,-0.60,-38.59
3,0xC93F4351,0.35,-39.22
4,0xC93F435B,1.33,-39.86
5,0xC93F4367,2.39,-40.41
6,0xC93F4372,3.29,-40.83
7,0xC93F4381,4.38,-41.31
8,0xCA3F464A,5.31,-40.16
9,0xCA3F4652,6.26,-40.54
10,0xCA3F465D,7.35,-40.63
11,0xCA3F4669,8.42,-40.74
12,0xCA3F4675,9.32,-40.59
13,0xCA3F4685,10.38,-39.99
14,0xD33F4B36,11.54,-35.25
15,0xD33F4B3D,12.54,-35.74
16,0xD33F4B44,13.48,-36.20
17,0xD33F4B4C,14.45,-36.70
18,0xD33F4B56,15.41,-37.00
19,0xDC3F4D52,16.48,-36.48
20,0xDC3F4D5C,17.41,-36.30
21,0xDC3F4D68,18.33,-34.35
22,0xDC3F4D74,19.30,-31.68
23,0xDC3F4D83,20.19,-30.16
24,0xDC3F4D93,21.06,-29.59
25,0xDC3F4DA4,21.86,-29.05
