0,0xC8FFC269,0.77,-41.86
1,0xC8FFC35E,1.64,-40.70
2,0xC8FFC369,2.69,-39.88
3,0xC8FFC45E,3.46,-40.62
4,0xC8FFC469,4.53,-39.86
5,0xC8FFC55E,5.43,-38.87
6,0xC8FFC569,6.45,-38.16
7,0xC8FFC65E,7.46,-38.02
8,0xC8FFC669,8.54,-37.48
9,0xC8FFC75E,9.45,-36.54
10,0xC8FFC769,10.46,-36.12
11,0xCF3F4861,11.65,-35.75
12,0xCF3F486D,12.61,-35.39
13,0xCE3F495E,13.47,-37.85
14,0xCE3F496A,14.49,-38.13
15,0xCD3F4A65,15.47,-38.61
16,0xCD3F4A71,16.38,-38.75
17,0xD43F4B6D,17.19,-36.55
18,0xD43F4B7A,18.12,-34.83
19,0xD33F4C76,19.08,-33.56
20,0xD33F4C85,19.98,-31.20
21,0xDA3F4D91,20.96,-29.72
22,0xDA3F4DA3,21.79,-29.19
23,0xD93F4EA0,22.44,-28.75
24,0xD93F4EB3,23.08,-27.94
25,0xD83F4FC8,23.59,-27.22
