32,0xCD3F4720,-0.18,-36.07
36,0xCD3F4724,0.85,-36.19
40,0xCD3F4728,1.71,-36.77
44,0xCD3F472C,2.55,-37.12
48,0xCD3F4730,3.36,-37.50
52,0xCD3F4734,4.11,-37.60
56,0xCD3F4738,4.76,-37.69
60,0xCD3F473C,5.28,-37.70
64,0xCD3F4740,5.84,-37.75
68,0xCD3F4744,6.36,-38.09
72,0xCD3F4748,6.86,-38.32
76,0xCD3F474C,7.35,-38.38
80,0xCD3F4750,7.78,-38.49
84,0xCD3F4754,8.25,-38.61
88,0xCD3F4758,8.64,-38.80
92,0xCD3F475C,9.02,-38.93
96,0xCD3F4760,9.39,-39.03
100,0xCD3F4764,9.74,-39.21
104,0xCD3F4768,10.07,-39.33
108,0xCD3F476C,10.40,-39.47
112,0xCD3F4770,10.70,-39.36
116,0xCD3F4774,11.01,-39.51
120,0xCD3F4778,11.30,-39.64
124,0xCD3F477C,11.59,-39.58
128,0xCD3F4780,11.83,-39.68
132,0xCD3F4784,12.09,-39.65
136,0xCD3F4788,12.36,-39.53
140,0xCD3F478C,12.60,-39.72
144,0xCD3F4790,12.84,-39.56
148,0xCD3F4794,13.08,-39.51
152,0xCD3F4798,13.30,-39.65
156,0xCD3F479C,13.53,-39.55
160,0xCD3F47A0,13.74,-39.55
164,0xCD3F47A4,13.95,-39.56
168,0xCD3F47A8,14.16,-39.32
172,0xCD3F47AC,14.35,-39.28
176,0xCD3F47B0,14.54,-39.07
180,0xCD3F47B4,14.68,-38.76
184,0xCD3F47B8,14.85,-38.44
188,0xCD3F47BC,15.02,-38.22
192,0xCD3F47C0,15.20,-37.55
196,0xCD3F47C4,15.38,-36.79
200,0xCD3F47C8,15.54,-36.28
204,0xCD3F47CC,15.69,-35.46
208,0xCD3F47D0,15.87,-35.16
212,0xCD3F47D4,16.02,-34.58
216,0xCD3F47D8,16.18,-33.68
220,0xCD3F47DC,16.33,-33.17
224,0xCD3F47E0,16.48,-32.58
228,0xCD3F47E4,16.61,-32.12
232,0xCD3F47E8,16.75,-31.62
236,0xCD3F47EC,16.88,-31.36
