32,0xD43F4B20,6.28,-34.55
36,0xD43F4B24,7.37,-34.10
40,0xD43F4B28,8.38,-33.90
44,0xD43F4B2C,9.23,-34.01
48,0xD43F4B30,9.99,-34.23
52,0xD43F4B34,10.71,-34.60
56,0xD43F4B38,11.35,-34.98
60,0xD43F4B3C,11.97,-35.55
64,0xD43F4B40,12.53,-36.18
68,0xD43F4B44,13.00,-36.67
72,0xD43F4B48,13.48,-37.21
76,0xD43F4B4C,13.95,-37.85
80,0xD43F4B50,14.45,-38.30
84,0xD43F4B54,14.86,-38.72
88,0xD43F4B58,15.23,-39.09
92,0xD43F4B5C,15.61,-39.32
96,0xD43F4B60,15.98,-39.44
100,0xD43F4B64,16.33,-39.39
104,0xD43F4B68,16.66,-39.36
108,0xD43F4B6C,16.99,-39.01
112,0xD43F4B70,17.28,-38.37
116,0xD43F4B74,17.59,-37.33
120,0xD43F4B78,17.87,-36.57
124,0xD43F4B7C,18.15,-35.68
128,0xD43F4B80,18.41,-34.45
132,0xD43F4B84,18.68,-33.54
136,0xD43F4B88,18.91,-32.84
140,0xD43F4B8C,19.15,-31.96
144,0xD43F4B90,19.38,-31.39
148,0xD43F4B94,19.59,-31.00
152,0xD43F4B98,19.81,-30.48
156,0xD43F4B9C,20.01,-30.24
160,0xD43F4BA0,20.21,-30.03
164,0xD43F4BA4,20.40,-29.87
168,0xD43F4BA8,20.58,-29.76
172,0xD43F4BAC,20.74,-29.61
176,0xD43F4BB0,20.92,-29.53
180,0xD43F4BB4,21.07,-29.43
184,0xD43F4BB8,21.23,-29.30
188,0xD43F4BBC,21.38,-29.17
192,0xD43F4BC0,21.52,-29.04
196,0xD43F4BC4,21.66,-28.91
200,0xD43F4BC8,21.77,-28.77
204,0xD43F4BCC,21.91,-28.62
208,0xD43F4BD0,22.02,-28.51
212,0xD43F4BD4,22.14,-28.34
216,0xD43F4BD8,22.25,-28.23
220,0xD43F4BDC,22.35,-28.11
224,0xD43F4BE0,22.45,-27.96
228,0xD43F4BE4,22.55,-27.87
232,0xD43F4BE8,22.64,-27.72
236,0xD43F4BEC,22.73,-27.60
