32,0xD63F5920,-1.43,-34.77
36,0xD63F5924,-0.41,-34.78
40,0xD63F5928,0.50,-35.04
44,0xD63F592C,1.33,-35.28
48,0xD63F5930,2.09,-35.55
52,0xD63F5934,2.77,-35.89
56,0xD63F5938,3.41,-36.32
60,0xD63F593C,4.00,-36.62
64,0xD63F5940,4.56,-37.09
68,0xD63F5944,5.09,-37.61
72,0xD63F5948,5.60,-38.16
76,0xD63F594C,6.06,-38.56
80,0xD63F5950,6.49,-38.87
84,0xD63F5954,6.92,-39.32
88,0xD63F5958,7.31,-39.66
92,0xD63F595C,7.69,-39.92
96,0xD63F5960,8.07,-40.20
100,0xD63F5964,8.41,-40.34
104,0xD63F5968,8.76,-40.71
108,0xD63F596C,9.09,-40.75
112,0xD63F5970,9.40,-40.96
116,0xD63F5974,9.70,-41.21
120,0xD63F5978,10.01,-41.25
124,0xD63F597C,10.29,-41.38
128,0xD63F5980,10.56,-41.39
132,0xD63F5984,10.83,-41.40
136,0xD63F5988,11.08,-41.52
140,0xD63F598C,11.33,-41.61
144,0xD63F5990,11.58,-41.62
148,0xD63F5994,11.82,-41.51
152,0xD63F5998,12.05,-41.57
156,0xD63F599C,12.28,-41.52
160,0xD63F59A0,12.49,-41.39
164,0xD63F59A4,12.66,-41.55
168,0xD63F59A8,12.86,-41.47
172,0xD63F59AC,13.07,-41.30
176,0xD63F59B0,13.26,-41.14
180,0xD63F59B4,13.46,-40.83
184,0xD63F59B8,13.65,-40.86
188,0xD63F59BC,13.84,-40.72
192,0xD63F59C0,14.00,-40.23
196,0xD63F59C4,14.19,-40.03
200,0xD63F59C8,14.37,-39.64
204,0xD63F59CC,14.53,-38.62
208,0xD63F59D0,14.70,-38.34
212,0xD63F59D4,14.85,-37.61
216,0xD63F59D8,15.02,-36.98
220,0xD63F59DC,15.16,-36.49
224,0xD63F59E0,15.33,-35.77
228,0xD63F59E4,15.47,-34.90
232,0xD63F59E8,15.62,-34.61
236,0xD63F59EC,15.75,-33.63
