0,0xC93F434F,0.06,-40.09,0
1,0xC93F4359,1.01,-40.47,0
2,0xC93F4364,1.99,-40.82,0
3,0xC93F4371,3.10,-41.33,0
4,0xC93F437F,4.17,-41.66,0
5,0xC93F438F,5.09,-41.46,0
6,0xC93F439F,6.01,-41.24,0
7,0xC93F43B3,7.04,-40.75,0
8,0xCA3F4666,8.08,-40.52,0
9,0xCA3F4672,9.02,-40.72,0
10,0xCA3F4682,10.14,-40.57,0
11,0xCA3F4692,11.12,-39.93,0
12,0xCA3F46A3,12.04,-39.48,0
13,0xCA3F46B8,12.99,-39.10,0
14,0xD33F4B4B,14.15,-35.91,0
15,0xD33F4B54,15.08,-36.23,0
16,0xD33F4B5E,16.00,-36.56,0
17,0xD33F4B6A,17.00,-36.73,0
18,0xD33F4B77,17.96,-35.35,0
19,0xDC3F4D6F,18.90,-33.44,0
20,0xDC3F4D7C,19.87,-30.79,0
21,0xDC3F4D8C,20.74,-29.83,0
22,0xDC3F4D9D,21.58,-29.36,0
23,0xDC3F4DB0,22.32,-28.71,0
24,0xDC3F4DC5,22.98,-27.95,0
25,0xDC3F4DDD,23.56,-27.07,0
