0,0xC23F5479,-0.19,-41.24,0
1,0xC33F556C,0.75,-41.42,0
2,0xC33F5579,1.73,-41.88,0
3,0xC43F566C,2.79,-40.39,0
4,0xC43F5679,3.78,-40.59,0
5,0xC53F576C,4.78,-40.37,0
6,0xC53F5779,5.76,-40.63,0
7,0xCE3F586C,7.07,-40.48,0
8,0xCE3F5879,8.11,-40.42,0
9,0xD73F596D,9.10,-39.63,0
10,0xD73F597A,10.14,-39.59,0
11,0xD0FFDA6C,11.27,-32.99,3
12,0xD0FFDA7A,12.21,-32.40,3
13,0xD0FFDB6F,13.37,-31.72,3
14,0xD0FFDB7D,14.26,-31.32,3
15,0xD8FFDC72,15.52,-30.62,3
16,0xD8FFDC80,16.42,-30.22,3
17,0xD8FFDD78,17.60,-29.91,3
18,0xD8FFDD87,18.41,-29.75,3
19,0xD8FFDEA9,18.34,-29.76,3
20,0xD8FFDEBE,19.13,-29.55,3
21,0xD8FFDED5,19.80,-29.25,3
22,0xD8FFDFA0,21.22,-27.88,3
23,0xD8FFDFB4,21.69,-27.18,3
24,0xD8FFDFB4,21.67,-27.22,3
25,0xD8FFDFB4,21.65,-27.18,3
