32,0xD33F4C20,7.96,-33.14
36,0xD33F4C24,8.91,-32.83
40,0xD33F4C28,9.78,-32.84
44,0xD33F4C2C,10.60,-32.98
48,0xD33F4C30,11.35,-33.30
52,0xD33F4C34,12.03,-33.66
56,0xD33F4C38,12.67,-34.10
60,0xD33F4C3C,13.20,-34.62
64,0xD33F4C40,13.77,-35.21
68,0xD33F4C44,14.34,-35.88
72,0xD33F4C48,14.85,-36.49
76,0xD33F4C4C,15.26,-37.03
80,0xD33F4C50,15.70,-37.52
84,0xD33F4C54,16.12,-37.92
88,0xD33F4C58,16.53,-38.16
92,0xD33F4C5C,16.91,-38.30
96,0xD33F4C60,17.27,-38.24
100,0xD33F4C64,17.62,-37.88
104,0xD33F4C68,17.94,-37.27
108,0xD33F4C6C,18.28,-36.50
112,0xD33F4C70,18.58,-35.45
116,0xD33F4C74,18.87,-34.38
120,0xD33F4C78,19.15,-33.39
124,0xD33F4C7C,19.42,-32.59
128,0xD33F4C80,19.67,-31.81
132,0xD33F4C84,19.94,-31.19
136,0xD33F4C88,20.18,-30.77
140,0xD33F4C8C,20.41,-30.39
144,0xD33F4C90,20.63,-30.12
148,0xD33F4C94,20.83,-29.97
152,0xD33F4C98,21.05,-29.80
156,0xD33F4C9C,21.24,-29.69
160,0xD33F4CA0,21.42,-29.55
164,0xD33F4CA4,21.58,-29.43
168,0xD33F4CA8,21.75,-29.31
172,0xD33F4CAC,21.91,-29.18
176,0xD33F4CB0,22.07,-29.02
180,0xD33F4CB4,22.22,-28.89
184,0xD33F4CB8,22.36,-28.73
188,0xD33F4CBC,22.49,-28.60
192,0xD33F4CC0,22.62,-28.46
196,0xD33F4CC4,22.74,-28.32
200,0xD33F4CC8,22.86,-28.10
204,0xD33F4CCC,22.96,-28.08
208,0xD33F4CD0,23.07,-27.83
212,0xD33F4CD4,23.17,-27.74
216,0xD33F4CD8,23.27,-27.61
220,0xD33F4CDC,23.36,-27.45
224,0xD33F4CE0,23.46,-27.30
228,0xD33F4CE4,23.53,-27.17
232,0xD33F4CE8,23.62,-27.02
236,0xD33F4CEC,23.69,-26.88
