0,0xCB3F547F,0.44,-28.71,0
1,0xCA3F5571,0.91,-26.87,0
2,0xCA3F557F,2.30,-23.67,0
3,0xC93F5671,3.15,-30.02,0
4,0xC93F567F,4.29,-28.69,0
5,0xC83F5771,4.25,-19.21,0
6,0xC83F577F,6.09,-15.28,0
7,0xCF3F5871,7.47,-39.86,0
8,0xCF3F587E,8.46,-40.60,0
9,0xD63F5971,9.59,-41.05,0
10,0xD63F597F,10.59,-41.54,0
11,0xD53F5A6F,11.43,-41.38,0
12,0xD53F5A7D,12.46,-41.59,0
13,0xD43F5B70,13.39,-41.21,0
14,0xD43F5B7E,14.40,-41.16,0
15,0xDB3F5C72,15.38,-40.05,0
16,0xDB3F5C80,16.34,-39.28,0
17,0xDA3F5D79,17.26,-36.68,0
18,0xDA3F5D88,18.22,-33.25,0
19,0xD93F5EB4,19.07,-30.33,0
20,0xD93F5EC9,19.90,-29.79,0
21,0xD93F5EE2,20.66,-29.38,0
22,0xD83F5FB8,21.51,-29.07,0
23,0xD83F5FCF,22.07,-28.43,0
24,0xD83F5FCF,22.06,-28.46,0
25,0xD83F5FCF,22.05,-28.48,0
