Channel, Rate, BandWidth, Length, SetPwr, MsPwrAvg, MsEvmAvg
155,5 11,2 2,20000,11,11.25,-39.21
155,5 11,2 2,20000,12,12.23,-38.76
155,5 11,2 2,20000,13,13.25,-38.98
155,5 11,2 2,20000,14,14.27,-39.57
155,5 11,2 2,20000,15,15.24,-39.76
155,5 11,2 2,20000,16,16.19,-39.35
155,5 11,2 2,20000,17,17.15,-37.04
155,5 11,2 2,20000,18,18.09,-34.19
155,5 11,2 2,20000,19,18.96,-31.36
155,5 11,2 2,20000,20,19.84,-30.03
155,5 11,2 2,20000,21,20.64,-29.67
155,5 11,2 2,20000,22,21.36,-29.21
155,5 11,2 2,20000,23,21.84,-27.28
42,5 7,2 2,20000,0,-1.95,-38.33
42,5 7,2 2,20000,1,-0.70,-39.14
42,5 7,2 2,20000,2,0.22,-39.91
42,5 7,2 2,20000,3,1.28,-40.88
42,5 7,2 2,20000,4,2.22,-41.44
42,5 7,2 2,20000,5,3.42,-41.86
42,5 7,2 2,20000,6,4.27,-41.89
42,5 7,2 2,20000,7,5.59,-41.53
42,5 7,2 2,20000,8,6.63,-41.79
42,5 7,2 2,20000,9,7.58,-41.85
42,5 7,2 2,20000,10,8.61,-41.58
42,5 7,2 2,20000,11,9.57,-41.17
42,5 7,2 2,20000,12,10.54,-40.16
42,5 7,2 2,20000,13,11.71,-37.76
42,5 7,2 2,20000,14,12.71,-38.89
42,5 7,2 2,20000,15,13.67,-39.73
42,5 7,2 2,20000,16,14.61,-39.85
42,5 7,2 2,20000,17,15.56,-38.64
42,5 7,2 2,20000,18,16.17,-37.49
42,5 7,2 2,20000,19,17.15,-35.10
42,5 7,2 2,20000,20,18.05,-31.21
42,5 7,2 2,20000,21,18.96,-26.50
42,5 7,2 2,20000,22,19.78,-22.48
42,5 7,2 2,20000,23,20.02,-18.78
58,5 7,2 2,20000,0,-2.28,-37.54
58,5 7,2 2,20000,1,-1.09,-38.61
58,5 7,2 2,20000,2,-0.18,-39.27
58,5 7,2 2,20000,3,0.96,-40.02
58,5 7,2 2,20000,4,1.86,-40.71
58,5 7,2 2,20000,5,3.03,-41.15
58,5 7,2 2,20000,6,3.93,-41.03
58,5 7,2 2,20000,7,5.21,-42.34
58,5 7,2 2,20000,8,6.19,-42.32
58,5 7,2 2,20000,9,7.14,-42.13
58,5 7,2 2,20000,10,8.21,-41.67
58,5 7,2 2,20000,11,9.21,-41.24
58,5 7,2 2,20000,12,10.18,-40.30
58,5 7,2 2,20000,13,11.28,-38.74
58,5 7,2 2,20000,14,12.23,-39.70
58,5 7,2 2,20000,15,13.19,-40.44
58,5 7,2 2,20000,16,14.14,-40.76
58,5 7,2 2,20000,17,15.12,-40.09
58,5 7,2 2,20000,18,15.80,-38.48
58,5 7,2 2,20000,19,16.78,-36.13
58,5 7,2 2,20000,20,17.75,-32.16
58,5 7,2 2,20000,21,18.63,-28.01
58,5 7,2 2,20000,22,19.49,-23.78
58,5 7,2 2,20000,23,19.84,-19.14
106,5 7,2 2,20000,0,-1.39,-40.48
106,5 7,2 2,20000,1,-0.11,-41.09
106,5 7,2 2,20000,2,0.72,-41.58
106,5 7,2 2,20000,3,1.90,-41.91
106,5 7,2 2,20000,4,2.77,-41.96
106,5 7,2 2,20000,5,3.99,-41.98
