Channel, Rate, BandWidth, Length, SetPwr, MsPwrAvg, MsEvmAvg
42,5 0,2 2,20000,20,17.72,-30.10,0xD43F5D98
42,5 0,2 2,20000,21,18.55,-25.88,0xD43F5DAA
42,5 0,2 2,20000,22,19.34,-21.70,0xD43F5DBF
42,5 0,2 2,20000,23,19.60,-17.17,0xD83F5FB4
58,5 11,2 2,20000,10,7.91,-41.18,0xC23F58A0
58,5 11,2 2,20000,11,8.96,-40.53,0xC23F58B3
58,5 11,2 2,20000,12,10.01,-40.09,0xC23F58C9
58,5 11,2 2,20000,13,11.07,-38.13,0xD33F5C58
58,5 11,2 2,20000,14,12.08,-39.17,0xD33F5C63
58,5 11,2 2,20000,15,13.07,-39.66,0xD33F5C6F
58,5 11,2 2,20000,16,14.01,-39.59,0xD33F5C7C
58,5 11,2 2,20000,17,15.00,-38.50,0xD33F5C8B
58,5 11,2 2,20000,18,15.66,-36.96,0xD43F5D79
58,5 11,2 2,20000,19,16.63,-34.67,0xD43F5D88
58,5 11,2 2,20000,20,17.58,-31.55,0xD43F5D99
58,5 11,2 2,20000,21,18.44,-30.17,0xD43F5DAB
58,5 11,2 2,20000,22,19.26,-29.77,0xD43F5DC0
58,5 11,2 2,20000,23,19.65,-28.75,0xD83F5FAA
58,5 7,2 2,20000,10,7.99,-41.30,0xC23F58A0
58,5 7,2 2,20000,11,9.00,-41.14,0xC23F58B3
58,5 7,2 2,20000,12,10.02,-40.79,0xC23F58C9
58,5 7,2 2,20000,13,11.05,-38.54,0xD33F5C58
58,5 7,2 2,20000,14,12.05,-39.35,0xD33F5C63
58,5 7,2 2,20000,15,13.02,-39.62,0xD33F5C6F
58,5 7,2 2,20000,16,13.97,-39.39,0xD33F5C7C
58,5 7,2 2,20000,17,14.94,-38.38,0xD33F5C8B
58,5 7,2 2,20000,18,15.58,-36.68,0xD43F5D79
58,5 7,2 2,20000,19,16.55,-34.26,0xD43F5D88
58,5 7,2 2,20000,20,17.45,-31.07,0xD43F5D98
58,5 7,2 2,20000,21,18.36,-26.94,0xD43F5DAB
58,5 7,2 2,20000,22,19.20,-22.86,0xD43F5DC0
58,5 7,2 2,20000,23,19.57,-18.91,0xD83F5FAA
58,5 0,2 2,20000,10,7.91,-40.71,0xC23F58A0
58,5 0,2 2,20000,11,8.92,-40.48,0xC23F58B3
58,5 0,2 2,20000,12,9.94,-39.81,0xC23F58C9
58,5 0,2 2,20000,13,10.96,-37.75,0xD33F5C58
58,5 0,2 2,20000,14,11.97,-38.43,0xD33F5C63
58,5 0,2 2,20000,15,12.94,-38.50,0xD33F5C6F
58,5 0,2 2,20000,16,13.88,-38.35,0xD33F5C7C
58,5 0,2 2,20000,17,14.84,-37.66,0xD33F5C8B
58,5 0,2 2,20000,18,15.47,-35.93,0xD43F5D79
58,5 0,2 2,20000,19,16.43,-33.83,0xD43F5D88
58,5 0,2 2,20000,20,17.38,-30.67,0xD43F5D99
58,5 0,2 2,20000,21,18.24,-26.87,0xD43F5DAB
58,5 0,2 2,20000,22,19.05,-22.88,0xD43F5DC0
58,5 0,2 2,20000,23,19.42,-17.79,0xD83F5FAA
106,5 11,2 2,20000,10,8.54,-41.44,0xC23F5899
106,5 11,2 2,20000,11,9.62,-40.74,0xC23F58AC
106,5 11,2 2,20000,12,10.64,-39.87,0xC23F58C1
106,5 11,2 2,20000,13,11.68,-39.01,0xD33F5C58
106,5 11,2 2,20000,14,12.70,-39.33,0xD33F5C63
106,5 11,2 2,20000,15,13.69,-39.45,0xD33F5C6F
106,5 11,2 2,20000,16,14.64,-39.07,0xD33F5C7C
106,5 11,2 2,20000,17,15.62,-37.75,0xD33F5C8B
106,5 11,2 2,20000,18,16.33,-35.76,0xD43F5D7D
106,5 11,2 2,20000,19,17.26,-33.50,0xD43F5D8C
106,5 11,2 2,20000,20,18.17,-30.88,0xD43F5D9D
106,5 11,2 2,20000,21,19.03,-29.99,0xD43F5DB0
106,5 11,2 2,20000,22,19.80,-29.65,0xD43F5DC5
106,5 11,2 2,20000,23,20.18,-28.58,0xD83F5F9B
106,5 7,2 2,20000,10,8.53,-41.29,0xC23F5899
106,5 7,2 2,20000,11,9.55,-41.00,0xC23F58AB
106,5 7,2 2,20000,12,10.56,-40.47,0xC23F58C0
106,5 7,2 2,20000,13,11.66,-38.77,0xD33F5C58
106,5 7,2 2,20000,14,12.66,-39.13,0xD33F5C63
106,5 7,2 2,20000,15,13.63,-39.25,0xD33F5C6F
106,5 7,2 2,20000,16,14.58,-38.87,0xD33F5C7C
106,5 7,2 2,20000,17,15.55,-37.74,0xD33F5C8B
106,5 7,2 2,20000,18,16.14,-36.55,0xD43F5D7C
106,5 7,2 2,20000,19,17.15,-33.80,0xD43F5D8C
106,5 7,2 2,20000,20,18.07,-29.62,0xD43F5D9D
106,5 7,2 2,20000,21,18.92,-25.48,0xD43F5DB0
106,5 7,2 2,20000,22,19.70,-21.60,0xD43F5DC5
106,5 7,2 2,20000,23,20.05,-18.62,0xD83F5F9A
106,5 0,2 2,20000,10,8.45,-40.57,0xC23F5899
106,5 0,2 2,20000,11,9.51,-40.38,0xC23F58AC
106,5 0,2 2,20000,12,10.51,-39.98,0xC23F58C1
106,5 0,2 2,20000,13,11.57,-38.61,0xD33F5C58
106,5 0,2 2,20000,14,12.57,-38.78,0xD33F5C63
106,5 0,2 2,20000,15,13.53,-38.25,0xD33F5C6F
106,5 0,2 2,20000,16,14.48,-37.76,0xD33F5C7C
106,5 0,2 2,20000,17,15.42,-36.82,0xD33F5C8B
106,5 0,2 2,20000,18,16.09,-35.38,0xD43F5D7D
106,5 0,2 2,20000,19,17.02,-32.96,0xD43F5D8C
106,5 0,2 2,20000,20,17.94,-29.46,0xD43F5D9D
106,5 0,2 2,20000,21,18.79,-25.47,0xD43F5DB0
106,5 0,2 2,20000,22,19.54,-21.52,0xD43F5DC5
106,5 0,2 2,20000,23,19.90,-17.11,0xD83F5F9B
122,5 11,2 2,20000,10,8.99,-41.12,0xC23F5899
122,5 11,2 2,20000,11,10.06,-40.46,0xC23F58AC
122,5 11,2 2,20000,12,11.09,-39.85,0xC23F58C1
122,5 11,2 2,20000,13,12.16,-38.44,0xD33F5C58
122,5 11,2 2,20000,14,13.19,-38.86,0xD33F5C63
122,5 11,2 2,20000,15,14.15,-38.73,0xD33F5C6F
122,5 11,2 2,20000,16,15.11,-38.37,0xD33F5C7C
122,5 11,2 2,20000,17,16.08,-36.87,0xD33F5C8B
122,5 11,2 2,20000,18,16.67,-35.55,0xD43F5D7C
122,5 11,2 2,20000,19,17.59,-32.64,0xD43F5D8B
122,5 11,2 2,20000,20,18.50,-30.50,0xD43F5D9C
122,5 11,2 2,20000,21,19.32,-29.86,0xD43F5DAF
122,5 11,2 2,20000,22,20.07,-29.52,0xD43F5DC4
122,5 11,2 2,20000,23,20.43,-28.37,0xD83F5F9E
122,5 7,2 2,20000,10,8.99,-40.95,0xC23F5899
122,5 7,2 2,20000,11,9.99,-40.73,0xC23F58AB
122,5 7,2 2,20000,12,11.01,-40.00,0xC23F58C0
122,5 7,2 2,20000,13,12.19,-38.88,0xD33F5C58
122,5 7,2 2,20000,14,13.13,-39.39,0xD33F5C63
