Channel, Rate, BandWidth, Length, SetPwr, MsPwrAvg, MsEvmAvg,
155,5 11,2 2,20000,20,18.47,-30.26,0xD43F5D9C
155,5 11,2 2,20000,21,19.31,-29.77,0xD43F5DAF
155,5 11,2 2,20000,22,20.01,-29.41,0xD43F5DC5
155,5 11,2 2,20000,23,20.35,-28.06,0xD83F5F9F
155,5 7,2 2,20000,0,-0.69,-38.21,0xC13F564E
155,5 7,2 2,20000,1,0.19,-38.69,0xC13F5657
155,5 7,2 2,20000,2,1.23,-39.12,0xC13F5662
155,5 7,2 2,20000,3,2.25,-39.50,0xC13F566E
155,5 7,2 2,20000,4,3.14,-39.82,0xC13F5679
155,5 7,2 2,20000,5,4.14,-39.89,0xC13F568A
155,5 7,2 2,20000,6,5.18,-39.91,0xC13F569A
155,5 7,2 2,20000,7,6.06,-39.51,0xC23F586A
155,5 7,2 2,20000,8,7.06,-39.51,0xC23F5877
155,5 7,2 2,20000,9,8.11,-39.55,0xC23F5885
155,5 7,2 2,20000,10,9.08,-39.50,0xC23F5895
155,5 7,2 2,20000,11,10.11,-39.54,0xC23F58A7
155,5 7,2 2,20000,12,11.05,-39.35,0xC23F58BC
155,5 7,2 2,20000,13,12.24,-38.10,0xD33F5C58
155,5 7,2 2,20000,14,13.24,-38.89,0xD33F5C63
155,5 7,2 2,20000,15,14.20,-39.00,0xD33F5C6F
155,5 7,2 2,20000,16,15.12,-38.52,0xD33F5C7C
155,5 7,2 2,20000,17,16.06,-36.16,0xD33F5C8B
155,5 7,2 2,20000,18,16.51,-35.29,0xD43F5D7C
155,5 7,2 2,20000,19,17.43,-31.60,0xD43F5D8B
155,5 7,2 2,20000,20,18.32,-27.23,0xD43F5D9C
155,5 7,2 2,20000,21,19.14,-23.04,0xD43F5DB0
155,5 7,2 2,20000,22,19.91,-20.00,0xD43F5DC5
155,5 7,2 2,20000,23,20.21,-18.24,0xD83F5F9F
155,5 0,2 2,20000,0,-0.83,-38.09,0xC13F564E
155,5 0,2 2,20000,1,0.05,-38.67,0xC13F5657
155,5 0,2 2,20000,2,1.09,-39.27,0xC13F5662
155,5 0,2 2,20000,3,2.10,-39.65,0xC13F566E
155,5 0,2 2,20000,4,2.99,-39.76,0xC13F5679
155,5 0,2 2,20000,5,4.01,-39.76,0xC13F568A
155,5 0,2 2,20000,6,5.07,-39.62,0xC13F569A
155,5 0,2 2,20000,7,5.94,-39.42,0xC23F586A
155,5 0,2 2,20000,8,6.96,-39.52,0xC23F5877
155,5 0,2 2,20000,9,7.98,-39.21,0xC23F5885
155,5 0,2 2,20000,10,8.95,-39.21,0xC23F5895
155,5 0,2 2,20000,11,9.98,-39.32,0xC23F58A8
155,5 0,2 2,20000,12,10.95,-38.96,0xC23F58BC
155,5 0,2 2,20000,13,12.10,-37.72,0xD33F5C58
155,5 0,2 2,20000,14,13.09,-38.06,0xD33F5C63
155,5 0,2 2,20000,15,14.05,-38.21,0xD33F5C6F
155,5 0,2 2,20000,16,14.96,-37.38,0xD33F5C7C
155,5 0,2 2,20000,17,15.91,-35.58,0xD33F5C8B
155,5 0,2 2,20000,18,16.35,-34.44,0xD43F5D7C
155,5 0,2 2,20000,19,17.26,-31.04,0xD43F5D8C
155,5 0,2 2,20000,20,18.14,-26.91,0xD43F5D9D
155,5 0,2 2,20000,21,18.95,-22.93,0xD43F5DB0
155,5 0,2 2,20000,22,19.65,-19.68,0xD43F5DC5
155,5 0,2 2,20000,23,20.01,-16.01,0xD83F5FA0
42,5 11,2 2,20000,0,-2.92,-38.10,0xC13F5652
42,5 11,2 2,20000,1,-1.97,-38.48,0xC13F565C
42,5 11,2 2,20000,2,-0.92,-38.78,0xC13F5667
42,5 11,2 2,20000,3,0.12,-39.04,0xC13F5674
42,5 11,2 2,20000,4,1.03,-39.30,0xC13F5680
42,5 11,2 2,20000,5,2.05,-39.32,0xC13F5692
