Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg
42,5 7,2 2,20000,14,r 403422c8  [0x403422C8] = 0xD33F5C63    ,11.63,-38.68
42,5 7,2 2,20000,15,r 403422c8  [0x403422C8] = 0xD33F5C6F    ,12.62,-39.20
42,5 7,2 2,20000,16,r 403422c8  [0x403422C8] = 0xD33F5C7C    ,13.56,-39.15
42,5 7,2 2,20000,17,r 403422c8  [0x403422C8] = 0xD33F5C8B    ,14.52,-37.97
42,5 7,2 2,20000,18,r 403422c8  [0x403422C8] = 0xD43F5D78    ,15.04,-36.44
42,5 7,2 2,20000,19,r 403422c8  [0x403422C8] = 0xD43F5D87    ,16.01,-34.19
42,5 7,2 2,20000,20,r 403422c8  [0x403422C8] = 0xD43F5D97    ,16.90,-30.24
42,5 7,2 2,20000,21,r 403422c8  [0x403422C8] = 0xD43F5DAA    ,17.80,-25.42
42,5 7,2 2,20000,22,r 403422c8  [0x403422C8] = 0xD43F5DBF    ,18.59,-21.43
42,5 7,2 2,20000,23,r 403422c8  [0x403422C8] = 0xD83F5FB4    ,18.85,-18.59
42,5 0,2 2,20000,10,r 403422c8  [0x403422C8] = 0xC23F589E    ,7.39,-41.20
42,5 0,2 2,20000,11,r 403422c8  [0x403422C8] = 0xC23F58B1    ,8.40,-40.71
42,5 0,2 2,20000,12,r 403422c8  [0x403422C8] = 0xC23F58C7    ,9.42,-39.75
42,5 0,2 2,20000,13,r 403422c8  [0x403422C8] = 0xD33F5C58    ,10.54,-37.36
42,5 0,2 2,20000,14,r 403422c8  [0x403422C8] = 0xD33F5C63    ,11.54,-38.02
42,5 0,2 2,20000,15,r 403422c8  [0x403422C8] = 0xD33F5C6F    ,12.51,-38.69
42,5 0,2 2,20000,16,r 403422c8  [0x403422C8] = 0xD33F5C7C    ,13.45,-38.61
42,5 0,2 2,20000,17,r 403422c8  [0x403422C8] = 0xD33F5C8B    ,14.40,-37.65
42,5 0,2 2,20000,18,r 403422c8  [0x403422C8] = 0xD43F5D79    ,14.92,-36.24
42,5 0,2 2,20000,19,r 403422c8  [0x403422C8] = 0xD43F5D87    ,15.88,-34.18
42,5 0,2 2,20000,20,r 403422c8  [0x403422C8] = 0xD43F5D98    ,16.81,-30.05
42,5 0,2 2,20000,21,r 403422c8  [0x403422C8] = 0xD43F5DAA    ,17.64,-25.63
42,5 0,2 2,20000,22,r 403422c8  [0x403422C8] = 0xD43F5DBF    ,18.42,-21.48
42,5 0,2 2,20000,23,r 403422c8  [0x403422C8] = 0xD83F5FB5    ,18.66,-17.12
58,5 11,2 2,20000,10,r 403422c8  [0x403422C8] = 0xC23F58A0    ,7.24,-42.10
58,5 11,2 2,20000,11,r 403422c8  [0x403422C8] = 0xC23F58B3    ,8.31,-41.37
58,5 11,2 2,20000,12,r 403422c8  [0x403422C8] = 0xC23F58C9    ,9.34,-40.39
58,5 11,2 2,20000,13,r 403422c8  [0x403422C8] = 0xD33F5C58    ,10.44,-38.01
58,5 11,2 2,20000,14,r 403422c8  [0x403422C8] = 0xD33F5C63    ,11.52,-38.93
58,5 11,2 2,20000,15,r 403422c8  [0x403422C8] = 0xD33F5C6F    ,12.48,-39.54
58,5 11,2 2,20000,16,r 403422c8  [0x403422C8] = 0xD33F5C7C    ,13.39,-39.85
58,5 11,2 2,20000,17,r 403422c8  [0x403422C8] = 0xD33F5C8B    ,14.35,-39.26
58,5 11,2 2,20000,18,r 403422c8  [0x403422C8] = 0xD43F5D79    ,14.98,-37.68
58,5 11,2 2,20000,19,r 403422c8  [0x403422C8] = 0xD43F5D88    ,15.96,-34.73
58,5 11,2 2,20000,20,r 403422c8  [0x403422C8] = 0xD43F5D99    ,16.93,-31.52
58,5 11,2 2,20000,21,r 403422c8  [0x403422C8] = 0xD43F5DAB    ,17.78,-30.11
58,5 11,2 2,20000,22,r 403422c8  [0x403422C8] = 0xD43F5DC0    ,18.61,-29.71
58,5 11,2 2,20000,23,r 403422c8  [0x403422C8] = 0xD83F5FAB    ,19.03,-28.69
106,5 11,2 2,20000,10,,8.07,-41.24
106,5 11,2 2,20000,11,,9.10,-40.97
106,5 11,2 2,20000,12,,10.12,-40.47
106,5 11,2 2,20000,13,,11.34,-38.87
106,5 11,2 2,20000,14,,12.34,-39.53
106,5 11,2 2,20000,15,,13.32,-39.70
106,5 11,2 2,20000,16,,14.25,-39.31
106,5 11,2 2,20000,17,,15.22,-37.60
106,5 11,2 2,20000,18,,15.80,-36.83
106,5 11,2 2,20000,19,,16.81,-33.54
106,5 11,2 2,20000,20,,17.73,-30.80
106,5 11,2 2,20000,21,,18.58,-29.92
106,5 11,2 2,20000,22,,19.35,-29.61
106,5 11,2 2,20000,23,,19.73,-28.59
122,5 11,2 2,20000,10,,8.53,-41.63
122,5 11,2 2,20000,11,,9.57,-41.28
122,5 11,2 2,20000,12,,10.56,-40.55
122,5 11,2 2,20000,13,,11.80,-38.66
122,5 11,2 2,20000,14,,12.75,-39.27
122,5 11,2 2,20000,15,,13.72,-39.41
122,5 11,2 2,20000,16,,14.66,-39.21
122,5 11,2 2,20000,17,,15.62,-37.11
122,5 11,2 2,20000,18,,16.18,-36.22
122,5 11,2 2,20000,19,,17.11,-33.02
122,5 11,2 2,20000,20,,18.02,-30.54
122,5 11,2 2,20000,21,,18.87,-29.86
122,5 11,2 2,20000,22,,19.62,-29.53
122,5 11,2 2,20000,23,,20.00,-28.33
138,5 11,2 2,20000,10,,8.72,-41.79
138,5 11,2 2,20000,11,,9.81,-41.22
138,5 11,2 2,20000,12,,10.81,-40.49
138,5 11,2 2,20000,13,,12.11,-38.52
138,5 11,2 2,20000,14,,13.09,-39.23
138,5 11,2 2,20000,15,,14.06,-39.15
138,5 11,2 2,20000,16,,14.99,-38.54
138,5 11,2 2,20000,17,,15.96,-36.50
138,5 11,2 2,20000,18,,16.43,-35.34
138,5 11,2 2,20000,19,,17.35,-32.29
138,5 11,2 2,20000,20,,18.24,-30.28
138,5 11,2 2,20000,21,,19.09,-29.80
138,5 11,2 2,20000,22,,19.82,-29.45
138,5 11,2 2,20000,23,,20.16,-28.34
155,5 11,2 2,20000,10,r 403422c8  [0x403422C8] = 0xC23F5895    ,9.12,-41.28
155,5 11,2 2,20000,11,r 403422c8  [0x403422C8] = 0xC23F58A7    ,10.13,-40.66
155,5 11,2 2,20000,12,r 403422c8  [0x403422C8] = 0xC23F58BC    ,11.17,-40.26
155,5 11,2 2,20000,13,r 403422c8  [0x403422C8] = 0xD33F5C58    ,12.36,-38.24
155,5 11,2 2,20000,14,r 403422c8  [0x403422C8] = 0xD33F5C63    ,13.37,-38.79
155,5 11,2 2,20000,15,r 403422c8  [0x403422C8] = 0xD33F5C6F    ,14.34,-39.15
155,5 11,2 2,20000,16,r 403422c8  [0x403422C8] = 0xD33F5C7C    ,15.29,-38.14
155,5 11,2 2,20000,17,r 403422c8  [0x403422C8] = 0xD33F5C8B    ,16.25,-36.13
155,5 11,2 2,20000,18,r 403422c8  [0x403422C8] = 0xD43F5D7C    ,16.68,-34.93
155,5 11,2 2,20000,19,r 403422c8  [0x403422C8] = 0xD43F5D8B    ,17.61,-31.94
155,5 11,2 2,20000,20,r 403422c8  [0x403422C8] = 0xD43F5D9C    ,18.51,-30.13
155,5 11,2 2,20000,21,r 403422c8  [0x403422C8] = 0xD43F5DB0    ,19.31,-29.76
155,5 11,2 2,20000,22,r 403422c8  [0x403422C8] = 0xD43F5DC5    ,20.05,-29.34
155,5 11,2 2,20000,23,r 403422c8  [0x403422C8] = 0xD83F5F9F    ,20.36,-28.20
155,5 7,2 2,20000,10,r 403422c8  [0x403422C8] = 0xC23F5895    ,9.00,-41.44
155,5 7,2 2,20000,11,r 403422c8  [0x403422C8] = 0xC23F58A7    ,10.02,-41.14
155,5 7,2 2,20000,12,r 403422c8  [0x403422C8] = 0xC23F58BC    ,11.03,-40.35
155,5 7,2 2,20000,13,r 403422c8  [0x403422C8] = 0xD33F5C58    ,12.23,-37.97
155,5 7,2 2,20000,14,r 403422c8  [0x403422C8] = 0xD33F5C63    ,13.22,-38.65
155,5 7,2 2,20000,15,r 403422c8  [0x403422C8] = 0xD33F5C6F    ,14.20,-38.72
155,5 7,2 2,20000,16,r 403422c8  [0x403422C8] = 0xD33F5C7C    ,15.14,-37.97
155,5 7,2 2,20000,17,r 403422c8  [0x403422C8] = 0xD33F5C8B    ,16.09,-35.78
155,5 7,2 2,20000,18,r 403422c8  [0x403422C8] = 0xD43F5D7C    ,16.53,-34.84
155,5 7,2 2,20000,19,r 403422c8  [0x403422C8] = 0xD43F5D8C    ,17.47,-31.19
155,5 7,2 2,20000,20,r 403422c8  [0x403422C8] = 0xD43F5D9D    ,18.35,-26.95
155,5 7,2 2,20000,21,r 403422c8  [0x403422C8] = 0xD43F5DB0    ,19.16,-22.77
155,5 7,2 2,20000,22,r 403422c8  [0x403422C8] = 0xD43F5DC5    ,19.88,-19.98
155,5 7,2 2,20000,23,r 403422c8  [0x403422C8] = 0xD83F5F9F    ,20.24,-18.24
155,5 0,2 2,20000,10,r 403422c8  [0x403422C8] = 0xC23F5895    ,8.93,-40.31
155,5 0,2 2,20000,11,r 403422c8  [0x403422C8] = 0xC23F58A7    ,9.99,-40.20
155,5 0,2 2,20000,12,r 403422c8  [0x403422C8] = 0xC23F58BC    ,10.96,-39.90
155,5 0,2 2,20000,13,r 403422c8  [0x403422C8] = 0xD33F5C58    ,12.12,-37.83
155,5 0,2 2,20000,14,r 403422c8  [0x403422C8] = 0xD33F5C63    ,13.11,-38.16
155,5 0,2 2,20000,15,r 403422c8  [0x403422C8] = 0xD33F5C6F    ,14.08,-38.11
155,5 0,2 2,20000,16,r 403422c8  [0x403422C8] = 0xD33F5C7C    ,15.00,-37.30
155,5 0,2 2,20000,17,r 403422c8  [0x403422C8] = 0xD33F5C8B    ,15.95,-35.38
155,5 0,2 2,20000,18,r 403422c8  [0x403422C8] = 0xD43F5D7C    ,16.41,-34.31
155,5 0,2 2,20000,19,r 403422c8  [0x403422C8] = 0xD43F5D8C    ,17.33,-30.93
155,5 0,2 2,20000,20,r 403422c8  [0x403422C8] = 0xD43F5D9D    ,18.20,-26.77
155,5 0,2 2,20000,21,r 403422c8  [0x403422C8] = 0xD43F5DB0    ,19.01,-22.81
155,5 0,2 2,20000,22,r 403422c8  [0x403422C8] = 0xD43F5DC5    ,19.74,-19.45
155,5 0,2 2,20000,23,r 403422c8  [0x403422C8] = 0xD83F5FA0    ,20.03,-16.00
