ant, ch, pwr_dig, pwr_dig_dbm, pwr_cmp180_dbm
0,7,32,-42.14,0.00
0,7,64,-36.12,-3.79
0,7,96,-32.60,-0.42
0,7,128,-30.10,2.00
0,7,160,-28.16,3.89
0,7,192,-26.58,5.43
0,7,224,-25.24,6.74
0,7,256,-24.08,7.86
0,7,288,-23.06,8.87
0,7,320,-22.14,9.80
0,7,352,-21.32,10.69
0,7,384,-20.56,11.44
0,7,416,-19.87,12.11
0,7,448,-19.22,12.79
0,7,480,-18.62,13.37
0,7,512,-18.06,13.94
0,7,544,-17.54,14.47
0,7,576,-17.04,14.95
0,7,608,-16.57,15.38
0,7,640,-16.12,15.81
0,7,672,-15.70,16.22
0,7,704,-15.30,16.58
0,7,736,-14.91,16.96
0,7,768,-14.54,17.32
0,7,800,-14.19,17.66
0,7,832,-13.84,18.02
0,7,864,-13.52,18.42
0,7,896,-13.20,18.72
0,7,928,-12.90,19.01
0,7,960,-12.60,19.28
0,7,992,-12.32,19.49
0,7,1024,-12.04,19.77
0,7,1056,-11.77,20.01
0,7,1088,-11.51,20.27
0,7,1120,-11.26,20.54
0,7,1152,-11.02,20.79
0,7,1184,-10.78,21.02
0,7,1216,-10.55,21.27
0,7,1248,-10.32,21.48
0,7,1280,-10.10,21.57
0,7,1312,-9.89,21.83
0,7,1344,-9.68,22.18
0,7,1376,-9.47,22.42
0,7,1408,-9.28,22.65
0,7,1440,-9.08,22.86
0,7,1472,-8.89,23.07
0,7,1504,-8.70,23.27
0,7,1536,-8.52,23.45
0,7,1568,-8.34,23.53
0,7,1600,-8.16,23.77
0,7,1632,-7.99,23.99
0,7,1664,-7.82,24.20
0,7,1696,-7.66,24.38
0,7,1728,-7.50,24.55
0,7,1760,-7.34,24.72
0,7,1792,-7.18,24.87
0,7,1824,-7.03,24.85
0,7,1856,-6.88,25.01
0,7,1888,-6.73,25.21
0,7,1920,-6.58,25.39
0,7,1952,-6.44,25.55
0,7,1984,-6.30,25.69
0,7,2016,-6.16,25.81
0,7,2048,-6.02,25.91
0,7,2080,-5.89,26.01
0,7,2112,-5.75,26.26
0,7,2144,-5.62,26.48
0,7,2176,-5.49,26.30
0,7,2208,-5.37,26.34
0,7,2240,-5.24,26.35
0,7,2272,-5.12,26.35
0,7,2304,-5.00,26.35
0,7,2336,-4.88,26.34
0,7,2368,-4.76,26.58
0,7,2400,-4.64,26.32
0,7,2432,-4.53,26.32
0,7,2464,-4.41,26.37
0,7,2496,-4.30,26.38
0,7,2528,-4.19,26.37
0,7,2560,-4.08,26.34
0,7,2592,-3.97,26.37
0,7,2624,-3.87,26.37
0,7,2656,-3.76,26.36
0,7,2688,-3.66,26.37
0,7,2720,-3.56,26.36
0,7,2752,-3.45,26.36
0,7,2784,-3.35,26.37
0,7,2816,-3.25,26.37
0,7,2848,-3.16,26.37
0,7,2880,-3.06,26.36
0,7,2912,-2.96,26.45
0,7,2944,-2.87,26.37
0,7,2976,-2.77,26.36
0,7,3008,-2.68,26.36
0,7,3040,-2.59,26.36
0,7,3072,-2.50,26.37
0,7,3104,-2.41,26.36
0,7,3136,-2.32,26.36
0,7,3168,-2.23,26.36
0,7,3200,-2.14,26.36
0,7,3232,-2.06,26.36
0,7,3264,-1.97,26.61
0,7,3296,-1.89,26.37
0,7,3328,-1.80,26.37
0,7,3360,-1.72,26.37
0,7,3392,-1.64,26.36
0,7,3424,-1.56,26.37
0,7,3456,-1.48,26.37
0,7,3488,-1.40,26.37
0,7,3520,-1.32,26.37
0,7,3552,-1.24,26.36
0,7,3584,-1.16,26.33
0,7,3616,-1.08,26.36
0,7,3648,-1.01,26.36
0,7,3680,-0.93,26.36
0,7,3712,-0.86,26.55
0,7,3744,-0.78,26.36
0,7,3776,-0.71,26.36
0,7,3808,-0.63,26.36
0,7,3840,-0.56,26.35
0,7,3872,-0.49,26.36
0,7,3904,-0.42,26.36
0,7,3936,-0.35,26.35
0,7,3968,-0.28,26.47
0,7,4000,-0.21,26.35
0,7,4032,-0.14,26.35
0,7,4064,-0.07,26.35
