ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal
58,3008,69.57,20.76,22.49,119.02,177.52,183.52,22.64
58,3072,69.75,20.94,22.69,124.15,185.59,191.45,22.82
58,3136,69.93,21.07,22.84,127.87,192.50,197.22,22.95
58,3200,70.10,21.21,23.00,132.12,199.62,203.78,23.09
58,3264,70.28,21.37,23.15,137.21,206.71,211.66,23.26
58,3328,70.44,21.51,23.30,141.53,213.81,218.34,23.39
58,3392,70.61,21.63,23.42,145.40,220.03,224.34,23.51
58,3456,70.77,21.70,23.52,147.76,224.66,227.99,23.58
58,3520,70.93,21.82,23.66,152.19,232.10,234.84,23.71
58,3584,71.09,21.94,23.80,156.44,239.64,241.41,23.83
58,3648,71.24,22.09,23.92,161.71,246.88,249.57,23.97
58,3712,71.39,22.19,24.06,165.52,254.62,255.45,24.07
58,3776,71.54,22.29,24.17,169.61,261.26,261.79,24.18
58,3840,71.69,22.42,24.30,174.56,269.41,269.44,24.30
58,3904,71.83,22.52,24.42,178.80,277.01,276.00,24.41
58,3968,71.97,22.62,24.54,182.93,284.31,282.40,24.51
58,4032,72.11,22.72,24.64,186.96,291.31,288.62,24.60
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal
106,640,56.12,9.27,10.75,8.45,11.88,12.47,10.96
106,704,56.95,9.92,11.53,9.82,14.21,14.59,11.64
106,768,57.71,10.72,12.38,11.81,17.30,17.67,12.47
106,832,58.40,11.27,13.05,13.40,20.20,20.12,13.04
106,896,59.05,11.86,13.64,15.35,23.11,23.15,13.65
106,960,59.65,12.49,14.16,17.75,26.06,26.86,14.29
106,1024,60.21,12.96,14.70,19.78,29.52,30.00,14.77
106,1088,60.73,13.47,15.17,22.25,32.87,33.83,15.29
106,1152,61.23,13.96,15.64,24.87,36.62,37.88,15.78
106,1216,61.70,14.42,16.14,27.68,41.16,42.22,16.25
106,1280,62.14,14.85,16.57,30.52,45.43,46.61,16.69
106,1344,62.57,15.31,16.98,33.95,49.86,51.92,17.15
106,1408,62.97,15.69,17.39,37.05,54.79,56.72,17.54
106,1472,63.36,16.06,17.76,40.37,59.68,61.86,17.91
106,1536,63.73,16.42,18.11,43.88,64.66,67.28,18.28
106,1600,64.08,16.76,18.47,47.46,70.36,72.82,18.62
106,1664,64.42,17.08,18.79,51.00,75.77,78.30,18.94
106,1728,64.75,17.43,19.13,55.32,81.89,84.98,19.29
106,1792,65.07,17.73,19.44,59.27,87.90,91.09,19.59
106,1856,65.37,18.01,19.74,63.25,94.11,97.25,19.88
106,1920,65.67,18.28,20.01,67.24,100.17,103.42,20.15
106,1984,65.95,18.50,20.31,70.86,107.30,109.01,20.37
106,2048,66.23,18.78,20.55,75.43,113.54,116.09,20.65
106,2112,66.49,19.02,20.80,79.71,120.24,122.72,20.89
106,2176,66.75,19.25,21.03,84.14,126.89,129.57,21.12
106,2240,67.00,19.45,21.27,88.20,133.82,135.85,21.33
106,2304,67.25,19.67,21.49,92.78,140.79,142.93,21.55
106,2368,67.49,19.84,21.69,96.32,147.68,148.41,21.71
106,2432,67.72,20.07,21.90,101.63,154.99,156.63,21.95
106,2496,67.94,20.36,22.03,108.68,159.50,167.53,22.24
106,2560,68.16,20.52,22.22,112.59,166.62,173.58,22.40
106,2624,68.38,20.74,22.41,118.46,174.18,182.66,22.62
106,2688,68.59,20.87,22.57,122.08,180.61,188.26,22.75
106,2752,68.79,21.02,22.75,126.51,188.21,195.11,22.90
106,2816,68.99,21.17,22.92,131.01,195.98,202.07,23.06
106,2880,69.19,21.35,23.13,136.47,205.57,210.52,23.23
106,2944,69.38,21.51,23.30,141.68,213.66,218.57,23.40
106,3008,69.57,21.63,23.43,145.59,220.46,224.62,23.51
106,3072,69.75,21.80,23.61,151.34,229.57,233.53,23.68
106,3136,69.93,21.95,23.77,156.73,238.44,241.86,23.84
106,3200,70.10,22.08,23.92,161.35,246.61,249.00,23.96
106,3264,70.28,22.23,24.06,167.29,254.85,258.19,24.12
106,3328,70.44,22.32,24.20,170.76,262.92,263.56,24.21
106,3392,70.61,22.40,24.25,173.71,266.23,268.13,24.28
106,3456,70.77,22.57,24.42,180.61,276.55,278.80,24.45
106,3520,70.93,22.66,24.56,184.52,286.03,284.85,24.55
106,3584,71.09,22.80,24.71,190.35,295.57,293.87,24.68
106,3648,71.24,22.92,24.83,195.74,303.77,302.21,24.80
106,3712,71.39,23.03,24.95,200.87,312.48,310.15,24.92
106,3776,71.54,23.17,25.12,207.48,324.77,320.36,25.06
106,3840,71.69,23.25,25.20,211.13,331.29,326.02,25.13
106,3904,71.83,23.31,25.28,214.38,337.36,331.04,25.20
106,3968,71.97,23.38,25.35,217.55,342.73,335.95,25.26
106,4032,72.11,23.44,25.41,221.02,347.14,341.32,25.33
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal
122,640,56.12,9.17,10.92,8.27,12.36,12.19,10.86
122,704,56.95,9.94,11.72,9.85,14.86,14.64,11.66
122,768,57.71,10.78,12.52,11.96,17.88,17.90,12.53
122,832,58.40,11.42,13.19,13.88,20.85,20.87,13.19
122,896,59.05,12.12,13.83,16.27,24.17,24.58,13.91
122,960,59.65,12.65,14.36,18.42,27.28,27.89,14.45
122,1024,60.21,13.28,14.90,21.29,30.93,32.34,15.10
122,1088,60.73,13.74,15.41,23.66,34.76,36.00,15.56
122,1152,61.23,14.16,15.90,26.09,38.87,39.76,15.99
122,1216,61.70,14.65,16.36,29.19,43.30,44.56,16.49
122,1280,62.14,15.06,16.78,32.07,47.61,49.01,16.90
122,1344,62.57,15.46,17.19,35.17,52.31,53.81,17.31
122,1408,62.97,15.89,17.58,38.79,57.33,59.40,17.74
122,1472,63.36,16.26,17.97,42.26,62.69,64.77,18.11
122,1536,63.73,16.63,18.33,46.02,68.03,70.59,18.49
122,1600,64.08,16.92,18.71,49.16,74.25,75.44,18.78
122,1664,64.42,17.35,19.04,54.32,80.09,83.44,19.21
122,1728,64.75,17.64,19.35,58.01,86.20,89.15,19.50
122,1792,65.07,17.92,19.65,61.89,92.30,95.14,19.78
122,1856,65.37,18.21,19.96,66.17,99.17,101.76,20.08
122,1920,65.67,18.47,20.24,70.34,105.74,108.22,20.34
122,1984,65.95,18.69,20.48,73.96,111.76,113.81,20.56
122,2048,66.23,18.96,20.72,78.79,118.13,121.29,20.84
122,2112,66.49,19.26,21.04,84.36,127.05,129.91,21.14
122,2176,66.75,19.46,21.28,88.27,134.23,135.96,21.33
122,2240,67.00,19.69,21.51,93.15,141.62,143.50,21.57
122,2304,67.25,19.92,21.74,98.13,149.19,151.20,21.80
122,2368,67.49,20.12,21.96,102.70,157.13,158.28,21.99
122,2432,67.72,20.30,22.17,107.17,164.84,165.19,22.18
122,2496,67.94,20.46,22.36,111.19,172.15,171.41,22.34
122,2560,68.16,20.69,22.56,117.32,180.41,180.89,22.57
122,2624,68.38,20.84,22.74,121.30,187.78,187.06,22.72
122,2688,68.59,20.98,22.88,125.18,193.89,193.05,22.86
122,2752,68.79,21.11,23.06,129.16,202.40,199.22,22.99
122,2816,68.99,21.33,23.25,135.77,211.16,209.44,23.21
122,2880,69.19,21.48,23.42,140.49,219.84,216.74,23.36
122,2944,69.38,21.63,23.59,145.59,228.36,224.62,23.51
122,3008,69.57,21.73,23.70,149.02,234.41,229.93,23.62
122,3072,69.75,21.89,23.87,154.55,244.03,238.50,23.77
122,3136,69.93,22.06,24.06,160.61,254.49,247.86,23.94
122,3200,70.10,22.19,24.21,165.70,263.41,255.74,24.08
122,3264,70.28,22.34,24.35,171.35,272.25,264.47,24.22
122,3328,70.44,22.44,24.48,175.52,280.41,270.92,24.33
122,3392,70.61,22.43,24.48,175.07,280.40,270.24,24.32
