ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal,,,
58,2112,66.49,17.86,19.57,61.08,90.58,55.7,17.46,,,1.71
58,2176,66.75,18.1,19.82,64.58,95.93,59.14,17.72,,,1.72
58,2240,67,18.35,20.06,68.38,101.34,62.9,17.99,,,1.71
58,2304,67.25,18.57,20.29,72,106.84,66.5,18.23,,,1.72
58,2368,67.49,18.78,20.53,75.54,113.11,70.06,18.45,,,1.75
58,2432,67.72,19,20.75,79.34,118.81,73.91,18.69,,,1.75
58,2496,67.94,19.4,21.03,87.09,126.86,81.85,19.13,,,1.63
58,2560,68.16,19.56,21.22,90.3,132.53,85.18,19.3,,,1.66
58,2624,68.38,19.75,21.42,94.47,138.61,89.53,19.52,,,1.67
58,2688,68.59,19.87,21.56,97.02,143.18,92.21,19.65,,,1.69
58,2752,68.79,20.03,21.74,100.79,149.37,96.19,19.83,,,1.71
58,2816,68.99,20.19,21.92,104.44,155.45,100.09,20,,,1.73
58,2880,69.19,20.38,22.12,109.2,162.75,105.21,20.22,,,1.74
58,2944,69.38,20.51,22.28,112.34,168.93,108.61,20.36,,,1.77
58,3008,69.57,20.71,22.45,117.72,175.67,114.49,20.59,,,1.74
58,3072,69.75,20.86,22.62,121.86,182.96,119.05,20.76,,,1.76
58,3136,69.93,21,22.79,125.84,189.95,123.48,20.92,,,1.79
58,3200,70.1,21.18,22.94,131.08,196.8,129.36,21.12,,,1.76
58,3264,70.28,21.31,23.1,135.18,203.95,134,21.27,,,1.79
58,3328,70.44,21.47,23.24,140.42,210.81,139.98,21.46,,,1.77
58,3392,70.61,21.57,23.37,143.45,217.13,143.46,21.57,,,1.8
58,3456,70.77,21.66,23.47,146.69,222.39,147.22,21.68,,,1.81
58,3520,70.93,21.81,23.62,151.64,229.9,152.98,21.85,,,1.81
58,3584,71.09,21.92,23.75,155.77,237.22,157.84,21.98,,,1.83
58,3648,71.24,22.02,23.88,159.06,244.07,161.73,22.09,,,1.86
58,3712,71.39,22.14,24.01,163.63,251.63,167.18,22.23,,,1.87
58,3776,71.54,22.21,24.1,166.22,256.77,170.28,22.31,,,1.89
58,3840,71.69,22.35,24.23,171.75,264.59,176.97,22.48,,,1.88
58,3904,71.83,22.46,24.35,176.07,272.33,182.23,22.61,,,1.89
58,3968,71.97,22.54,24.46,179.5,279.36,186.44,22.71,,,1.92
58,4032,72.11,22.67,24.57,184.93,286.16,193.15,22.86,,,1.9
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal,,,
106,640,56.12,8.87,10.71,7.71,11.78,6.59,8.19,,,1.84
106,704,56.95,9.74,11.46,9.41,14.01,8.06,9.06,,,1.72
106,768,57.71,10.44,12.34,11.07,17.13,9.5,9.78,,,1.9
106,832,58.4,11.04,13.01,12.7,20.02,10.92,10.38,,,1.97
106,896,59.05,11.7,13.61,14.8,22.95,12.76,11.06,,,1.91
106,960,59.65,12.42,14.14,17.46,25.93,15.1,11.79,,,1.72
106,1024,60.21,12.87,14.67,19.37,29.29,16.8,12.25,,,1.8
106,1088,60.73,13.49,15.14,22.33,32.64,19.44,12.89,,,1.65
106,1152,61.23,13.97,15.61,24.95,36.38,21.79,13.38,,,1.64
106,1216,61.7,14.36,16.11,27.31,40.81,23.92,13.79,,,1.75
106,1280,62.14,14.78,16.49,30.04,44.6,26.4,14.22,,,1.71
106,1344,62.57,15.17,16.92,32.92,49.18,29.03,14.63,,,1.75
106,1408,62.97,15.52,17.32,35.65,53.89,31.54,14.99,,,1.8
106,1472,63.36,15.91,17.69,38.97,58.76,34.62,15.39,,,1.78
106,1536,63.73,16.3,18.05,42.66,63.77,38.06,15.81,,,1.75
106,1600,64.08,16.76,18.46,47.42,70.13,42.55,16.29,,,1.7
106,1664,64.42,17.06,18.8,50.82,75.84,45.78,16.61,,,1.74
106,1728,64.75,17.41,19.12,55.02,81.71,49.82,16.97,,,1.71
106,1792,65.07,17.69,19.43,58.71,87.75,53.4,17.28,,,1.74
106,1856,65.37,17.98,19.71,62.81,93.59,57.4,17.59,,,1.73
106,1920,65.67,18.29,19.99,67.39,99.86,61.91,17.92,,,1.7
106,1984,65.95,18.46,20.26,70.19,106.25,64.7,18.11,,,1.8
106,2048,66.23,18.7,20.52,74.1,112.68,68.61,18.36,,,1.82
106,2112,66.49,18.94,20.76,78.35,119.21,72.9,18.63,,,1.82
106,2176,66.75,19.19,21,83.03,125.81,77.67,18.9,,,1.81
106,2240,67,19.4,21.23,87.17,132.66,81.93,19.13,,,1.83
106,2304,67.25,19.64,21.47,92.04,140.17,86.98,19.39,,,1.83
106,2368,67.49,19.82,21.68,95.91,147.26,91.04,19.59,,,1.86
106,2432,67.72,20.02,21.89,100.38,154.37,95.76,19.81,,,1.87
106,2496,67.94,20.32,22,107.69,158.38,103.58,20.15,,,1.68
106,2560,68.16,20.47,22.19,111.38,165.53,107.56,20.32,,,1.72
106,2624,68.38,20.68,22.37,117.02,172.65,113.72,20.56,,,1.69
106,2688,68.59,20.81,22.51,120.38,178.23,117.42,20.7,,,1.7
106,2752,68.79,20.98,22.7,125.44,186.37,123.03,20.9,,,1.72
106,2816,68.99,21.14,22.88,130.09,193.93,128.24,21.08,,,1.74
