ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal
42,640,56.12,12.28,14.61,16.90,28.88,25.55,14.07
42,704,56.95,12.99,15.36,19.89,34.34,30.17,14.80
42,768,57.71,13.89,16.13,24.50,40.99,37.31,15.72
42,832,58.40,14.62,16.85,28.97,48.37,44.22,16.46
42,896,59.05,15.24,17.53,33.40,56.66,51.07,17.08
42,960,59.65,15.93,18.21,39.19,66.26,60.03,17.78
42,1024,60.21,16.43,18.79,43.99,75.63,67.45,18.29
42,1088,60.73,16.95,19.33,49.60,85.77,76.13,18.82
42,1152,61.23,17.49,19.83,56.09,96.11,86.18,19.35
42,1216,61.70,17.91,20.27,61.85,106.44,95.08,19.78
42,1280,62.14,18.30,20.67,67.68,116.63,104.10,20.17
42,1344,62.57,18.68,20.99,73.81,125.55,113.58,20.55
42,1408,62.97,18.97,21.31,78.94,135.22,121.52,20.85
42,1472,63.36,19.30,21.64,85.03,145.77,130.94,21.17
42,1536,63.73,19.56,21.95,90.45,156.50,139.33,21.44
42,1600,64.08,19.90,22.26,97.83,168.13,150.75,21.78
42,1664,64.42,20.13,22.52,103.00,178.49,158.74,22.01
42,1728,64.75,20.39,22.76,109.35,188.94,168.56,22.27
42,1792,65.07,20.57,22.99,114.14,199.07,175.98,22.45
42,1856,65.37,20.77,23.18,119.35,207.84,184.03,22.65
42,1920,65.67,20.91,23.35,123.22,216.47,190.03,22.79
42,1984,65.95,21.04,23.49,127.17,223.44,196.13,22.93
42,2048,66.23,21.18,23.64,131.12,231.15,202.24,23.06
42,2112,66.49,21.28,23.77,134.15,238.20,206.92,23.16
42,2176,66.75,21.39,23.89,137.65,245.14,212.35,23.27
42,2240,67.00,21.49,24.01,140.83,251.83,217.26,23.37
42,2304,67.25,21.59,24.11,144.26,257.53,222.57,23.47
42,2368,67.49,21.65,24.20,146.21,262.88,225.59,23.53
42,2432,67.72,21.74,24.28,149.39,268.04,230.50,23.63
42,2496,67.94,21.80,24.35,151.27,272.49,233.42,23.68
42,2560,68.16,21.86,24.42,153.48,276.69,236.84,23.74
42,2624,68.38,21.93,24.49,155.81,281.23,240.44,23.81
42,2688,68.59,21.99,24.55,157.99,284.81,243.81,23.87
42,2752,68.79,22.02,24.60,159.17,288.15,245.63,23.90
42,2816,68.99,22.05,24.63,160.39,290.68,247.52,23.94
42,2880,69.19,22.10,24.68,162.05,293.58,250.09,23.98
42,2944,69.38,22.13,24.72,163.41,296.40,252.20,24.02
42,3008,69.57,22.17,24.76,164.96,299.09,254.60,24.06
42,3072,69.75,22.20,24.79,166.07,301.64,256.31,24.09
42,3136,69.93,22.23,24.82,167.21,303.74,258.08,24.12
42,3200,70.10,22.27,24.86,168.54,306.03,260.13,24.15
42,3264,70.28,22.29,24.89,169.32,308.07,261.33,24.17
42,3328,70.44,22.30,24.91,169.83,309.81,262.13,24.19
42,3392,70.61,22.29,24.91,169.28,309.44,261.28,24.17
42,3456,70.77,22.30,24.90,169.80,309.35,262.07,24.18
42,3520,70.93,22.28,24.91,169.09,309.58,260.99,24.17
42,3584,71.09,22.30,24.90,169.76,309.32,262.02,24.18
42,3648,71.24,22.29,24.90,169.50,309.05,261.62,24.18
42,3712,71.39,22.27,24.90,168.58,309.35,260.19,24.15
