Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg
7,5 11,1 1,40000,10,r 403422c8  [0x403422C8] = 0xCB3F4761    ,9.19,-42.00
7,5 11,1 1,40000,11,r 403422c8  [0x403422C8] = 0xCB3F476D    ,10.20,-42.50
Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg
7,5 11,1 1,40000,10,r 403422c8  [0x403422C8] = 0xCB3F4761    ,9.22,-42.48
7,5 11,1 1,40000,11,r 403422c8  [0x403422C8] = 0xCB3F476D    ,10.23,-42.60
7,5 11,1 1,40000,12,r 403422c8  [0x403422C8] = 0xCC3F4961    ,11.16,-41.77
7,5 11,1 1,40000,13,r 403422c8  [0x403422C8] = 0xCC3F496D    ,12.17,-42.03
7,5 11,1 1,40000,14,r 403422c8  [0x403422C8] = 0xCC3F497A    ,13.09,-42.12
7,5 11,1 1,40000,15,r 403422c8  [0x403422C8] = 0xCC3F4989    ,14.08,-41.64
7,5 11,1 1,40000,16,r 403422c8  [0x403422C8] = 0xD53F4B69    ,14.73,-40.42
7,5 11,1 1,40000,17,r 403422c8  [0x403422C8] = 0xD53F4B76    ,15.70,-40.38
7,5 11,1 1,40000,18,r 403422c8  [0x403422C8] = 0xD53F4B85    ,16.71,-39.85
7,5 11,1 1,40000,19,r 403422c8  [0x403422C8] = 0xD53F4B95    ,17.65,-38.13
7,5 11,1 1,40000,20,r 403422c8  [0x403422C8] = 0xDE3F4D6B    ,18.64,-34.80
7,5 11,1 1,40000,21,r 403422c8  [0x403422C8] = 0xDE3F4D78    ,19.56,-32.54
7,5 11,1 1,40000,22,r 403422c8  [0x403422C8] = 0xDE3F4D87    ,20.47,-30.62
7,5 11,1 1,40000,23,r 403422c8  [0x403422C8] = 0xDE3F4D97    ,21.31,-29.76
7,5 11,1 1,40000,24,r 403422c8  [0x403422C8] = 0xDF3F4F81    ,21.92,-28.18
7,5 11,1 1,40000,25,r 403422c8  [0x403422C8] = 0xDF3F4F91    ,22.66,-28.09
