Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg
7,5 11,1 1,40000,10,r 403422c8  [0x403422C8] = 0xCB3F475F    ,10.85,-43.20
7,5 11,1 1,40000,11,r 403422c8  [0x403422C8] = 0xCB3F476B    ,11.77,-43.31
7,5 11,1 1,40000,12,r 403422c8  [0x403422C8] = 0xCC3F4961    ,12.77,-41.63
7,5 11,1 1,40000,13,r 403422c8  [0x403422C8] = 0xCC3F496D    ,13.80,-42.00
7,5 11,1 1,40000,14,r 403422c8  [0x403422C8] = 0xCC3F497A    ,14.77,-41.67
7,5 11,1 1,40000,15,r 403422c8  [0x403422C8] = 0xCC3F4989    ,15.77,-40.73
7,5 11,1 1,40000,16,r 403422c8  [0x403422C8] = 0xD53F4B71    ,16.44,-41.15
7,5 11,1 1,40000,17,r 403422c8  [0x403422C8] = 0xD53F4B7F    ,17.41,-39.76
7,5 11,1 1,40000,18,r 403422c8  [0x403422C8] = 0xD53F4B8E    ,18.34,-36.90
7,5 11,1 1,40000,19,r 403422c8  [0x403422C8] = 0xD53F4BA0    ,19.32,-33.34
7,5 11,1 1,40000,20,r 403422c8  [0x403422C8] = 0xDE3F4D80    ,20.26,-30.85
7,5 11,1 1,40000,21,r 403422c8  [0x403422C8] = 0xDE3F4D90    ,21.12,-29.86
7,5 11,1 1,40000,22,r 403422c8  [0x403422C8] = 0xDE3F4DA2    ,21.94,-29.33
7,5 11,1 1,40000,23,r 403422c8  [0x403422C8] = 0xDE3F4DB5    ,22.66,-28.62
7,5 11,1 1,40000,24,r 403422c8  [0x403422C8] = 0xDF3F4F99    ,22.67,-27.97
7,5 11,1 1,40000,25,r 403422c8  [0x403422C8] = 0xDF3F4FAB    ,23.25,-27.32
