Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg
7,5 11,1 1,40000,10,r 403422c8  [0x403422C8] = 0xCB3F475F    ,11.58,-42.36
7,5 11,1 1,40000,11,r 403422c8  [0x403422C8] = 0xCB3F476B    ,12.59,-42.56
7,5 11,1 1,40000,12,r 403422c8  [0x403422C8] = 0xCC3F4961    ,13.53,-40.10
7,5 11,1 1,40000,13,r 403422c8  [0x403422C8] = 0xCC3F496D    ,14.51,-40.57
7,5 11,1 1,40000,14,r 403422c8  [0x403422C8] = 0xCC3F497A    ,15.47,-40.39
7,5 11,1 1,40000,15,r 403422c8  [0x403422C8] = 0xCC3F4989    ,16.46,-39.43
7,5 11,1 1,40000,16,r 403422c8  [0x403422C8] = 0xD53F4B70    ,17.07,-39.02
7,5 11,1 1,40000,17,r 403422c8  [0x403422C8] = 0xD53F4B7D    ,17.97,-37.60
7,5 11,1 1,40000,18,r 403422c8  [0x403422C8] = 0xD53F4B8C    ,18.91,-34.81
7,5 11,1 1,40000,19,r 403422c8  [0x403422C8] = 0xD53F4B9E    ,19.88,-31.70
7,5 11,1 1,40000,20,r 403422c8  [0x403422C8] = 0xDE3F4D80    ,20.70,-30.10
7,5 11,1 1,40000,21,r 403422c8  [0x403422C8] = 0xDE3F4D90    ,21.59,-29.51
7,5 11,1 1,40000,22,r 403422c8  [0x403422C8] = 0xDE3F4DA2    ,22.38,-28.93
7,5 11,1 1,40000,23,r 403422c8  [0x403422C8] = 0xDE3F4DB5    ,23.04,-28.22
7,5 11,1 1,40000,24,r 403422c8  [0x403422C8] = 0xDF3F4F9C    ,23.16,-27.19
7,5 11,1 1,40000,25,r 403422c8  [0x403422C8] = 0xDF3F4FAF    ,23.69,-26.41
