BoardNo, ANT, BinVersion, Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg,,,
#OK1,ANT1,lmacfw.bin,42,5 11,1 1,40000,6,r 403422c8  [0x403422C8] = 0xC0FFD180    ,-25.82,-41.96,NA,NA,NA
#OK1,ANT1,lmacfw.bin,42,5 11,1 1,40000,7,r 403422c8  [0x403422C8] = 0xC0FFD272    ,-24.91,-41.77,NA,NA,NA
#OK1,ANT1,lmacfw.bin,42,5 11,1 1,40000,8,r 403422c8  [0x403422C8] = 0xC0FFD280    ,-23.91,-41.67,NA,NA,NA
#OK1,ANT1,lmacfw.bin,42,5 11,1 1,40000,9,r 403422c8  [0x403422C8] = 0xC0FFD372    ,-22.83,-41.32,NA,NA,NA
#OK1,ANT1,lmacfw.bin,42,5 11,1 1,40000,10,r 403422c8  [0x403422C8] = 0xC0FFD380    ,-21.85,-41.22,NA,NA,NA
#OK1,ANT1,lmacfw.bin,42,5 11,1 1,40000,11,r 403422c8  [0x403422C8] = 0xC0FFD472    ,-20.69,-41.09,NA,NA,NA
#OK1,ANT1,lmacfw.bin,42,5 11,1 1,40000,12,r 403422c8  [0x403422C8] = 0xC0FFD480    ,-19.7,-40.64,NA,NA,NA
#OK1,ANT1,lmacfw.bin,42,5 11,1 1,40000,13,r 403422c8  [0x403422C8] = 0xC0FFD572    ,-18.9,-40.45,NA,NA,NA
#OK1,ANT1,lmacfw.bin,42,5 11,1 1,40000,14,r 403422c8  [0x403422C8] = 0xC0FFD580    ,-17.88,-39.95,NA,NA,NA
#OK1,ANT1,lmacfw.bin,42,5 11,1 1,40000,15,r 403422c8  [0x403422C8] = 0xC0FFD672    ,-16.85,-39.31,NA,NA,NA
#OK1,ANT1,lmacfw.bin,42,5 11,1 1,40000,16,r 403422c8  [0x403422C8] = 0xC0FFD680    ,-15.86,-38.41,NA,NA,NA
#OK1,ANT1,lmacfw.bin,42,5 11,1 1,40000,17,r 403422c8  [0x403422C8] = 0xC0FFD772    ,-14.93,-41.14,NA,NA,NA
#OK1,ANT1,lmacfw.bin,42,5 11,1 1,40000,18,r 403422c8  [0x403422C8] = 0xC0FFD780    ,-13.95,-40.82,NA,NA,NA
#OK1,ANT1,lmacfw.bin,42,5 11,1 1,40000,19,r 403422c8  [0x403422C8] = 0xC8FFD872    ,-12.98,-40.74,NA,NA,NA
#OK1,ANT1,lmacfw.bin,42,5 11,1 1,40000,20,r 403422c8  [0x403422C8] = 0xC8FFD880    ,-11.99,-40.17,NA,NA,NA
#OK1,ANT1,lmacfw.bin,42,5 11,1 1,40000,21,r 403422c8  [0x403422C8] = 0xD0FFD972    ,-10.92,-38.94,NA,NA,NA
#OK1,ANT1,lmacfw.bin,42,5 11,1 1,40000,22,r 403422c8  [0x403422C8] = 0xD0FFD980    ,-9.94,-38.03,NA,NA,NA
#OK1,ANT1,lmacfw.bin,42,5 11,1 1,40000,23,r 403422c8  [0x403422C8] = 0xD0FFDA72    ,-8.98,-37.35,NA,NA,NA
#OK1,ANT1,lmacfw.bin,42,5 11,1 1,40000,24,r 403422c8  [0x403422C8] = 0xD0FFDA80    ,-8.01,-36.16,NA,NA,NA
#OK1,ANT1,lmacfw.bin,42,5 11,1 1,40000,25,r 403422c8  [0x403422C8] = 0xD0FFDB72    ,-6.49,-38.16,NA,NA,NA
#OK1,ANT1,lmacfw.bin,42,5 11,1 1,40000,26,r 403422c8  [0x403422C8] = 0xD0FFDB80    ,-5.52,-37.07,NA,NA,NA
#OK1,ANT1,lmacfw.bin,42,5 11,1 1,40000,27,r 403422c8  [0x403422C8] = 0xD8FFDC72    ,-2.76,-41.78,NA,NA,NA
#OK1,ANT1,lmacfw.bin,42,5 11,1 1,40000,28,r 403422c8  [0x403422C8] = 0xD8FFDC80    ,-1.65,-41.56,NA,NA,NA
#OK1,ANT1,lmacfw.bin,42,5 11,1 1,40000,29,r 403422c8  [0x403422C8] = 0xD8FFDD72    ,5.53,-39.45,NA,NA,NA
#OK1,ANT1,lmacfw.bin,42,5 11,1 1,40000,30,r 403422c8  [0x403422C8] = 0xD8FFDD80    ,6.53,-38.75,NA,NA,NA
#OK1,ANT1,lmacfw.bin,42,5 11,1 1,40000,31,r 403422c8  [0x403422C8] = 0xD8FFDD90    ,7.55,-37.82,NA,NA,NA
