test_time, BoardNo, ANT, Temp, am, phase, BinVersion,freq, Channel, Rate, BandWidth, SetPwr, CMD, MsPwrAvg, MsEvmAvg, Band1, (0.03 to fch-40), Band2, (fch-40 to fch+40), Band3, (fch+40 to 2fch-80), Band4, (2fch-80 to 2fch+80),Band5, (2fch+80 to 3fch-120), Band6, (3fch-120 to 3fch+120),Band, 7(3fch+120 to 26)
0813_205722,#OK1,ANT,40,0.9,-180,testmode_8819h_0805.bin,2442,7,0 3,1 1,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,14.04,103.36,-35.97,2380.38,12.11,2453.12,-27.39,2482.0,-38.71,4960.0,-37.97,5995.32,-38.03,7291.2,-24.75,25480.49
0813_205750,#OK1,ANT,40,0.9,-165,testmode_8819h_0805.bin,2442,7,0 3,1 1,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,14.14,103.73,-35.84,2392.39,12.01,2452.16,-29.92,2482.0,-39.21,4956.16,-38.1,6916.78,-38.1,7411.2,-24.76,25276.39
0813_205819,#OK1,ANT,40,0.9,-150,testmode_8819h_0805.bin,2442,7,0 3,1 1,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,14.36,100.21,-36.37,2382.78,11.98,2452.32,-27.92,2482.0,-39.56,4962.08,-38.0,6019.98,-38.23,7307.28,-25.67,25758.8
0813_205847,#OK1,ANT,40,0.9,-135,testmode_8819h_0805.bin,2442,7,0 3,1 1,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,14.66,100.17,-36.39,2382.78,12.6,2450.72,-32.18,2482.0,-39.25,4843.2,-37.51,5629.87,-37.99,7268.16,-24.62,25758.8
0813_205915,#OK1,ANT,40,0.9,-120,testmode_8819h_0805.bin,2442,7,0 3,1 1,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,14.9,100.18,-34.29,2402.0,13.01,2453.6,-30.07,2482.0,-35.18,4904.0,-38.49,6954.9,-38.44,7413.84,-25.91,25888.68
