test_time, BoardNo, ANT, Temp, am, phase, BinVersion,freq, Channel, Rate, BandWidth, SetPwr, CMD, MsPwrAvg, MsEvmAvg, Band1, (0.03 to fch-40), Band2, (fch-40 to fch+40), Band3, (fch+40 to 2fch-80), Band4, (2fch-80 to 2fch+80),Band5, (2fch+80 to 3fch-120), Band6, (3fch-120 to 3fch+120),Band, 7(3fch+120 to 26)
0815_110104,#OK1,ANT,40,0.0,0,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x003F5F79    ,26.39,16.1,-21.84,2382.78,24.68,2443.28,-22.86,2500.58,-31.88,4884.0,-38.09,6627.56,-33.23,7327.92,-25.17,25666.03
0815_110339,#OK1,ANT,40,0.0,0,testmode_8819h_0805.bin,2412,1,5 0,1 1,28,r 403422c8  [0x403422C8] = 0x00FFD179    ,24.14,-11.81,-2.28,2372.0,20.6,2414.56,-4.08,2452.0,-38.41,4845.76,-37.84,5994.52,-37.76,7243.2,-24.71,24937.29
0815_110412,#OK1,ANT,40,0.0,0,testmode_8819h_0805.bin,2472,13,5 0,1 1,28,r 403422c8  [0x403422C8] = 0x00FFD179    ,24.24,-11.38,-1.6,2427.14,19.84,2484.08,-1.97,2514.35,-37.96,4958.88,-38.29,6941.57,-36.12,7448.16,-25.55,25556.86
