test_time, BoardNo, ANT, Temp, am, phase, BinVersion,freq, Channel, Rate, BandWidth, SetPwr, CMD, MsPwrAvg, MsEvmAvg, Band1, (0.03 to fch-40), Band2, (fch-40 to fch+40), Band3, (fch+40 to 2fch-80), Band4, (2fch-80 to 2fch+80),Band5, (2fch+80 to 3fch-120), Band6, (3fch-120 to 3fch+120),Band, 7(3fch+120 to 26)
0818_142333,#OK1,ANT,40,0.0,0,testmode_8819h_0805.bin,5500,100,5 7,1 1,24,r 403422c8  [0x403422C8] = 0x00FFE179    ,22.32,-17.41,-6.05,5460.0,16.79,5482.08,-8.65,5540.0,-37.7,10932.0,-32.32,15934.8,-32.47,16499.52,-25.82,25727.98
0818_142706,#OK1,ANT,40,0.0,0,testmode_8819h_0805.bin,5650,130,5 7,1 1,24,r 403422c8  [0x403422C8] = 0x00FFE179    ,21.76,-18.02,-6.33,5610.0,16.09,5646.32,-9.12,5690.0,-37.68,11330.72,-32.31,16770.05,-32.42,16981.2,-24.89,25767.82
0818_142809,#OK1,ANT,40,0.0,0,testmode_8819h_0805.bin,5745,149,5 11,1 1,24,r 403422c8  [0x403422C8] = 0x00FFE179    ,21.32,-27.1,-9.6,5705.0,15.38,5726.52,-10.4,5785.0,-38.04,11567.92,-30.76,16965.28,-30.08,17142.36,-24.7,25524.53
0818_142843,#OK1,ANT,40,0.0,0,testmode_8819h_0805.bin,5825,165,5 11,1 1,24,r 403422c8  [0x403422C8] = 0x00FFE179    ,20.36,-28.14,-14.18,5785.0,14.92,5829.16,-13.77,5865.0,-37.58,11588.24,-30.33,17338.12,-31.14,17512.44,-24.9,25386.44
