test_time, BoardNo, ANT, Temp, am, phase, BinVersion,freq, Channel, Rate, BandWidth, SetPwr, CMD, MsPwrAvg, MsEvmAvg, Band1, (0.03 to fch-40), Band2, (fch-40 to fch+40), Band3, (fch+40 to 2fch-80), Band4, (2fch-80 to 2fch+80),Band5, (2fch+80 to 3fch-120), Band6, (3fch-120 to 3fch+120),Band, 7(3fch+120 to 26)
0814_193210,#OK5,ANT,40,0.9,-180,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,15.52,7.35,-30.53,2394.79,13.72,2443.28,-34.31,2491.29,-37.6,4841.6,-38.63,6889.88,-38.48,7289.52,-26.2,25517.6
0814_193235,#OK5,ANT,40,0.9,-165,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,15.86,7.13,-31.85,2394.79,14.17,2440.72,-35.92,2491.29,-39.9,4885.76,-38.85,7001.98,-39.19,7233.36,-25.5,25499.04
0814_193301,#OK5,ANT,40,0.9,-150,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,16.22,6.76,-28.57,2402.0,14.37,2443.28,-37.31,3701.05,-39.7,4824.16,-38.31,5710.59,-38.84,7399.44,-25.43,25461.93
0814_193326,#OK5,ANT,40,0.9,-135,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,16.59,6.14,-23.5,2402.0,14.88,2443.28,-35.73,2482.0,-39.29,4956.32,-38.06,6649.98,-38.99,7420.56,-23.84,25294.95
0814_193351,#OK5,ANT,40,0.9,-120,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,16.88,6.1,-21.25,2402.0,14.97,2443.2,-32.64,2482.0,-39.02,4962.56,-38.17,5961.69,-38.94,7247.28,-25.11,25461.93
0814_193417,#OK5,ANT,40,0.9,-105,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,17.2,6.51,-18.29,2402.0,15.44,2443.36,-27.68,2482.0,-38.56,4962.56,-37.2,6919.02,-38.5,7433.76,-25.43,25758.8
0814_193442,#OK5,ANT,40,0.9,-90,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,17.58,7.55,-17.75,2402.0,15.71,2443.28,-24.61,2482.0,-39.33,4947.36,-37.8,5972.9,-38.47,7322.88,-25.73,25499.04
0814_193508,#OK5,ANT,40,0.9,-75,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,17.74,8.09,-18.91,2402.0,15.82,2443.28,-20.7,2482.0,-38.17,4884.16,-37.84,6228.49,-38.4,7370.16,-25.21,25814.46
0814_193533,#OK5,ANT,40,0.9,-60,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,18.04,6.66,-18.55,2402.0,16.32,2443.36,-16.67,2482.0,-36.23,4883.84,-37.32,5999.8,-38.91,7350.48,-25.38,25294.95
0814_193559,#OK5,ANT,40,0.9,-45,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,19.05,6.31,-20.97,2402.0,17.22,2443.44,-16.83,2482.0,-34.61,4884.16,-37.65,6903.33,-37.82,7233.84,-25.84,25443.38
0814_193624,#OK5,ANT,40,0.9,-30,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,19.77,6.65,-21.15,2402.0,18.08,2443.28,-18.28,2482.0,-33.68,4883.84,-38.03,6901.09,-38.11,7319.04,-26.31,25109.41
0814_193650,#OK5,ANT,40,0.9,-15,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,19.23,7.1,-27.16,2402.0,17.43,2443.44,-20.39,2482.0,-33.3,4884.16,-37.97,6392.15,-38.42,7407.6,-25.28,25777.35
0814_193715,#OK5,ANT,40,0.9,0,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,19.36,7.42,-26.8,2394.79,17.57,2443.36,-21.14,2500.58,-34.2,4884.0,-37.76,6867.46,-38.23,7332.0,-24.98,24923.87
0814_193740,#OK5,ANT,40,0.9,15,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,19.28,7.6,-26.22,2394.79,17.61,2443.28,-22.75,2500.58,-35.9,4883.84,-38.5,5650.05,-37.69,7226.64,-25.39,25220.73
0814_193806,#OK5,ANT,40,0.9,30,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,18.87,7.38,-28.33,2392.39,17.11,2443.28,-24.25,2500.58,-36.31,4884.64,-37.98,6004.29,-38.25,7322.4,-25.79,25053.75
0814_193831,#OK5,ANT,40,0.9,45,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,18.4,7.18,-28.6,2394.79,16.62,2443.28,-25.5,2488.97,-38.19,4883.84,-37.44,5950.48,-38.09,7335.12,-24.25,25777.35
0814_193857,#OK5,ANT,40,0.9,60,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,17.87,7.17,-28.26,2394.79,16.2,2443.28,-27.13,2488.97,-39.22,4917.92,-38.42,5235.28,-37.91,7329.84,-24.64,25777.35
0814_193922,#OK5,ANT,40,0.9,75,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,17.33,7.09,-28.65,2394.79,15.58,2443.36,-27.09,2491.29,-39.8,4962.4,-38.44,6015.5,-38.49,7431.36,-25.84,25461.93
0814_193948,#OK5,ANT,40,0.9,90,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,16.72,7.06,-29.13,2394.79,14.68,2443.2,-29.22,2488.97,-39.65,4892.8,-38.04,6425.78,-37.89,7322.16,-24.57,25833.01
0814_194013,#OK5,ANT,40,0.9,105,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,16.11,7.08,-29.36,2394.79,14.39,2443.28,-29.78,2488.97,-39.18,4852.8,-37.87,6856.25,-38.21,7271.28,-24.88,25480.49
0814_194039,#OK5,ANT,40,0.9,120,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,15.97,7.12,-28.89,2392.39,14.23,2443.28,-30.15,2488.97,-39.99,4913.12,-38.1,6002.05,-38.16,7232.64,-26.48,24756.88
0814_194104,#OK5,ANT,40,0.9,135,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,14.27,7.15,-30.43,2392.39,12.48,2443.28,-33.23,2488.97,-39.78,4873.6,-38.47,6028.95,-38.13,7280.64,-25.15,25165.07
0814_194129,#OK5,ANT,40,0.9,150,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,14.52,7.11,-30.49,2394.79,12.73,2443.36,-32.58,2491.29,-39.87,4910.72,-38.07,6499.77,-38.52,7206.72,-25.42,25294.95
0814_194155,#OK5,ANT,40,0.9,165,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,15.11,7.18,-30.69,2394.79,13.29,2443.44,-33.04,2500.58,-39.28,4912.48,-37.6,6602.9,-38.25,7331.76,-25.42,25833.01
0814_194220,#OK5,ANT,40,0.8,-180,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,19.64,6.96,-28.21,2394.79,17.83,2443.36,-30.56,2488.97,-37.69,4958.72,-37.09,6519.95,-37.94,7221.12,-25.82,25294.95
0814_194246,#OK5,ANT,40,0.8,-165,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,19.69,6.88,-28.9,2402.0,17.93,2443.28,-32.3,2488.97,-39.56,4850.72,-38.19,6170.2,-38.52,7246.8,-25.13,25480.49
0814_194311,#OK5,ANT,40,0.8,-150,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,19.84,6.59,-27.56,2402.0,18.07,2443.36,-34.96,2488.97,-39.43,4884.0,-38.73,6450.45,-38.62,7436.88,-24.27,25684.58
0814_194337,#OK5,ANT,40,0.8,-135,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,20.1,6.27,-22.83,2402.0,18.43,2443.36,-31.96,2482.0,-39.82,4885.6,-38.41,6571.51,-37.62,7440.0,-25.18,25461.93
0814_194402,#OK5,ANT,40,0.8,-120,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,20.52,6.12,-18.33,2402.0,18.78,2443.28,-26.64,2482.0,-38.49,4945.12,-38.27,7053.54,-37.93,7207.2,-25.48,25461.93
