test_time, BoardNo, ANT, Temp, am, phase, BinVersion,freq, Channel, Rate, BandWidth, SetPwr, CMD, MsPwrAvg, MsEvmAvg, Band1, (0.03 to fch-40), Band2, (fch-40 to fch+40), Band3, (fch+40 to 2fch-80), Band4, (2fch-80 to 2fch+80),Band5, (2fch+80 to 3fch-120), Band6, (3fch-120 to 3fch+120),Band, 7(3fch+120 to 26)
0819_203323,#OK5,ANT,40,0.9,75,testmode_8819h_0805.bin,2412,1,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFD179    ,-35.38,2362.51,7.03,2413.36,-36.9,2470.34,-39.58,4882.4,-38.52,6204.66,-38.7,7172.4,-26.1,25776.27
0819_203350,#OK5,ANT,40,0.9,90,testmode_8819h_0805.bin,2412,1,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFD179    ,-35.74,2362.51,6.46,2410.16,-36.44,2458.88,-39.38,4881.92,-37.99,6027.7,-38.55,7179.6,-25.17,24955.94
0819_203416,#OK5,ANT,40,0.9,105,testmode_8819h_0805.bin,2412,1,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFD179    ,-35.97,2364.88,6.14,2413.44,-36.43,3169.4,-39.68,4745.44,-37.73,6025.48,-38.86,7334.4,-26.09,25310.17
0819_203443,#OK5,ANT,40,0.9,120,testmode_8819h_0805.bin,2412,1,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFD179    ,-35.87,2364.88,5.87,2413.44,-37.2,3274.83,-40.08,4893.12,-37.6,6640.42,-38.16,7279.44,-24.99,25776.27
0819_203509,#OK5,ANT,40,0.9,135,testmode_8819h_0805.bin,2412,1,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFD179    ,-36.3,2364.88,4.98,2413.2,-36.49,3047.92,-39.93,4745.28,-38.15,6905.86,-38.47,7235.76,-25.74,25664.41
0819_203536,#OK5,ANT,40,0.9,150,testmode_8819h_0805.bin,2412,1,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFD179    ,-36.06,2360.14,4.59,2413.6,-36.96,3116.68,-40.1,4893.28,-37.91,6012.21,-38.59,7246.8,-24.23,25477.97
0819_203602,#OK5,ANT,40,0.9,165,testmode_8819h_0805.bin,2412,1,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFD179    ,-34.27,2364.88,5.93,2413.28,-37.21,2800.38,-40.11,4850.56,-36.75,5950.28,-37.88,7116.0,-25.56,25981.36
0819_203629,#OK5,ANT,40,0.8,-180,testmode_8819h_0805.bin,2412,1,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFD179    ,-33.29,2372.0,10.4,2413.44,-36.42,2468.04,-39.87,4894.08,-37.77,6220.14,-38.74,7255.92,-25.35,25571.19
0819_203655,#OK5,ANT,40,0.8,-165,testmode_8819h_0805.bin,2412,1,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFD179    ,-27.56,2372.0,10.63,2413.36,-36.69,3306.92,-39.98,4871.52,-38.14,5326.49,-39.0,7293.84,-25.65,25664.41
0819_203722,#OK5,ANT,40,0.8,-150,testmode_8819h_0805.bin,2412,1,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFD179    ,-26.82,2372.0,10.89,2410.72,-34.11,2452.0,-39.93,4882.24,-38.18,5534.42,-38.93,7283.52,-25.66,25925.42
