test_time, BoardNo, ANT, Temp, am, phase, BinVersion,freq, Channel, Rate, BandWidth, SetPwr, CMD, MsPwrAvg, MsEvmAvg, Band1, (0.03 to fch-40), Band2, (fch-40 to fch+40), Band3, (fch+40 to 2fch-80), Band4, (2fch-80 to 2fch+80),Band5, (2fch+80 to 3fch-120), Band6, (3fch-120 to 3fch+120),Band, 7(3fch+120 to 26)
0815_104614,#OK1,ANT,40,0.1,-180,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x003F5F79    ,26.39,16.03,-22.78,2382.78,24.5,2443.28,-24.11,2500.58,-32.93,4883.84,-37.74,7163.4,-33.46,7325.76,-24.73,25925.78
0815_104640,#OK1,ANT,40,0.1,-60,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x003F5F79    ,26.51,15.96,-22.53,2382.78,24.74,2443.28,-23.62,2500.58,-31.52,4884.16,-36.77,6315.93,-32.61,7317.36,-24.52,25721.69
0815_104707,#OK1,ANT,40,0.1,60,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x003F5F79    ,26.41,16.1,-22.54,2382.78,24.67,2443.44,-22.8,2512.19,-31.1,4883.84,-37.51,5993.08,-33.49,7332.96,-24.71,25777.35
0815_104733,#OK1,ANT,40,0.0,0,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x003F5F79    ,26.48,16.06,-21.92,2382.78,24.7,2443.28,-22.54,2500.58,-31.45,4883.84,-37.54,7098.38,-31.64,7324.56,-25.02,25183.62
0815_104808,#OK1,ANT,40,0.1,-180,testmode_8819h_0805.bin,2412,1,5 0,1 1,28,r 403422c8  [0x403422C8] = 0x00FFD179    ,-999.0,-999.0,-2.27,2372.0,19.5,2426.88,-4.43,2456.58,-38.15,4822.88,-38.15,7023.1,-36.6,7212.0,-24.95,25571.19
0815_104836,#OK1,ANT,40,0.1,-60,testmode_8819h_0805.bin,2412,1,5 0,1 1,28,r 403422c8  [0x403422C8] = 0x00FFD179    ,20.57,4.18,-1.5,2372.0,19.79,2423.28,-2.94,2452.0,-37.67,4816.32,-38.02,6470.1,-37.67,7256.64,-25.26,25496.61
