test_time, BoardNo, ANT, Temp, am, phase, BinVersion,freq, Channel, Rate, BandWidth, SetPwr, CMD, MsPwrAvg, MsEvmAvg, Band1, (0.03 to fch-40), Band2, (fch-40 to fch+40), Band3, (fch+40 to 2fch-80), Band4, (2fch-80 to 2fch+80),Band5, (2fch+80 to 3fch-120), Band6, (3fch-120 to 3fch+120),Band, 7(3fch+120 to 26)
0812_193212,#OK1,ANT,40,0.9,-180,testmode_8819h_0805.bin,2442,7,0 3,1 1,25,r 403422c8  [0x403422C8] = 0x00FFDD88    ,-0.42,3.97,-29.5,1227.44,-13.69,2450.64,-37.67,3629.07,-33.21,4904.16,-37.24,6078.27,-34.94,7357.44,-24.95,25294.95
0812_193239,#OK1,ANT,40,0.9,-165,testmode_8819h_0805.bin,2442,7,0 3,1 1,25,r 403422c8  [0x403422C8] = 0x00FFDD88    ,-999.0,-999.0,-30.27,1229.84,-13.23,2453.44,-37.26,3619.78,-33.6,4904.32,-37.87,6506.5,-35.43,7354.8,-24.69,25257.84
0812_193459,#OK1,ANT,40,0.9,-150,testmode_8819h_0805.bin,2442,7,0 3,1 1,25,r 403422c8  [0x403422C8] = 0x00FFDD88    ,-999.0,-999.0,-25.97,1220.23,-13.24,2452.96,-36.99,3694.08,-33.17,4904.32,-38.19,6073.79,-35.57,7357.2,-24.51,25814.46
0812_193529,#OK1,ANT,40,0.9,-135,testmode_8819h_0805.bin,2442,7,0 3,1 1,25,r 403422c8  [0x403422C8] = 0x00FFDD88    ,-999.0,-999.0,-26.93,1220.23,-13.38,2453.36,-37.76,3673.19,-35.69,4904.48,-37.54,6609.63,-35.35,7356.72,-26.34,25573.26
0812_193555,#OK1,ANT,40,0.9,-120,testmode_8819h_0805.bin,2442,7,0 3,1 1,25,r 403422c8  [0x403422C8] = 0x00FFDD88    ,-999.0,-999.0,-26.51,1229.84,-13.8,2453.44,-38.12,3647.64,-34.88,4903.36,-38.26,6768.81,-35.86,7354.08,-26.16,25591.81
0812_193621,#OK1,ANT,40,0.9,-105,testmode_8819h_0805.bin,2442,7,0 3,1 1,25,r 403422c8  [0x403422C8] = 0x00FFDD88    ,-999.0,-999.0,-26.78,1225.03,-13.44,2450.72,-36.14,3668.54,-35.42,4904.32,-38.02,7080.45,-35.06,7356.72,-26.37,25777.35
0812_193647,#OK1,ANT,40,0.9,-90,testmode_8819h_0805.bin,2442,7,0 3,1 1,25,r 403422c8  [0x403422C8] = 0x00FFDD88    ,-0.42,3.86,-26.65,1232.24,-13.6,2452.16,-35.34,3608.17,-34.02,4904.0,-37.82,7102.87,-35.32,7356.0,-25.33,25313.5
0812_193714,#OK1,ANT,40,0.9,-75,testmode_8819h_0805.bin,2442,7,0 3,1 1,25,r 403422c8  [0x403422C8] = 0x00FFDD88    ,-999.0,-999.0,-26.82,1220.23,-13.48,2452.08,-37.46,3682.47,-34.11,4903.84,-38.26,6425.78,-35.12,7357.68,-25.87,25795.91
0812_193740,#OK1,ANT,40,0.9,-60,testmode_8819h_0805.bin,2442,7,0 3,1 1,25,r 403422c8  [0x403422C8] = 0x00FFDD88    ,-0.42,4.09,-26.18,1222.63,-13.58,2450.72,-37.67,3677.83,-33.65,4904.0,-38.45,5932.54,-35.66,7356.96,-25.13,25276.39
0812_193806,#OK1,ANT,40,0.9,-45,testmode_8819h_0805.bin,2442,7,0 3,1 1,25,r 403422c8  [0x403422C8] = 0x00FFDD88    ,-0.42,3.57,-26.42,1220.23,-13.18,2451.04,-37.22,3673.19,-32.72,4904.16,-37.26,6479.59,-36.09,7356.24,-25.34,25369.16
0812_193832,#OK1,ANT,40,0.9,-30,testmode_8819h_0805.bin,2442,7,0 3,1 1,25,r 403422c8  [0x403422C8] = 0x00FFDD88    ,-999.0,-999.0,-25.72,1220.23,-13.63,2452.24,-36.72,3636.03,-33.03,4904.0,-37.5,5672.47,-35.46,7356.0,-25.66,24831.1
0812_193858,#OK1,ANT,40,0.9,-15,testmode_8819h_0805.bin,2442,7,0 3,1 1,25,r 403422c8  [0x403422C8] = 0x00FFDD88    ,-0.42,3.87,-26.46,1220.23,-13.46,2453.28,-37.42,3629.07,-34.02,4904.16,-37.63,7201.52,-36.45,7355.52,-25.72,25888.68
0812_193925,#OK1,ANT,40,0.9,0,testmode_8819h_0805.bin,2442,7,0 3,1 1,25,r 403422c8  [0x403422C8] = 0x00FFDD88    ,-0.42,3.56,-27.05,1229.84,-13.33,2453.28,-36.07,3680.15,-34.43,4904.0,-36.89,6132.08,-35.35,7358.16,-25.21,25109.41
0812_193951,#OK1,ANT,40,0.9,15,testmode_8819h_0805.bin,2442,7,0 3,1 1,25,r 403422c8  [0x403422C8] = 0x00FFDD88    ,-999.0,-999.0,-26.43,1220.23,-13.4,2452.56,-36.29,3691.76,-32.92,4904.0,-38.02,6885.39,-35.31,7354.8,-25.85,25888.68
0812_194018,#OK1,ANT,40,0.9,30,testmode_8819h_0805.bin,2442,7,0 3,1 1,25,r 403422c8  [0x403422C8] = 0x00FFDD88    ,-999.0,-999.0,-25.57,1220.23,-13.31,2452.48,-38.1,3698.73,-34.22,4904.0,-36.68,4979.69,-35.52,7354.56,-25.76,24515.68
0812_194044,#OK1,ANT,40,0.9,45,testmode_8819h_0805.bin,2442,7,0 3,1 1,25,r 403422c8  [0x403422C8] = 0x00FFDD88    ,-0.42,3.61,-25.88,1220.23,-13.55,2452.64,-37.0,3605.85,-33.59,4904.0,-38.24,5011.08,-34.52,7356.96,-25.13,25758.8
