test_time, BoardNo, ANT, Temp, am, phase, BinVersion,freq, Channel, Rate, BandWidth, SetPwr, CMD, MsPwrAvg, MsEvmAvg, Band1, (0.03 to fch-40), Band2, (fch-40 to fch+40), Band3, (fch+40 to 2fch-80), Band4, (2fch-80 to 2fch+80),Band5, (2fch+80 to 3fch-120), Band6, (3fch-120 to 3fch+120),Band, 7(3fch+120 to 26)
0814_174909,#OK5,ANT,40,0.9,-180,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,15.45,7.0,-30.77,2394.79,13.56,2443.44,-35.4,2491.29,-39.12,4885.76,-37.08,5654.54,-38.62,7340.4,-24.94,25480.49
0814_174936,#OK5,ANT,40,0.9,-165,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,15.78,6.78,-31.47,2402.0,13.94,2441.04,-36.06,2488.97,-39.39,4848.32,-38.52,5916.85,-38.74,7428.0,-25.04,25332.06
0814_175003,#OK5,ANT,40,0.9,-150,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,16.13,6.6,-29.55,2402.0,14.38,2443.36,-37.07,2488.97,-39.85,4906.72,-38.07,6490.8,-38.68,7206.24,-25.32,25202.18
0814_175030,#OK5,ANT,40,0.9,-135,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,16.55,6.19,-25.33,2402.0,14.86,2443.36,-36.67,2482.0,-39.58,4878.24,-37.06,6017.74,-39.13,7373.28,-24.99,25294.95
0814_175056,#OK5,ANT,40,0.9,-120,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,16.85,6.17,-22.27,2402.0,14.93,2443.2,-31.37,2482.0,-39.66,4897.28,-37.37,7116.32,-37.98,7442.64,-25.67,25165.07
0814_175123,#OK5,ANT,40,0.9,-105,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,17.18,6.73,-19.04,2402.0,15.44,2443.36,-28.29,2482.0,-39.63,4892.96,-38.4,7037.85,-38.84,7266.0,-25.69,25461.93
0814_175150,#OK5,ANT,40,0.9,-90,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,17.56,7.61,-19.56,2402.0,15.76,2443.36,-23.95,2482.0,-39.59,4884.0,-37.87,5632.12,-38.79,7268.16,-24.74,25666.03
0814_175216,#OK5,ANT,40,0.9,-75,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,17.71,8.0,-17.73,2402.0,15.77,2443.28,-22.3,2482.0,-38.67,4962.72,-37.73,6593.93,-38.87,7254.0,-25.29,24552.79
0814_175243,#OK5,ANT,40,0.9,-60,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,17.98,6.66,-18.96,2402.0,16.25,2443.28,-18.03,2488.97,-36.41,4884.32,-38.47,5986.35,-37.91,7339.92,-24.68,25146.52
0814_175310,#OK5,ANT,40,0.9,-45,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,18.94,6.3,-20.39,2402.0,17.25,2443.36,-16.79,2482.0,-35.02,4883.84,-37.97,6259.88,-38.27,7282.56,-25.48,25795.91
0814_175337,#OK5,ANT,40,0.9,-30,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,19.72,6.61,-22.72,2402.0,18.01,2443.36,-17.2,2482.0,-33.37,4884.16,-37.81,6885.39,-38.52,7331.28,-24.06,25777.35
0814_175403,#OK5,ANT,40,0.9,-15,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,19.22,7.06,-26.83,2402.0,17.5,2443.36,-19.01,2488.97,-33.5,4884.0,-38.6,7188.06,-38.55,7208.16,-26.02,25109.41
0814_175430,#OK5,ANT,40,0.9,0,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,19.36,7.53,-27.43,2382.78,17.38,2443.04,-21.3,2500.58,-34.52,4884.16,-37.42,6919.02,-37.83,7423.68,-25.05,25461.93
0814_175457,#OK5,ANT,40,0.9,15,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,19.23,7.64,-26.39,2392.39,17.27,2443.52,-23.03,2488.97,-35.56,4884.16,-38.06,6002.05,-37.9,7255.92,-24.72,25777.35
0814_175523,#OK5,ANT,40,0.9,30,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,18.84,7.29,-28.31,2392.39,17.16,2443.28,-24.11,2491.29,-37.33,4884.0,-37.76,6457.17,-38.42,7239.12,-26.44,25777.35
0814_175550,#OK5,ANT,40,0.9,45,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,18.39,7.18,-27.95,2392.39,16.24,2443.6,-26.15,2491.29,-39.1,4884.0,-38.22,6002.05,-36.48,7334.4,-25.07,25424.83
0814_175617,#OK5,ANT,40,0.9,60,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,17.82,7.06,-28.27,2394.79,16.06,2443.28,-26.89,2491.29,-39.27,4960.32,-38.35,6114.15,-37.75,7331.52,-23.26,25777.35
