test_time, BoardNo, ANT, Temp, am, phase, BinVersion,freq, Channel, Rate, BandWidth, SetPwr, CMD, MsPwrAvg, MsEvmAvg, Band1, (0.03 to fch-40), Band2, (fch-40 to fch+40), Band3, (fch+40 to 2fch-80), Band4, (2fch-80 to 2fch+80),Band5, (2fch+80 to 3fch-120), Band6, (3fch-120 to 3fch+120),Band, 7(3fch+120 to 26)
0813_210456,#OK1,ANT,40,0.9,-180,testmode_8819h_0805.bin,2442,7,0 3,1 1,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,13.88,15.26,-34.47,12.04,11.65,2452.16,-31.22,2482.0,-38.8,4863.84,-38.05,6028.95,-38.69,7249.92,-25.3,25480.49
0813_210524,#OK1,ANT,40,0.9,-165,testmode_8819h_0805.bin,2442,7,0 3,1 1,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,14.02,15.15,-33.44,12.04,11.87,2452.24,-27.1,2482.0,-39.06,4949.6,-38.12,6022.22,-38.78,7446.0,-25.42,25758.8
0813_210552,#OK1,ANT,40,0.9,-150,testmode_8819h_0805.bin,2442,7,0 3,1 1,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,14.21,15.01,-32.87,12.04,12.26,2450.8,-28.85,2482.0,-39.04,4962.4,-38.38,6123.11,-38.58,7437.6,-25.6,25777.35
0813_210620,#OK1,ANT,40,0.9,-135,testmode_8819h_0805.bin,2442,7,0 3,1 1,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,14.54,15.18,-34.15,12.04,13.09,2450.8,-26.37,2482.0,-38.42,4903.84,-37.61,6580.48,-37.96,7420.56,-25.04,25777.35
0813_210648,#OK1,ANT,40,0.9,-120,testmode_8819h_0805.bin,2442,7,0 3,1 1,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,14.72,19.99,-34.56,12.04,12.54,2452.08,-27.42,2482.0,-36.79,4904.0,-38.0,6176.92,-38.43,7330.56,-25.95,25981.45
0813_210716,#OK1,ANT,40,0.9,-105,testmode_8819h_0805.bin,2442,7,0 3,1 1,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,15.03,14.77,-32.23,2402.0,13.54,2453.36,-30.78,2482.0,-34.95,4903.2,-36.07,4903.91,-37.45,7422.0,-24.3,25758.8
0813_210744,#OK1,ANT,40,0.9,-90,testmode_8819h_0805.bin,2442,7,0 3,1 1,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,15.44,14.63,-31.52,2402.0,13.59,2451.92,-25.44,2482.0,-32.88,4903.68,-38.2,5930.3,-37.91,7311.36,-24.82,25777.35
0813_210813,#OK1,ANT,40,0.9,-75,testmode_8819h_0805.bin,2442,7,0 3,1 1,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,15.62,14.62,-29.12,2402.0,13.39,2451.12,-26.1,3721.95,-30.31,4904.0,-37.27,6887.64,-38.65,7252.32,-25.51,25090.85
0813_210841,#OK1,ANT,40,0.9,-60,testmode_8819h_0805.bin,2442,7,0 3,1 1,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,16.26,14.75,-27.76,2402.0,14.38,2453.2,-22.69,2482.0,-28.81,4904.16,-37.74,6311.44,-38.67,7321.44,-24.15,25758.8
0813_210909,#OK1,ANT,40,0.9,-45,testmode_8819h_0805.bin,2442,7,0 3,1 1,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,17.64,15.12,-23.55,2402.0,15.76,2450.64,-20.87,2482.0,-27.65,4903.84,-38.25,5993.08,-38.72,7385.04,-23.72,25628.92
