test_time, BoardNo, ANT, Temp, am, phase, BinVersion,freq, Channel, Rate, BandWidth, SetPwr, CMD, MsPwrAvg, MsEvmAvg, Band1, (0.03 to fch-40), Band2, (fch-40 to fch+40), Band3, (fch+40 to 2fch-80), Band4, (2fch-80 to 2fch+80),Band5, (2fch+80 to 3fch-120), Band6, (3fch-120 to 3fch+120),Band, 7(3fch+120 to 26)
0821_104512,#OK1,ANT,40,0.0,0,testmode_8819h_0805.bin,2442,7,0 3,0 0,24,r 403422c8  [0x403422C8] = 0x00FFD179    ,12.0,8.85,-39.76,2382.78,10.46,2443.28,-37.85,3666.22,-37.87,4878.88,-37.97,6271.09,-38.99,7229.52,-24.78,25628.92
0821_110118,#OK1,ANT,40,0.0,0,testmode_8819h_0805.bin,2472,13,5 0,1 1,24,r 403422c8  [0x403422C8] = 0x00FFD179    ,10.48,-20.03,-17.43,2432.0,7.22,2480.4,-19.19,2540.22,-38.32,4949.12,-38.25,6775.71,-38.36,7470.96,-25.32,25815.36
0821_110243,#OK1,ANT,40,0.0,0,testmode_8819h_0805.bin,2442,7,5 7,1 1,24,r 403422c8  [0x403422C8] = 0x00FFD179    ,10.11,-20.6,-18.6,2394.79,5.62,2424.72,-21.24,2484.32,-39.76,4952.64,-37.85,6212.79,-38.95,7243.2,-25.24,25480.49
0821_110310,#OK1,ANT,40,0.0,0,testmode_8819h_0805.bin,2412,1,5 11,1 1,24,r 403422c8  [0x403422C8] = 0x00FFD179    ,10.29,-28.6,-19.41,2367.26,5.25,2402.56,-20.57,2456.58,-39.85,4832.0,-38.81,6941.25,-38.18,7286.4,-25.1,25738.98
0821_110337,#OK1,ANT,40,0.0,0,testmode_8819h_0805.bin,5180,36,5 0,1 1,24,r 403422c8  [0x403422C8] = 0x00FFE179    ,12.0,-12.09,-13.93,5140.0,7.26,5161.6,-14.99,5225.06,-38.17,10428.0,-32.48,15390.12,-33.49,15630.0,-25.18,25824.22
0821_110404,#OK1,ANT,40,0.0,0,testmode_8819h_0805.bin,5500,100,5 7,1 1,24,r 403422c8  [0x403422C8] = 0x00FFE179    ,10.17,-16.92,-17.6,5460.0,5.19,5485.44,-17.57,5545.38,-38.0,11059.2,-33.44,15611.5,-34.04,16426.56,-25.02,25765.5
0821_110431,#OK1,ANT,40,0.0,0,testmode_8819h_0805.bin,5745,149,5 7,1 1,24,r 403422c8  [0x403422C8] = 0x00FFE179    ,10.09,-17.56,-19.09,5705.0,4.67,5726.76,-20.8,5785.0,-37.77,11432.08,-31.36,16726.85,-30.51,17324.28,-24.54,25818.46
0821_110458,#OK1,ANT,40,0.0,0,testmode_8819h_0805.bin,5785,157,5 11,1 1,24,r 403422c8  [0x403422C8] = 0x00FFE179    ,8.94,-26.87,-21.25,5745.0,3.46,5769.48,-23.09,5825.0,-38.05,11534.16,-30.85,17229.42,-31.55,17302.2,-25.04,25181.6
0821_110526,#OK1,ANT,40,0.0,0,testmode_8819h_0805.bin,5825,165,5 11,1 1,24,r 403422c8  [0x403422C8] = 0x00FFE179    ,8.51,-27.23,-21.09,5785.0,2.98,5811.24,-23.5,5870.7,-38.29,11624.4,-32.36,16826.25,-31.38,17368.2,-24.38,25991.6
