BoardNo, BinVersion, Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg,,,
#TT_H2_1,testmode20_2024_1112_2037.bin,42,5 11,0 0,4000,12,r 403422c8  [0x403422C8] = 0x1B3F5C72    ,13.61,-35.66,NA,NA,NA
#TT_H2_1,testmode20_2024_1112_2037.bin,58,5 11,0 0,4000,12,r 403422c8  [0x403422C8] = 0x1B3F5C66    ,13.57,-36.39,NA,NA,NA
#TT_H2_1,testmode20_2024_1112_2037.bin,106,5 11,0 0,4000,12,r 403422c8  [0x403422C8] = 0x163F59A1    ,13.61,-36.42,NA,NA,NA
#TT_H2_1,testmode20_2024_1112_2037.bin,122,5 11,0 0,4000,12,r 403422c8  [0x403422C8] = 0x163F5999    ,13.14,-36.86,NA,NA,NA
#TT_H2_1,testmode20_2024_1112_2037.bin,138,5 11,0 0,4000,12,r 403422c8  [0x403422C8] = 0x153F5A8C    ,13.73,-38.35,NA,NA,NA
#TT_H2_1,testmode20_2024_1112_2037.bin,155,5 11,0 0,4000,12,r 403422c8  [0x403422C8] = 0x163F59A8    ,13.01,-39.42,NA,NA,NA
#TT_H2_1,testmode20_2024_1112_2037.bin,42,5 7,0 0,4000,14,r 403422c8  [0x403422C8] = 0x133F4CA2    ,15.91,-35.45,NA,NA,NA
#TT_H2_1,testmode20_2024_1112_2037.bin,58,5 7,0 0,4000,14,r 403422c8  [0x403422C8] = 0x133F4CAB    ,15.61,-36.55,NA,NA,NA
#TT_H2_1,testmode20_2024_1112_2037.bin,106,5 7,0 0,4000,14,r 403422c8  [0x403422C8] = 0x133F4C66    ,14.55,-37.29,NA,NA,NA
#TT_H2_1,testmode20_2024_1112_2037.bin,122,5 7,0 0,4000,14,r 403422c8  [0x403422C8] = 0x133F4C73    ,15.38,-36.90,NA,NA,NA
#TT_H2_1,testmode20_2024_1112_2037.bin,138,5 7,0 0,4000,14,r 403422c8  [0x403422C8] = 0x133F4C73    ,14.70,-37.09,NA,NA,NA
#TT_H2_1,testmode20_2024_1112_2037.bin,155,5 7,0 0,4000,14,r 403422c8  [0x403422C8] = 0x133F4C79    ,14.05,-37.02,NA,NA,NA
#TT_H2_1,testmode20_2024_1112_2037.bin,42,5 0,0 0,4000,18,r 403422c8  [0x403422C8] = 0x123F6DB2    ,19.30,-32.61,NA,NA,NA
#TT_H2_1,testmode20_2024_1112_2037.bin,58,5 0,0 0,4000,18,r 403422c8  [0x403422C8] = 0x123F6DBD    ,19.65,-29.57,NA,NA,NA
#TT_H2_1,testmode20_2024_1112_2037.bin,106,5 0,0 0,4000,18,r 403422c8  [0x403422C8] = 0x123F6D9B    ,19.57,-29.91,NA,NA,NA
#TT_H2_1,testmode20_2024_1112_2037.bin,122,5 0,0 0,4000,18,r 403422c8  [0x403422C8] = 0x0B3F6C9E    ,18.00,-32.11,NA,NA,NA
#TT_H2_1,testmode20_2024_1112_2037.bin,138,5 0,0 0,4000,18,r 403422c8  [0x403422C8] = 0x0B3F6C9E    ,17.23,-32.87,NA,NA,NA
#TT_H2_1,testmode20_2024_1112_2037.bin,155,5 0,0 0,4000,18,r 403422c8  [0x403422C8] = 0x123F6D99    ,17.20,-34.07,NA,NA,NA
BoardNo, BinVersion, Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg
BoardNo, BinVersion, Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg
#TT_H2_1,testmode_8820_1119_apc_1.bin,42,5 11,0 0,4000,12,r 403422c8  [0x403422C8] = 0x1B3F5C72    ,13.60,-36.32,NA,NA,NA
#TT_H2_1,testmode_8820_1119_apc_1.bin,58,5 11,0 0,4000,12,r 403422c8  [0x403422C8] = 0x1B3F5C66    ,13.36,-37.05,NA,NA,NA
#TT_H2_1,testmode_8820_1119_apc_1.bin,106,5 11,0 0,4000,12,r 403422c8  [0x403422C8] = 0x163F59A1    ,12.71,-37.50,NA,NA,NA
#TT_H2_1,testmode_8820_1119_apc_1.bin,122,5 11,0 0,4000,12,r 403422c8  [0x403422C8] = 0x163F5999    ,12.18,-37.84,NA,NA,NA
#TT_H2_1,testmode_8820_1119_apc_1.bin,138,5 11,0 0,4000,12,r 403422c8  [0x403422C8] = 0x153F5A7F    ,12.02,-39.30,NA,NA,NA
#TT_H2_1,testmode_8820_1119_apc_1.bin,155,5 11,0 0,4000,12,r 403422c8  [0x403422C8] = 0x163F59A7    ,12.01,-39.84,NA,NA,NA
#TT_H2_1,testmode_8820_1119_apc_1.bin,42,5 7,0 0,4000,14,r 403422c8  [0x403422C8] = 0x133F4CA2    ,14.98,-36.38,NA,NA,NA
#TT_H2_1,testmode_8820_1119_apc_1.bin,58,5 7,0 0,4000,14,r 403422c8  [0x403422C8] = 0x133F4CAB    ,14.72,-37.53,NA,NA,NA
#TT_H2_1,testmode_8820_1119_apc_1.bin,106,5 7,0 0,4000,14,r 403422c8  [0x403422C8] = 0x133F4C66    ,13.85,-37.85,NA,NA,NA
#TT_H2_1,testmode_8820_1119_apc_1.bin,122,5 7,0 0,4000,14,r 403422c8  [0x403422C8] = 0x133F4C73    ,14.74,-37.54,NA,NA,NA
#TT_H2_1,testmode_8820_1119_apc_1.bin,138,5 7,0 0,4000,14,r 403422c8  [0x403422C8] = 0x133F4C73    ,14.05,-37.15,NA,NA,NA
#TT_H2_1,testmode_8820_1119_apc_1.bin,155,5 7,0 0,4000,14,r 403422c8  [0x403422C8] = 0x133F4C79    ,13.30,-36.79,NA,NA,NA
#TT_H2_1,testmode_8820_1119_apc_1.bin,42,5 0,0 0,4000,18,r 403422c8  [0x403422C8] = 0x123F6DAD    ,17.89,-35.01,NA,NA,NA
#TT_H2_1,testmode_8820_1119_apc_1.bin,58,5 0,0 0,4000,18,r 403422c8  [0x403422C8] = 0x123F6DBE    ,18.85,-31.26,NA,NA,NA
#TT_H2_1,testmode_8820_1119_apc_1.bin,106,5 0,0 0,4000,18,r 403422c8  [0x403422C8] = 0x123F6D98    ,18.68,-31.92,NA,NA,NA
#TT_H2_1,testmode_8820_1119_apc_1.bin,122,5 0,0 0,4000,18,r 403422c8  [0x403422C8] = 0x0B3F6C98    ,17.07,-33.91,NA,NA,NA
#TT_H2_1,testmode_8820_1119_apc_1.bin,138,5 0,0 0,4000,18,r 403422c8  [0x403422C8] = 0x0B3F6C9A    ,16.39,-33.44,NA,NA,NA
#TT_H2_1,testmode_8820_1119_apc_1.bin,155,5 0,0 0,4000,18,r 403422c8  [0x403422C8] = 0x123F6D96    ,16.26,-33.31,NA,NA,NA
BoardNo, BinVersion, Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg
BoardNo, BinVersion, Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg
#TT_H2_2,testmode_8820_1120_apc_oft_1.bin,42,5 11,0 0,4000,12,r 403422c8  [0x403422C8] = 0x1B3F5C72    ,13.15,-36.60,NA,NA,NA
#TT_H2_2,testmode_8820_1120_apc_oft_1.bin,58,5 11,0 0,4000,12,r 403422c8  [0x403422C8] = 0x1B3F5C72    ,13.68,-35.73,NA,NA,NA
#TT_H2_2,testmode_8820_1120_apc_oft_1.bin,106,5 11,0 0,4000,12,r 403422c8  [0x403422C8] = 0x1B3F5C66    ,13.65,-35.50,NA,NA,NA
#TT_H2_2,testmode_8820_1120_apc_oft_1.bin,122,5 11,0 0,4000,12,r 403422c8  [0x403422C8] = 0x1B3F5C72    ,14.27,-36.15,NA,NA,NA
#TT_H2_2,testmode_8820_1120_apc_oft_1.bin,138,5 11,0 0,4000,12,r 403422c8  [0x403422C8] = 0x153F5A8F    ,13.00,-38.78,NA,NA,NA
#TT_H2_2,testmode_8820_1120_apc_oft_1.bin,155,5 11,0 0,4000,12,r 403422c8  [0x403422C8] = 0x1B3F5C72    ,12.96,-39.50,NA,NA,NA
