#A1_ANT0,testmode22_2024_1210_1040.bin,44,5 7,0 0,4000,12,r 403422c8  [0x403422C8] = 0xD53F5B66    ,13.65,-43.35,NA,NA,NA
#A1_ANT0,testmode22_2024_1210_1040.bin,44,5 7,0 0,4000,14,r 403422c8  [0x403422C8] = 0xD53F5B80    ,15.58,-43.60,NA,NA,NA
#A1_ANT0,testmode22_2024_1210_1040.bin,44,5 7,0 0,4000,16,r 403422c8  [0x403422C8] = 0xDE3F5D63    ,17.51,-43.31,NA,NA,NA
#A1_ANT0,testmode22_2024_1210_1040.bin,44,5 7,0 0,4000,18,r 403422c8  [0x403422C8] = 0xDE3F5D7D    ,19.38,-38.27,NA,NA,NA
#A1_ANT0,testmode22_2024_1210_1040.bin,44,5 7,0 0,4000,20,r 403422c8  [0x403422C8] = 0xDF3F5F8F    ,21.13,-29.35,NA,NA,NA
#A1_ANT0,testmode22_2024_1210_1040.bin,44,5 7,0 0,4000,22,r 403422c8  [0x403422C8] = 0xDF3F5FB5    ,22.70,-21.67,NA,NA,NA
#A1_ANT0,testmode22_2024_1210_1040.bin,48,5 7,0 0,4000,0,r 403422c8  [0x403422C8] = 0xC23F5576    ,1.35,-43.20,NA,NA,NA
#A1_ANT0,testmode22_2024_1210_1040.bin,48,5 7,0 0,4000,2,r 403422c8  [0x403422C8] = 0xC23F5595    ,3.39,-43.64,NA,NA,NA
#A1_ANT0,testmode22_2024_1210_1040.bin,48,5 7,0 0,4000,4,r 403422c8  [0x403422C8] = 0xC33F5776    ,5.30,-41.95,NA,NA,NA
#A1_ANT0,testmode22_2024_1210_1040.bin,48,5 7,0 0,4000,6,r 403422c8  [0x403422C8] = 0xC33F5795    ,7.28,-42.25,NA,NA,NA
#A1_ANT0,testmode22_2024_1210_1040.bin,48,5 7,0 0,4000,8,r 403422c8  [0x403422C8] = 0xD43F596E    ,9.40,-42.52,NA,NA,NA
#A1_ANT0,testmode22_2024_1210_1040.bin,48,5 7,0 0,4000,10,r 403422c8  [0x403422C8] = 0xD43F598B    ,11.33,-43.33,NA,NA,NA
#A1_ANT0,testmode22_2024_1210_1040.bin,48,5 7,0 0,4000,12,r 403422c8  [0x403422C8] = 0xD53F5B66    ,13.39,-42.94,NA,NA,NA
#A1_ANT0,testmode22_2024_1210_1040.bin,48,5 7,0 0,4000,14,r 403422c8  [0x403422C8] = 0xD53F5B80    ,15.31,-42.87,NA,NA,NA
#A1_ANT0,testmode22_2024_1210_1040.bin,48,5 7,0 0,4000,16,r 403422c8  [0x403422C8] = 0xDE3F5D62    ,17.23,-43.41,NA,NA,NA
#A1_ANT0,testmode22_2024_1210_1040.bin,48,5 7,0 0,4000,18,r 403422c8  [0x403422C8] = 0xDE3F5D7B    ,19.12,-39.07,NA,NA,NA
#A1_ANT0,testmode22_2024_1210_1040.bin,48,5 7,0 0,4000,20,r 403422c8  [0x403422C8] = 0xDF3F5F8D    ,20.82,-30.65,NA,NA,NA
#A1_ANT0,testmode22_2024_1210_1040.bin,48,5 7,0 0,4000,22,r 403422c8  [0x403422C8] = 0xDF3F5FB1    ,22.46,-22.54,NA,NA,NA
#A1_ANT1,testmode22_2024_1210_1040.bin,36,5 7,0 0,4000,0,r 403422c8  [0x403422C8] = 0xC23F557A    ,0.73,-43.00,NA,NA,NA
#A1_ANT1,testmode22_2024_1210_1040.bin,36,5 7,0 0,4000,2,r 403422c8  [0x403422C8] = 0xC23F559A    ,2.82,-43.35,NA,NA,NA
#A1_ANT1,testmode22_2024_1210_1040.bin,36,5 7,0 0,4000,4,r 403422c8  [0x403422C8] = 0xC33F577A    ,4.80,-43.60,NA,NA,NA
#A1_ANT1,testmode22_2024_1210_1040.bin,36,5 7,0 0,4000,6,r 403422c8  [0x403422C8] = 0xC33F579A    ,6.83,-43.27,NA,NA,NA
#A1_ANT1,testmode22_2024_1210_1040.bin,36,5 7,0 0,4000,8,r 403422c8  [0x403422C8] = 0xD43F596F    ,8.85,-42.08,NA,NA,NA
#A1_ANT1,testmode22_2024_1210_1040.bin,36,5 7,0 0,4000,10,r 403422c8  [0x403422C8] = 0xD43F598C    ,10.86,-42.77,NA,NA,NA
#A1_ANT1,testmode22_2024_1210_1040.bin,36,5 7,0 0,4000,12,r 403422c8  [0x403422C8] = 0xD53F5B66    ,12.95,-42.57,NA,NA,NA
#A1_ANT1,testmode22_2024_1210_1040.bin,36,5 7,0 0,4000,14,r 403422c8  [0x403422C8] = 0xD53F5B80    ,14.88,-42.84,NA,NA,NA
#A1_ANT1,testmode22_2024_1210_1040.bin,36,5 7,0 0,4000,16,r 403422c8  [0x403422C8] = 0xDE3F5D60    ,16.77,-41.25,NA,NA,NA
#A1_ANT1,testmode22_2024_1210_1040.bin,36,5 7,0 0,4000,18,r 403422c8  [0x403422C8] = 0xDE3F5D79    ,18.70,-37.92,NA,NA,NA
#A1_ANT1,testmode22_2024_1210_1040.bin,36,5 7,0 0,4000,20,r 403422c8  [0x403422C8] = 0xDF3F5F8D    ,20.49,-30.04,NA,NA,NA
#A1_ANT1,testmode22_2024_1210_1040.bin,36,5 7,0 0,4000,22,r 403422c8  [0x403422C8] = 0xDF3F5FB1    ,22.10,-23.11,NA,NA,NA
#A1_ANT1,testmode22_2024_1210_1040.bin,40,5 7,0 0,4000,0,r 403422c8  [0x403422C8] = 0xC23F5579    ,1.15,-42.46,NA,NA,NA
#A1_ANT1,testmode22_2024_1210_1040.bin,40,5 7,0 0,4000,2,r 403422c8  [0x403422C8] = 0xC23F5599    ,3.28,-42.15,NA,NA,NA
#A1_ANT1,testmode22_2024_1210_1040.bin,40,5 7,0 0,4000,4,r 403422c8  [0x403422C8] = 0xC33F5779    ,5.07,-42.09,NA,NA,NA
#A1_ANT1,testmode22_2024_1210_1040.bin,40,5 7,0 0,4000,6,r 403422c8  [0x403422C8] = 0xC33F5798    ,7.11,-41.89,NA,NA,NA
#A1_ANT1,testmode22_2024_1210_1040.bin,40,5 7,0 0,4000,8,r 403422c8  [0x403422C8] = 0xD43F596E    ,9.16,-41.65,NA,NA,NA
#A1_ANT1,testmode22_2024_1210_1040.bin,40,5 7,0 0,4000,10,r 403422c8  [0x403422C8] = 0xD43F598B    ,11.22,-42.27,NA,NA,NA
#A1_ANT1,testmode22_2024_1210_1040.bin,40,5 7,0 0,4000,12,r 403422c8  [0x403422C8] = 0xD53F5B66    ,13.28,-42.70,NA,NA,NA
#A1_ANT1,testmode22_2024_1210_1040.bin,40,5 7,0 0,4000,14,r 403422c8  [0x403422C8] = 0xD53F5B80    ,15.23,-43.09,NA,NA,NA
#A1_ANT1,testmode22_2024_1210_1040.bin,40,5 7,0 0,4000,16,r 403422c8  [0x403422C8] = 0xDE3F5D62    ,17.13,-41.57,NA,NA,NA
#A1_ANT1,testmode22_2024_1210_1040.bin,40,5 7,0 0,4000,18,r 403422c8  [0x403422C8] = 0xDE3F5D7B    ,19.01,-38.38,NA,NA,NA
#A1_ANT1,testmode22_2024_1210_1040.bin,40,5 7,0 0,4000,20,r 403422c8  [0x403422C8] = 0xDF3F5F8F    ,20.81,-29.94,NA,NA,NA
#A1_ANT1,testmode22_2024_1210_1040.bin,40,5 7,0 0,4000,22,r 403422c8  [0x403422C8] = 0xDF3F5FB4    ,22.41,-22.31,NA,NA,NA
#A1_ANT1,testmode22_2024_1210_1040.bin,44,5 7,0 0,4000,0,r 403422c8  [0x403422C8] = 0xC23F5577    ,1.15,-42.97,NA,NA,NA
#A1_ANT1,testmode22_2024_1210_1040.bin,44,5 7,0 0,4000,2,r 403422c8  [0x403422C8] = 0xC23F5596    ,3.28,-43.24,NA,NA,NA
#A1_ANT1,testmode22_2024_1210_1040.bin,44,5 7,0 0,4000,4,r 403422c8  [0x403422C8] = 0xC33F5777    ,5.24,-42.22,NA,NA,NA
#A1_ANT1,testmode22_2024_1210_1040.bin,44,5 7,0 0,4000,6,r 403422c8  [0x403422C8] = 0xC33F5796    ,7.28,-42.68,NA,NA,NA
#A1_ANT1,testmode22_2024_1210_1040.bin,44,5 7,0 0,4000,8,r 403422c8  [0x403422C8] = 0xD43F596E    ,9.37,-43.07,NA,NA,NA
#A1_ANT1,testmode22_2024_1210_1040.bin,44,5 7,0 0,4000,10,r 403422c8  [0x403422C8] = 0xD43F598A    ,11.35,-43.30,NA,NA,NA
#A1_ANT1,testmode22_2024_1210_1040.bin,44,5 7,0 0,4000,12,r 403422c8  [0x403422C8] = 0xD53F5B66    ,13.39,-41.80,NA,NA,NA
#A1_ANT1,testmode22_2024_1210_1040.bin,44,5 7,0 0,4000,14,r 403422c8  [0x403422C8] = 0xD53F5B80    ,15.33,-42.60,NA,NA,NA
#A1_ANT1,testmode22_2024_1210_1040.bin,44,5 7,0 0,4000,16,r 403422c8  [0x403422C8] = 0xDE3F5D63    ,17.26,-41.98,NA,NA,NA
#A1_ANT1,testmode22_2024_1210_1040.bin,44,5 7,0 0,4000,18,r 403422c8  [0x403422C8] = 0xDE3F5D7C    ,19.11,-39.21,NA,NA,NA
#A1_ANT1,testmode22_2024_1210_1040.bin,44,5 7,0 0,4000,20,r 403422c8  [0x403422C8] = 0xDF3F5F8E    ,20.86,-29.73,NA,NA,NA
#A1_ANT1,testmode22_2024_1210_1040.bin,44,5 7,0 0,4000,22,r 403422c8  [0x403422C8] = 0xDF3F5FB3    ,22.49,-22.29,NA,NA,NA
#A1_ANT1,testmode22_2024_1210_1040.bin,48,5 7,0 0,4000,0,r 403422c8  [0x403422C8] = 0xC23F5577    ,1.24,-42.06,NA,NA,NA
#A1_ANT1,testmode22_2024_1210_1040.bin,48,5 7,0 0,4000,2,r 403422c8  [0x403422C8] = 0xC23F5596    ,3.34,-42.29,NA,NA,NA
#A1_ANT1,testmode22_2024_1210_1040.bin,48,5 7,0 0,4000,4,r 403422c8  [0x403422C8] = 0xC33F5777    ,5.29,-43.16,NA,NA,NA
#A1_ANT1,testmode22_2024_1210_1040.bin,48,5 7,0 0,4000,6,r 403422c8  [0x403422C8] = 0xC33F5796    ,7.32,-43.25,NA,NA,NA
#A1_ANT1,testmode22_2024_1210_1040.bin,48,5 7,0 0,4000,8,r 403422c8  [0x403422C8] = 0xD43F596E    ,9.38,-41.89,NA,NA,NA
