Transferring testmode_8820h_test.bin...
ch, pa_vh_vbit, avss_hd1, dtmx_vh_vbit, dtmx_vlo_vbit, dtmx_dac_cscd_vbit, ms_pwr, ms_evm
42,0,0,1,0,0,12.89,-34.65
42,0,0,1,0,1,12.97,-34.91
42,0,0,1,0,2,12.96,-34.46
42,0,0,1,0,3,13.05,-34.40
42,0,0,1,0,4,13.07,-34.49
42,0,0,1,0,5,13.15,-35.29
42,0,0,1,0,6,13.14,-34.95
42,0,0,1,0,7,13.15,-34.77
42,0,0,1,0,8,13.19,-35.41
42,0,0,1,0,9,13.18,-34.77
42,0,0,1,0,10,13.18,-34.71
42,0,0,1,0,11,13.17,-34.70
42,0,0,1,0,12,13.14,-34.07
42,0,0,1,0,13,13.16,-34.78
42,0,0,1,0,14,13.19,-34.92
42,0,0,1,0,15,13.10,-34.71
42,0,0,1,1,0,12.70,-34.41
42,0,0,1,1,1,12.80,-34.42
42,0,0,1,1,2,12.81,-34.75
42,0,0,1,1,3,12.88,-34.59
42,0,0,1,1,4,12.92,-34.74
42,0,0,1,1,5,12.97,-34.34
42,0,0,1,1,6,12.98,-34.78
42,0,0,1,1,7,13.06,-35.05
42,0,0,1,1,8,13.08,-34.47
42,0,0,1,1,9,13.05,-34.59
42,0,0,1,1,10,13.07,-34.78
42,0,0,1,1,11,13.05,-34.94
42,0,0,1,1,12,13.03,-34.86
42,0,0,1,1,13,13.05,-35.14
42,0,0,1,1,14,13.03,-34.78
42,0,0,1,1,15,12.97,-34.82
42,0,0,1,2,0,12.53,-34.68
42,0,0,1,2,1,12.62,-34.60
42,0,0,1,2,2,12.61,-34.29
42,0,0,1,2,3,12.71,-34.60
42,0,0,1,2,4,12.75,-35.10
42,0,0,1,2,5,12.84,-35.21
42,0,0,1,2,6,12.83,-35.11
42,0,0,1,2,7,12.89,-34.97
42,0,0,1,2,8,12.89,-35.00
42,0,0,1,2,9,12.94,-35.69
42,0,0,1,2,10,12.92,-35.25
42,0,0,1,2,11,12.85,-34.45
42,0,0,1,2,12,12.86,-34.94
42,0,0,1,2,13,12.83,-34.64
42,0,0,1,2,14,12.83,-34.91
42,0,0,1,2,15,12.78,-34.93
42,0,0,1,3,0,12.35,-34.57
42,0,0,1,3,1,12.47,-35.13
42,0,0,1,3,2,12.46,-35.17
42,0,0,1,3,3,12.54,-34.91
42,0,0,1,3,4,12.56,-35.13
42,0,0,1,3,5,12.62,-34.47
42,0,0,1,3,6,12.65,-35.18
42,0,0,1,3,7,12.71,-35.10
42,0,0,1,3,8,12.72,-35.08
42,0,0,1,3,9,12.76,-35.26
42,0,0,1,3,10,12.74,-35.22
42,0,0,1,3,11,12.69,-35.38
42,0,0,1,3,12,12.68,-35.22
42,0,0,1,3,13,12.63,-35.26
42,0,0,1,3,14,12.64,-35.68
42,0,0,1,3,15,12.56,-35.08
42,0,0,1,4,0,12.22,-35.30
42,0,0,1,4,1,12.30,-35.16
42,0,0,1,4,2,12.30,-35.25
42,0,0,1,4,3,12.37,-35.37
42,0,0,1,4,4,12.36,-34.70
42,0,0,1,4,5,12.47,-35.00
42,0,0,1,4,6,12.44,-34.87
42,0,0,1,4,7,12.53,-35.65
42,0,0,1,4,8,12.53,-35.19
42,0,0,1,4,9,12.55,-35.68
42,0,0,1,4,10,12.54,-35.21
42,0,0,1,4,11,12.51,-36.12
42,0,0,1,4,12,12.47,-35.56
42,0,0,1,4,13,12.37,-35.12
42,0,0,1,4,14,12.39,-35.40
42,0,0,1,4,15,12.32,-35.32
42,0,0,1,5,0,11.99,-34.87
42,0,0,1,5,1,12.05,-34.71
42,0,0,1,5,2,12.08,-35.30
42,0,0,1,5,3,12.17,-35.21
42,0,0,1,5,4,12.18,-35.12
42,0,0,1,5,5,12.22,-35.40
42,0,0,1,5,6,12.24,-35.39
42,0,0,1,5,7,12.28,-35.32
42,0,0,1,5,8,12.31,-35.73
42,0,0,1,5,9,12.34,-36.31
42,0,0,1,5,10,12.35,-35.74
42,0,0,1,5,11,12.25,-35.88
42,0,0,1,5,12,12.22,-36.29
42,0,0,1,5,13,12.12,-36.02
42,0,0,1,5,14,12.12,-36.54
42,0,0,1,5,15,12.03,-36.06
42,0,0,1,6,0,11.71,-36.17
42,0,0,1,6,1,11.79,-36.21
42,0,0,1,6,2,11.76,-36.18
42,0,0,1,6,3,11.85,-35.77
42,0,0,1,6,4,11.87,-35.99
42,0,0,1,6,5,11.90,-35.68
42,0,0,1,6,6,11.91,-36.05
42,0,0,1,6,7,11.93,-36.16
42,0,0,1,6,8,11.98,-36.49
42,0,0,1,6,9,11.98,-36.19
42,0,0,1,6,10,11.94,-36.14
42,0,0,1,6,11,11.86,-36.42
42,0,0,1,6,12,11.81,-36.58
42,0,0,1,6,13,11.69,-36.89
42,0,0,1,6,14,11.70,-37.12
42,0,0,1,6,15,11.58,-36.38
42,0,0,1,7,0,11.23,-37.26
42,0,0,1,7,1,11.28,-36.84
42,0,0,1,7,2,11.28,-37.08
42,0,0,1,7,3,11.34,-37.51
42,0,0,1,7,4,11.36,-37.75
42,0,0,1,7,5,11.38,-37.18
42,0,0,1,7,6,11.36,-36.48
42,0,0,1,7,7,11.41,-36.97
42,0,0,1,7,8,11.38,-36.69
42,0,0,1,7,9,11.38,-37.08
42,0,0,1,7,10,11.39,-37.66
42,0,0,1,7,11,11.25,-37.77
42,0,0,1,7,12,11.19,-37.82
42,0,0,1,7,13,11.03,-38.45
42,0,0,1,7,14,11.05,-38.51
42,0,0,1,7,15,10.91,-37.75
42,0,0,2,0,0,13.09,-34.26
42,0,0,2,0,1,13.22,-34.44
42,0,0,2,0,2,13.19,-34.47
42,0,0,2,0,3,13.30,-34.44
42,0,0,2,0,4,13.33,-34.97
42,0,0,2,0,5,13.37,-34.09
42,0,0,2,0,6,13.40,-34.36
42,0,0,2,0,7,13.45,-34.56
42,0,0,2,0,8,13.44,-34.17
42,0,0,2,0,9,13.46,-34.66
42,0,0,2,0,10,13.44,-33.93
42,0,0,2,0,11,13.45,-34.37
42,0,0,2,0,12,13.50,-34.61
42,0,0,2,0,13,13.45,-33.95
42,0,0,2,0,14,13.47,-34.27
42,0,0,2,0,15,13.43,-34.76
42,0,0,2,1,0,12.99,-34.08
42,0,0,2,1,1,13.10,-34.09
42,0,0,2,1,2,13.09,-34.07
42,0,0,2,1,3,13.20,-34.18
42,0,0,2,1,4,13.21,-33.97
42,0,0,2,1,5,13.31,-34.00
42,0,0,2,1,6,13.31,-34.20
42,0,0,2,1,7,13.43,-34.54
42,0,0,2,1,8,13.41,-34.19
42,0,0,2,1,9,13.48,-34.69
42,0,0,2,1,10,13.47,-34.31
42,0,0,2,1,11,13.47,-34.37
42,0,0,2,1,12,13.46,-34.14
42,0,0,2,1,13,13.46,-34.63
42,0,0,2,1,14,13.46,-34.38
42,0,0,2,1,15,13.43,-34.88
42,0,0,2,2,0,12.90,-33.90
42,0,0,2,2,1,13.01,-34.43
42,0,0,2,2,2,13.00,-34.45
42,0,0,2,2,3,13.08,-33.99
42,0,0,2,2,4,13.11,-34.26
42,0,0,2,2,5,13.19,-33.80
42,0,0,2,2,6,13.19,-34.23
42,0,0,2,2,7,13.31,-34.15
42,0,0,2,2,8,13.32,-34.39
42,0,0,2,2,9,13.38,-34.27
42,0,0,2,2,10,13.41,-34.38
42,0,0,2,2,11,13.41,-34.81
42,0,0,2,2,12,13.44,-34.96
42,0,0,2,2,13,13.39,-34.65
42,0,0,2,2,14,13.37,-34.09
42,0,0,2,2,15,13.35,-34.52
42,0,0,2,3,0,12.81,-33.90
42,0,0,2,3,1,12.87,-33.88
42,0,0,2,3,2,12.88,-33.95
42,0,0,2,3,3,12.94,-34.21
42,0,0,2,3,4,12.98,-33.97
42,0,0,2,3,5,13.06,-33.84
42,0,0,2,3,6,13.05,-34.14
42,0,0,2,3,7,13.19,-34.58
42,0,0,2,3,8,13.22,-34.30
42,0,0,2,3,9,13.28,-34.07
42,0,0,2,3,10,13.30,-34.68
42,0,0,2,3,11,13.32,-34.86
42,0,0,2,3,12,13.30,-34.62
42,0,0,2,3,13,13.30,-34.97
42,0,0,2,3,14,13.26,-34.46
42,0,0,2,3,15,13.24,-34.94
42,0,0,2,4,0,12.67,-34.04
42,0,0,2,4,1,12.77,-34.61
42,0,0,2,4,2,12.74,-34.18
42,0,0,2,4,3,12.85,-34.54
42,0,0,2,4,4,12.84,-34.51
42,0,0,2,4,5,12.92,-34.13
42,0,0,2,4,6,12.93,-34.39
42,0,0,2,4,7,13.02,-34.56
42,0,0,2,4,8,13.03,-34.22
42,0,0,2,4,9,13.17,-34.88
42,0,0,2,4,10,13.16,-35.11
42,0,0,2,4,11,13.19,-34.77
42,0,0,2,4,12,13.21,-35.46
42,0,0,2,4,13,13.11,-34.83
42,0,0,2,4,14,13.13,-34.78
42,0,0,2,4,15,13.06,-34.49
42,0,0,2,5,0,12.52,-34.40
42,0,0,2,5,1,12.61,-34.31
42,0,0,2,5,2,12.63,-34.61
42,0,0,2,5,3,12.68,-34.03
42,0,0,2,5,4,12.73,-34.41
42,0,0,2,5,5,12.78,-34.21
42,0,0,2,5,6,12.78,-34.90
42,0,0,2,5,7,12.85,-34.32
42,0,0,2,5,8,12.87,-34.39
42,0,0,2,5,9,12.95,-34.20
42,0,0,2,5,10,12.96,-34.60
42,0,0,2,5,11,13.02,-34.75
42,0,0,2,5,12,13.02,-35.01
42,0,0,2,5,13,12.94,-35.02
42,0,0,2,5,14,12.94,-34.74
42,0,0,2,5,15,12.88,-35.06
42,0,0,2,6,0,12.37,-34.54
42,0,0,2,6,1,12.47,-34.62
42,0,0,2,6,2,12.49,-35.00
42,0,0,2,6,3,12.54,-34.63
42,0,0,2,6,4,12.55,-34.50
42,0,0,2,6,5,12.64,-34.95
42,0,0,2,6,6,12.61,-34.50
42,0,0,2,6,7,12.69,-34.38
42,0,0,2,6,8,12.74,-35.02
42,0,0,2,6,9,12.84,-35.14
42,0,0,2,6,10,12.78,-34.62
42,0,0,2,6,11,12.85,-34.57
42,0,0,2,6,12,12.88,-35.21
42,0,0,2,6,13,12.75,-35.15
42,0,0,2,6,14,12.74,-35.20
42,0,0,2,6,15,12.68,-35.62
42,0,0,2,7,0,12.21,-34.52
42,0,0,2,7,1,12.30,-35.25
42,0,0,2,7,2,12.30,-35.34
42,0,0,2,7,3,12.37,-35.09
42,0,0,2,7,4,12.37,-34.89
42,0,0,2,7,5,12.46,-35.36
42,0,0,2,7,6,12.44,-34.88
42,0,0,2,7,7,12.50,-34.69
42,0,0,2,7,8,12.51,-34.83
42,0,0,2,7,9,12.60,-35.02
42,0,0,2,7,10,12.61,-35.10
42,0,0,2,7,11,12.67,-35.31
