64,7.067181
128,12.47052
192,15.51978
256,17.57718
320,19.11901
384,20.32505
448,21.25626
512,22.05617
576,22.69794
640,23.25857
704,23.7302
768,24.10379
832,24.43625
896,24.69454
960,24.89327
1024,25.05403
1088,25.18278
1152,25.28383
1216,25.36749
1280,25.45458
1344,25.51397
1408,25.56748
1472,25.60774
1536,25.64154
1600,25.6879
1664,25.71918
1728,25.75267
1792,25.78017
1856,25.80296
1920,25.83139
1984,25.84048
2048,25.85645
2112,25.87505
2176,25.89197
2240,25.90242
2304,25.91037
2368,25.92449
2432,25.93566
2496,25.94194
2560,25.9479
2624,25.94708
2688,25.95712
2752,25.9621
2816,25.96542
2880,25.97036
2944,25.96893
3008,25.97621
3072,25.97879
3136,25.98532
3200,25.97922
3264,25.98089
3328,25.9838
3392,25.98763
3456,25.9896
3520,25.98113
3584,26.00268
3648,25.99969
3712,25.99013
3776,25.99723
3840,25.9925
3904,25.98617
3968,25.98334
4032,25.99176
