64,-94.11679
128,-93.99522
192,-94.02988
256,-94.22485
320,-93.63028
384,-94.60947
448,-94.21208
512,-92.75444
576,-92.26537
640,-94.67999
704,-94.51505
768,-94.03951
832,-94.27368
896,-93.95414
960,-94.89908
1024,-90.90988
1088,-94.01647
1152,-93.61256
1216,-94.09575
1280,-94.11961
1344,-94.45547
1408,-94.54895
1472,-92.82707
1536,-95.07443
1600,-93.89412
1664,-93.76744
1728,-94.62714
1792,-93.76637
1856,-93.16179
1920,-93.30226
1984,-92.96318
2048,-93.40597
2112,-93.75032
2176,-93.58624
2240,-93.42579
2304,-92.90482
2368,-93.0217
2432,-94.53648
2496,-93.62598
2560,-94.15741
2624,-93.99586
2688,-92.08562
2752,-94.55995
2816,-94.09666
2880,-93.39119
2944,-92.90796
3008,-92.7083
3072,-92.61479
3136,-94.10318
3200,-94.44246
3264,-93.79077
3328,-93.64876
3392,-94.02544
3456,-94.13876
3520,-93.60371
3584,-94.08087
3648,-93.07989
3712,-93.5495
3776,-93.65962
3840,-94.84962
3904,-92.98729
3968,-94.41911
4032,-93.23105
64,-1.131392
128,5.535707
192,9.325233
256,12.0704
320,14.19475
384,15.91455
448,17.43058
512,18.67169
576,19.86807
640,20.7149
704,21.8359
768,22.75695
832,23.70598
896,24.47713
960,25.06331
1024,25.87076
1088,26.57538
1152,26.64504
1216,26.64954
1280,26.64275
1344,26.64629
1408,26.64207
1472,26.64081
1536,26.64153
1600,26.64146
1664,26.63863
1728,26.63976
1792,26.64069
1856,26.64607
1920,26.64225
1984,26.64382
2048,26.64759
2112,26.65216
2176,26.65142
2240,26.64797
2304,26.64837
2368,26.6469
2432,26.64897
2496,26.64587
2560,26.6475
2624,26.64959
2688,26.64554
2752,26.64811
2816,26.64397
2880,26.64722
2944,26.64753
3008,26.64788
3072,26.6501
3136,26.64878
3200,26.64388
3264,26.64302
3328,26.64549
3392,26.64728
3456,26.64479
3520,26.64397
3584,26.63223
3648,26.63841
3712,26.63842
3776,26.63667
3840,26.63692
3904,26.64235
3968,26.64346
4032,26.6381
