BoardNo, ANT, BinVersion, Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg
#A2,ANT1,testmode22_2024_1210_1040.bin,7,5 0,0 0,2000,19,r 403422c8  [0x403422C8] = 0xD0FFEB68    ,18.28,-24.15,NA,NA,NA
#A2,ANT1,testmode22_2024_1210_1040.bin,7,0 3 0,0 0,1000,21,r 403422c8  [0x403422C8] = 0xC0FFD970    ,20.75,3.05,NA,NA,NA
BoardNo, ANT, BinVersion, Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg
#A1,ANT0,testmode22_dbg_tmx_vh_vbit.bin,7,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xCC3F496D    ,15.43,-41.96,NA,NA,NA
#A1,ANT0,testmode22_dbg_tmx_vh_vbit.bin,42,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xD53F5B90    ,15.09,-44.10,NA,NA,NA
#A1,ANT0,testmode22_dbg_tmx_vh_vbit.bin,58,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xDE3F5D61    ,14.50,-42.34,NA,NA,NA
#A1,ANT0,testmode22_dbg_tmx_vh_vbit.bin,106,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xD53F5B80    ,13.74,-44.24,NA,NA,NA
#A1,ANT0,testmode22_dbg_tmx_vh_vbit.bin,122,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xD53F5B80    ,13.59,-43.92,NA,NA,NA
#A1,ANT0,testmode22_dbg_tmx_vh_vbit.bin,138,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xD53F5B80    ,14.34,-42.64,NA,NA,NA
#A1,ANT0,testmode22_dbg_tmx_vh_vbit.bin,155,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xD53F5B80    ,14.38,-44.44,NA,NA,NA
#A1,ANT0,testmode22_dbg_tmx_vh_vbit.bin,7,5 0,0 0,2000,19,r 403422c8  [0x403422C8] = 0xD0FFEB6A    ,19.20,-21.71,NA,NA,NA
#A1,ANT0,testmode22_dbg_tmx_vh_vbit.bin,7,0 3 0,0 0,1000,21,r 403422c8  [0x403422C8] = 0xC0FFD96E    ,21.14,4.12,NA,NA,NA
#A1,ANT1,testmode22_dbg_tmx_vh_vbit.bin,7,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xCC3F496D    ,14.80,-43.93,NA,NA,NA
#A1,ANT1,testmode22_dbg_tmx_vh_vbit.bin,42,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xD53F5B90    ,14.99,-43.10,NA,NA,NA
#A1,ANT1,testmode22_dbg_tmx_vh_vbit.bin,58,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xDE3F5D61    ,14.73,-42.36,NA,NA,NA
#A1,ANT1,testmode22_dbg_tmx_vh_vbit.bin,106,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xD53F5B80    ,13.76,-43.56,NA,NA,NA
#A1,ANT1,testmode22_dbg_tmx_vh_vbit.bin,122,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xD53F5B80    ,13.69,-42.89,NA,NA,NA
#A1,ANT1,testmode22_dbg_tmx_vh_vbit.bin,138,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xD53F5B80    ,14.26,-42.60,NA,NA,NA
#A1,ANT1,testmode22_dbg_tmx_vh_vbit.bin,155,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xD53F5B80    ,14.45,-42.50,NA,NA,NA
#A1,ANT1,testmode22_dbg_tmx_vh_vbit.bin,7,5 0,0 0,2000,19,r 403422c8  [0x403422C8] = 0xD0FFEB6A    ,18.92,-22.84,NA,NA,NA
#A1,ANT1,testmode22_dbg_tmx_vh_vbit.bin,7,0 3 0,0 0,1000,21,r 403422c8  [0x403422C8] = 0xC0FFD96E    ,21.07,3.72,NA,NA,NA
BoardNo, ANT, BinVersion, Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg
#A1,ANT0,testmode22_2024_1210_1040.bin,7,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xCC3F496D    ,15.19,-42.29,NA,NA,NA
