ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal
42,2048,66.23,23.20,22.81,208.99,190.91,341.58,25.33
58,2048,66.23,22.39,21.97,173.30,157.27,277.85,24.44
106,2048,66.23,20.55,21.46,113.48,140.03,176.29,22.46
122,2048,66.23,20.47,21.59,111.45,144.20,172.95,22.38
138,2048,66.23,20.37,21.81,109.01,151.55,168.97,22.28
155,2048,66.23,20.29,21.95,106.84,156.66,165.41,22.19
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal
42,128,42.14,-0.71,-1.14,0.85,0.77,2.92,4.66
58,128,42.14,-11.32,-2.08,0.07,0.62,1.81,2.58
106,128,42.14,-1.78,-2.10,0.66,0.62,2.66,4.25
122,128,42.14,-5.30,-1.99,0.30,0.63,2.13,3.28
138,128,42.14,0.14,-1.80,1.03,0.66,3.19,5.04
155,128,42.14,-1.32,-1.69,0.74,0.68,2.77,4.42
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal
42,2512,68.00,17.53,17.21,56.68,52.61,85.95,19.34
58,2496,67.94,16.62,16.24,45.91,42.06,69.48,18.42
106,2400,67.60,14.87,15.69,30.67,37.04,46.55,16.68
122,2416,67.66,14.84,15.88,30.45,38.70,46.22,16.65
138,2416,67.66,14.69,16.16,29.45,41.30,44.74,16.51
155,2416,67.66,14.64,16.24,29.08,42.10,44.19,16.45
