Function,SUB-TOP,BLOCK,msadc_mux_regname,msadc_mux_regvalue,test_enable_regname,test_enable_regvalue,test_mode_regname,test_mode_regvalue,test_bits_regname,test_bits_regvalue,test_case,test_band
vref_lo_sense_diff,WF,tmx_lb0,wf_pu_msadc,1'b1,wf_test_enable_lb0_tmx,1'b1,cfg_ana_test_mode,2'b11,cfg_ana_test_bit,3'b011,WF0_TX_ON,WF_LB
,,,,,,,,,,,,
loft_vi_volt_diff,WF,pa_hb1,wf_pu_msadc,1'b1,wf_test_enable_hb1_pa,1'b1,cfg_ana_test_mode,2'b11,cfg_ana_test_bit,3'b000,WF1_TX_ON,WF_HB
bias_vlp_vln_diff,WF,pa_hb1,wf_pu_msadc,1'b1,wf_test_enable_hb1_pa,1'b1,cfg_ana_test_mode,2'b11,cfg_ana_test_bit,3'b001,WF1_TX_ON,WF_HB
isense_diff,WF,pa_hb1,wf_pu_msadc,1'b1,wf_test_enable_hb1_pa,1'b1,cfg_ana_test_mode,2'b11,cfg_ana_test_bit,3'b010,WF1_TX_ON,WF_HB
bias_vl_diff,WF,pa_hb1,wf_pu_msadc,1'b1,wf_test_enable_hb1_pa,1'b1,cfg_ana_test_mode,2'b11,cfg_ana_test_bit,3'b011,WF1_TX_ON,WF_HB
bias_vm_sense_diff,WF,pa_hb1,wf_pu_msadc,1'b1,wf_test_enable_hb1_pa,1'b1,cfg_ana_test_mode,2'b11,cfg_ana_test_bit,3'b100,WF1_TX_ON,WF_HB
bias_vh_sense_diff,WF,pa_hb1,wf_pu_msadc,1'b1,wf_test_enable_hb1_pa,1'b1,cfg_ana_test_mode,2'b11,cfg_ana_test_bit,3'b101,WF1_TX_ON,WF_HB
bg_v1v_diff,WF,pa_hb1,wf_pu_msadc,1'b1,wf_test_enable_hb1_pa,1'b1,cfg_ana_test_mode,2'b11,cfg_ana_test_bit,3'b110,WF1_TX_ON,WF_HB
vsw,WF,pa_hb1,wf_pu_msadc,1'b1,wf_test_enable_hb1_pa,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b111,WF1_TX_ON,WF_HB
v13_sense,WF,pa_hb1,wf_pu_msadc,1'b1,wf_test_enable_hb1_pa,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'b111,WF1_TX_ON,WF_HB
