ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal
42,640,56.12,15.52,14.74,35.65,29.82,54,17.32
58,640,56.12,9.67,9.35,9.26,8.62,15.07,11.78
106,640,56.12,7.31,8.72,5.39,7.45,9.46,9.76
122,640,56.12,7.4,9.13,5.5,8.18,9.62,9.83
138,640,56.12,7.25,9.29,5.31,8.5,9.35,9.71
155,640,56.12,7.85,9.67,6.09,9.27,10.47,10.2
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal
42,832,58.4,13.4,12.77,21.88,18.93,33.53,15.25
58,832,58.4,11.96,11.66,15.72,14.64,24.48,13.89
106,832,58.4,9.53,10.87,8.97,12.21,14.64,11.66
122,832,58.4,9.75,11.2,9.45,13.17,15.34,11.86
138,832,58.4,10.03,11.68,10.07,14.72,16.25,12.11
155,832,58.4,10.31,11.93,10.74,15.59,17.21,12.36
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal
42,1024,60.21,15.28,14.57,33.69,28.62,51.07,17.08
58,1024,60.21,13.94,13.33,24.8,21.51,37.84,15.78
106,1024,60.21,11.31,12.69,13.51,18.57,21.24,13.27
122,1024,60.21,11.38,12.98,13.73,19.86,21.57,13.34
138,1024,60.21,11.7,13.36,14.8,21.67,23.13,13.64
155,1024,60.21,11.95,13.65,15.68,23.17,24.42,13.88
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal
42,1216,61.7,16.9,15.93,49.01,39.17,74.2,18.7
58,1216,61.7,15.52,14.8,35.61,30.17,53.94,17.32
106,1216,61.7,13,14.16,19.97,26.05,30.7,14.87
122,1216,61.7,13.21,14.45,20.92,27.84,32.12,15.07
138,1216,61.7,13.37,14.89,21.74,30.82,33.31,15.23
155,1216,61.7,13.54,15.05,22.59,32.01,34.56,15.39
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal
42,1408,62.97,18.19,17.16,65.87,51.94,100.16,20.01
58,1408,62.97,16.87,16.02,48.68,39.98,73.69,18.67
106,1408,62.97,14.05,15.22,25.43,33.26,38.76,15.88
122,1408,62.97,14.5,15.61,28.19,36.35,42.87,16.32
138,1408,62.97,14.48,16.03,28.08,40.13,42.71,16.3
155,1408,62.97,14.95,16.31,31.29,42.8,47.48,16.77
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal
42,1600,64.08,19.45,18.33,88.13,68.04,135.23,21.31
58,1600,64.08,18.11,17.17,64.69,52.16,98.33,19.93
106,1600,64.08,15.5,16.53,35.5,44.94,53.78,17.31
122,1600,64.08,15.82,16.81,38.16,47.93,57.77,17.62
138,1600,64.08,15.79,17.27,37.97,53.33,57.49,17.6
155,1600,64.08,16.04,17.41,40.19,55.07,60.82,17.84
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal
42,1792,65.07,20.42,19.29,110.16,84.85,170.84,22.33
58,1792,65.07,19.16,18.15,82.37,65.38,126.07,21.01
106,1792,65.07,16.58,17.5,45.54,56.24,68.92,18.38
122,1792,65.07,16.71,17.7,46.83,58.89,70.88,18.51
138,1792,65.07,16.82,18.18,48.12,65.69,72.85,18.62
155,1792,65.07,17.05,18.38,50.71,68.82,76.79,18.85
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal
42,1984,65.95,21.22,20.11,132.49,102.48,207.84,23.18
58,1984,65.95,20,18.96,99.94,78.74,154.2,21.88
106,1984,65.95,17.44,18.3,55.47,67.53,84.08,19.25
122,1984,65.95,17.63,18.54,57.94,71.51,87.88,19.44
138,1984,65.95,17.67,18.99,58.46,79.25,88.68,19.48
155,1984,65.95,17.86,19.17,61.11,82.52,92.78,19.67
