ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal
42,640,56.12,3.66,1.73,2.32,1.49,5.05,7.03
58,640,56.12,12.13,10.52,16.35,11.28,25.40,14.05
106,640,56.12,10.46,10.00,11.11,10.01,17.75,12.49
122,640,56.12,10.43,10.13,11.03,10.31,17.64,12.47
138,640,56.12,10.13,10.41,10.30,10.99,16.57,12.19
155,640,56.12,10.00,10.60,10.00,11.49,16.14,12.08
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal
42,832,58.40,15.19,13.80,33.03,23.98,50.07,17.00
58,832,58.40,14.30,12.63,26.94,18.32,41.01,16.13
106,832,58.40,12.40,12.21,17.38,16.65,26.91,14.30
122,832,58.40,12.62,12.41,18.27,17.41,28.21,14.50
138,832,58.40,12.62,12.62,18.27,18.27,28.21,14.50
155,832,58.40,12.35,12.86,17.20,19.30,26.64,14.26
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal
42,1024,60.21,16.82,15.41,48.09,34.72,72.79,18.62
58,1024,60.21,16.00,14.44,39.86,27.79,60.32,17.80
106,1024,60.21,14.20,13.92,26.31,24.66,40.08,16.03
122,1024,60.21,14.33,14.10,27.12,25.71,41.28,16.16
138,1024,60.21,14.25,14.44,26.61,27.78,40.51,16.08
155,1024,60.21,14.13,14.51,25.91,28.23,39.47,15.96
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal
42,1216,61.70,18.22,16.82,66.32,48.13,100.85,20.04
58,1216,61.70,17.53,15.89,56.68,38.83,85.95,19.34
106,1216,61.70,15.72,15.34,37.31,34.19,56.49,17.52
122,1216,61.70,15.74,15.51,37.49,35.54,56.77,17.54
138,1216,61.70,15.54,15.87,35.80,38.62,54.22,17.34
155,1216,61.70,15.54,15.95,35.83,39.31,54.27,17.35
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal
42,1408,62.97,19.35,18.01,86.13,63.27,132.05,21.21
58,1408,62.97,18.59,17.06,72.30,50.77,110.19,20.42
106,1408,62.97,16.95,16.60,49.53,45.74,74.98,18.75
122,1408,62.97,16.96,16.78,49.71,47.63,75.26,18.77
138,1408,62.97,16.76,17.08,47.38,51.05,71.72,18.56
155,1408,62.97,16.70,17.12,46.72,51.47,70.71,18.49
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal
42,1600,64.08,20.42,19.17,110.09,82.51,170.72,22.32
58,1600,64.08,19.71,18.24,93.52,66.76,143.85,21.58
106,1600,64.08,17.88,17.63,61.33,57.89,93.12,19.69
122,1600,64.08,17.98,17.83,62.81,60.67,95.41,19.80
138,1600,64.08,17.84,18.20,60.85,66.06,92.38,19.66
155,1600,64.08,17.74,18.21,59.49,66.16,90.27,19.56
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal
42,1792,65.07,21.30,20.11,134.96,102.58,211.99,23.26
58,1792,65.07,20.61,19.18,114.96,82.82,178.71,22.52
106,1792,65.07,18.87,18.61,77.06,72.66,117.67,20.71
122,1792,65.07,18.90,18.81,77.65,76.05,118.60,20.74
138,1792,65.07,18.75,19.12,74.99,81.69,114.42,20.58
155,1792,65.07,18.68,19.24,73.77,84.03,112.50,20.51
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal
42,1984,65.95,22.05,20.92,160.39,123.69,255.37,24.07
58,1984,65.95,21.40,20.03,138.17,100.64,217.41,23.37
106,1984,65.95,19.70,19.48,93.29,88.73,143.50,21.57
122,1984,65.95,19.65,19.63,92.33,91.77,141.96,21.52
138,1984,65.95,19.54,19.96,90.01,99.18,138.23,21.41
155,1984,65.95,19.43,20.03,87.61,100.69,134.40,21.28
